Política Externa Joanina;Política no Brasil voltada aos interesses de Dom João VI
Dom João VI;Monarca português durante o Período Joanino
Influência inglesa;Forte dependência econômica e política de Portugal
Abertura dos portos (1808);Fim do exclusivo colonial e início do livre comércio
Exclusivo colonial;Monopólio comercial de Portugal sobre o Brasil
Visconde de Cairu;Influência intelectual na abertura dos portos
Salvador (escala da corte);Local inicial das primeiras decisões régias no Brasil
Tratados de 1810;Acordos comerciais e políticos com a Inglaterra
Tratado de Aliança e Amizade;Acordo político entre Portugal e Inglaterra
Tratado de Navegação e Comércio;Concessões comerciais a britânicos no Brasil
Taxa de importação 24%;Tarifa geral para produtos estrangeiros
Taxa de 16%;Tarifa reduzida para navios portugueses
Taxa de 15%;Vantagem alfandegária para produtos britânicos
Tratados desiguais;Acordos que favoreciam a Inglaterra sem reciprocidade
Tratado de Methuen;Acordo anterior de dependência luso-britânica
Extraterritorialidade britânica;Julgamento de ingleses fora da justiça local
Juiz conservador da nação inglesa;Autoridade judicial britânica em território português
Liberdade religiosa;Permissão para protestantes no Brasil
Proibição da Inquisição;Não instalação do tribunal inquisitorial no Brasil
Linha Falmouth–Rio de Janeiro;Conexão marítima regular com a Inglaterra
Acesso de navios de guerra britânicos;Entrada livre em portos portugueses e brasileiros
Tráfico de escravos (1810);Compromisso de abolição gradual
Economia brasileira dependente;Estrutura agrária e escravista fragilizada
Industrialização limitada;Dificuldade de concorrência com produtos ingleses
Caiena (Guiana Francesa);Território ocupado por Portugal em 1809
Guerra contra a França;Reação às invasões napoleônicas
Apoio britânico;Suporte naval inglês na ocupação de Caiena
João Severiano Maciel da Costa;Administrador português da Guiana Francesa ocupada
Comércio em Caiena;Tentativa de reorganização econômica do território
Congresso de Viena;Decisão que determinou retirada portuguesa
Retirada de 1817;Fim da ocupação da Guiana Francesa
Tratado de Utrecht (1713);Base jurídica para discussão de fronteiras na Guiana
;
ongresso de Viena (1814-1815);Conferência pós-Napoleão para restaurar a ordem europeia
Conde de Palmela;Representante de Portugal no Congresso de Viena
Talleyrand;Diplomata francês que apoiou a elevação do Brasil a reino
Reino Unido de Portugal, Brasil e Algarves (1815);Elevação do Brasil a reino, fim do status colonial formal
Elevação do Brasil a reino;Transformação do Brasil em parte do reino unido
Casamento de D. Pedro e Leopoldina;Aliança dinástica entre Portugal e Áustria
Francisco I da Áustria;Pai de Maria Leopoldina
Maria Leopoldina;Arquiduquesa da Áustria e esposa de D. Pedro
Tratado de Viena e escravidão;Limitação do tráfico de escravos ao norte do Equador
Lorde Castlereagh;Representante britânico no Congresso de Viena
Declaração das Oito Potências;Condenação internacional do tráfico de escravos
Princípio da legitimidade;Restauração de dinastias tradicionais na Europa
Princípio do equilíbrio político;Redistribuição de poder entre as potências europeias
Metternich;Principal articulador da ordem conservadora europeia
Olivença;Território reivindicado por Portugal sem sucesso
Caiena;Devolvida à França após decisões do Congresso
Equador (linha);Marco para restrição do tráfico de escravos
Convenção luso-britânica;Acordo para restringir o tráfico negreiro
Portugal no Congresso;Busca de compensações e reconhecimento internacional sem sucesso
Vice-Reinado do Rio da Prata;Região de disputa entre Espanha, Buenos Aires e Portugal
Montevidéu;Reduto de resistência espanhola no Prata
Francisco Javier Elío;Vice-rei espanhol em Montevidéu
José Gervasio Artigas;Líder das forças insurgentes no Uruguai
Províncias Unidas do Rio da Prata;Governo de Buenos Aires em conflito com espanhóis e Artigas
Carlota Joaquina;Tentativa de intervenção dinástica no Prata
George Canning;Diplomata britânico contrário à intervenção de Carlota
Primeira invasão da Banda Oriental (1811);Intervenção portuguesa contra Artigas
Êxodo do povo oriental;Retirada em massa dos seguidores de Artigas
Fernando VII;Rei espanhol restaurado após Napoleão
Segunda invasão da Banda Oriental (1816-1817);Nova ocupação portuguesa do Uruguai
General Carlos Frederico Lecor;Comandante português na ocupação de Montevidéu
Montevidéu (ocupação de 1817);Controle militar português da região
Província Cisplatina;Nome do território uruguaio anexado ao Brasil
Batalha de Taquarembó (1820);Derrota final de Artigas
