;
A República Velha possuía um projeto nacional claramente definido.;Errado
A política externa da República Velha concentrou-se no âmbito hemisférico e no café.;Certo
A crise do café começou apenas após a quebra da Bolsa de Nova Iorque em 1929.;Errado
O Brasil já apresentava sinais de crise econômica antes de outubro de 1929.;Certo
A Grande Depressão reduziu drasticamente os fluxos comerciais e financeiros mundiais.;Certo
O PIB brasileiro cresceu em 1930 apesar da crise internacional.;Errado
A Grande Depressão contribuiu para o surgimento da Segunda Guerra Mundial.;Certo
As políticas liberais dos republicanos nos EUA agravaram a crise econômica.;Certo
O New Deal eliminou definitivamente a crise econômica nos Estados Unidos.;Errado
O padrão ouro foi mantido pela maioria dos países durante a década de 1930.;Errado
O protecionismo comercial tornou-se uma prática generalizada após 1929.;Certo
Alemanha, Itália e Japão sofreram menos com a Grande Depressão que EUA e Reino Unido.;Errado
A crise econômica favoreceu a ascensão de regimes autoritários.;Certo
A União Soviética enfrentou desemprego em massa nos anos 1930.;Errado
Países exportadores de café foram fortemente atingidos pela retração do comércio mundial.;Certo
A industrialização brasileira só começou após a Revolução de 1930.;Errado
O modelo agroexportador já dava sinais de esgotamento antes de 1929.;Certo
A Aliança Liberal venceu as eleições presidenciais de 1930.;Errado
A Revolução de 1930 foi resultado de um movimento armado.;Certo
Os Estados Unidos apoiaram militarmente os revolucionários de 1930.;Errado
A Revolução de 1930 representou ruptura estrutural imediata.;Errado
O Governo Provisório priorizou a resolução de problemas conjunturais.;Certo
Afrânio de Melo Franco foi chanceler no Governo Provisório.;Certo
O Brasil suspendeu o pagamento da dívida externa em 1931.;Certo
A política comercial do Governo Provisório manteve o livre-cambismo.;Errado
O Governo Provisório rompeu totalmente com os banqueiros internacionais.;Errado
O Brasil obteve rápido reconhecimento internacional após 1930.;Certo
A renda cafeeira aumentou entre 1931 e 1935.;Errado
A Revolução Constitucionalista de 1932 buscou reconhecimento internacional.;Certo
O Brasil adotou postura beligerante na Guerra do Chaco.;Errado
A política externa da Primeira República buscou inserção continental.;Certo
A relação Brasil–EUA tornou-se cada vez mais assimétrica ao longo do tempo.;Certo
A Grande Depressão abalou a convergência Brasil–Estados Unidos.;Certo
A Revolução de 1930 pode ser entendida como parte da Revolução Burguesa brasileira.;Certo
;
O período 1930–1945 foi marcado por ausência total de rumo estratégico.;Errado
Houve crescente centralização política durante o governo Vargas.;Certo
O dirigismo econômico foi uma característica do período varguista.;Certo
A industrialização por substituição de importações ganhou impulso após 1930.;Certo
O relacionamento internacional dividido ampliou as possibilidades de barganha do Brasil.;Certo
As contradições do período invalidam a existência de um projeto estratégico.;Errado
A radicalização política contribuiu para o fortalecimento do regime.;Certo
A falta de hegemonia de classe aumentou a autonomia do Estado.;Certo
A crise internacional teve pouca influência sobre a política econômica brasileira.;Errado
A queda das exportações estimulou a industrialização substitutiva.;Certo
Vargas manteve a dependência exclusiva da monocultura cafeeira.;Errado
A queima de estoques de café ocorreu entre 1931 e 1944.;Certo
O governo criou órgãos especializados para planejar a economia.;Certo
A industrialização brasileira foi independente do capitalismo mundial.;Errado
As contradições da divisão internacional do trabalho favoreceram a industrialização periférica.;Certo
O capital financeiro inglês se opôs integralmente à industrialização brasileira.;Errado
A hegemonia econômica inglesa começou a ser substituída pela americana.;Certo
A competição Alemanha–EUA teve impacto direto sobre a política externa brasileira.;Certo
Em 1930, o capital inglês era o maior investidor estrangeiro no Brasil.;Certo
A política externa de Vargas foi mera continuidade da Primeira República.;Errado
A política externa varguista introduziu nova concepção estratégica.;Certo
A partir de 1933, intensificou-se a disputa EUA–Alemanha pela influência no Brasil.;Certo
Os EUA defendiam acordos bilaterais compensados como base do comércio internacional.;Errado
O comércio compensado com a Alemanha favoreceu a barganha brasileira.;Certo
O tratado comercial Brasil–EUA de 1935 seguiu princípios livre-cambistas.;Certo
Vargas rompeu o comércio com a Alemanha após 1935.;Errado
O Nordeste brasileiro tinha grande importância estratégica internacional.;Certo
Roosevelt temia uma aproximação brasileira com o Eixo.;Certo
A comunidade alemã no Brasil era pequena e totalmente assimilada.;Errado
A política externa do período foi caracterizada como equidistância pragmática.;Certo
Vargas utilizou divisões internas para ampliar sua margem de manobra externa.;Certo
A política externa varguista pode ser definida como política para o desenvolvimento.;Certo
A Política da Boa Vizinhança buscava alinhar a América Latina aos EUA.;Certo
O pan-americanismo ocultava a hegemonia norte-americana sob o discurso de cooperação.;Certo
Em 1936, os EUA superavam a Alemanha como principal parceiro comercial do Brasil.;Errado
A aproximação Brasil–Argentina ampliou a capacidade de barganha brasileira.;Certo
O Brasil atuou como mediador em conflitos sul-americanos nos anos 1930.;Certo
A chancelaria de Macedo Soares teve orientação exclusivamente pró-EUA.;Errado
A influência cultural americana intensificou-se como instrumento político.;Certo
O governo Vargas instituiu o voto secreto e o voto feminino.;Certo
A Ação Integralista Brasileira era um movimento de esquerda.;Errado
A Intentona Comunista foi utilizada politicamente pelo governo após 1935.;Certo
O Estado de Sítio foi prorrogado com base na ameaça comunista.;Certo
Vargas temia a vitória eleitoral da oposição liberal em 1938.;Certo
A denúncia dos tratados de Nação Mais Favorecida ocorreu em 1935.;Certo
A crise internacional voltou a se agravar em 1937.;Certo
O Estado Novo foi instaurado por meio de um golpe em 1937.;Certo
;
O Estado Novo foi instaurado em 1937 por meio de um golpe autoritário.;Certo
A Constituição do Estado Novo ficou conhecida como “Polaca”.;Certo
O Estado Novo foi um regime liberal-democrático.;Errado
O regime do Estado Novo tinha caráter nacionalista e desenvolvimentista.;Certo
O Estado Novo buscou apoio político junto aos trabalhadores.;Certo
A principal inspiração sociológica de Vargas foi o liberalismo inglês.;Errado
Saint-Simon influenciou a visão sociológica de Vargas.;Certo
Alemanha e Itália reagiram negativamente ao golpe de 1937.;Errado
Os Estados Unidos reconheceram diplomaticamente o Estado Novo.;Certo
O pagamento da dívida externa foi suspenso no dia do golpe de 1937.;Certo
O Estado Novo promoveu alinhamento automático ao Eixo.;Errado
A influência política alemã no Brasil começou a declinar a partir de 1938.;Certo
O Estado Novo eliminou partidos e movimentos políticos organizados.;Certo
Apenas grupos de esquerda foram reprimidos após 1937.;Errado
O Partido Nazista e a Ação Integralista foram interditados no Estado Novo.;Certo
A nacionalização do ensino tornou obrigatório o uso da língua portuguesa.;Certo
Vargas aderiu ao Pacto Anti-Komintern em 1938.;Errado
A Intentona Integralista ocorreu em 1938.;Certo
O embaixador alemão Karl Ritter foi declarado persona non grata.;Certo
As relações diplomáticas Brasil–Alemanha foram definitivamente rompidas em 1938.;Errado
Oswaldo Aranha assumiu o Itamaraty em 1938.;Certo
A nomeação de Oswaldo Aranha visava aproximar o Brasil dos EUA.;Certo
O comércio entre Brasil e Alemanha foi interrompido em 1938.;Errado
O Brasil firmou contrato militar com a empresa Krupp em 1938.;Certo
A Missão Aranha marcou o fim da equidistância pragmática.;Certo
A Política da Boa Vizinhança foi aceita sem negociação pelo Brasil.;Errado
O Estado Novo manteve política anticomunista ativa.;Certo
O FBI e a Gestapo colaboraram com o DOPS até 1942.;Certo
O DIP foi criado para exercer censura política.;Certo
A política migratória do Estado Novo foi liberal e aberta.;Errado
O Brasil apoiou a política de Solidariedade Continental em 1938.;Certo
A Zona de Segurança das Américas foi criada em 1939.;Certo
O Brasil abandonou seus interesses regionais durante a guerra.;Errado
O bloqueio naval britânico reduziu drasticamente o comércio Brasil–Alemanha.;Certo
Vargas declarou apoio explícito às democracias liberais em 1940.;Errado
O discurso de 11 de junho de 1940 foi instrumento de barganha diplomática.;Certo
O Eximbank financiou a siderúrgica de Volta Redonda.;Certo
O Brasil concedeu aos EUA monopólio de minerais estratégicos em 1941.;Certo
O Brasil declarou guerra imediatamente após Pearl Harbor.;Errado
O Brasil rompeu relações diplomáticas com o Eixo em janeiro de 1942.;Certo
Navios brasileiros foram torpedeados por submarinos alemães em 1942.;Certo
O Brasil declarou guerra à Alemanha e à Itália em agosto de 1942.;Certo
A FEB foi criada para combater ao lado dos Aliados.;Certo
O Brasil foi o único país latino-americano a enviar tropas à guerra.;Certo
O Estado Novo não teve qualquer projeto de modernização estatal.;Errado
O DASP introduziu critérios técnicos e meritocráticos na administração pública.;Certo
O Conselho Nacional do Petróleo foi criado durante o Estado Novo.;Certo
O Plano Especial de Obras Públicas funcionou como um plano quinquenal.;Certo
O fortalecimento do Estado foi visto como base do desenvolvimento nacional.;Certo
;
;
A Carta de São Lourenço foi lançada por Vargas em 1938.;Certo
