to abolish;abolir
abortion;aborto
absence;ausência
absurd;absurdo(a)
abuse (n) / to abuse (v);abuso / abusar
academy;academia
to accelerate;acelerar
acceptance;aceitação
accessible;acessível
accomplishment;realização, feito
accordingly;consequentemente, de acordo
accountability;responsabilização, prestação de contas
accountable;responsável
to accumulate;acumular
accumulation;acumulação
accusation;acusação
accused;acusado(a)
acid;ácido
acquisition;aquisição
activation;ativação
activist;ativista
acute;agudo(a), grave
adaptation;adaptação
to adhere;aderir
adjacent;adjacente
adjustment;ajuste
to administer;administrar
administrative;administrativo(a)
administrator;administrador(a)
admission;admissão, entrada
adolescent (n / adj);adolescente
adoption;adoção
adverse;adverso(a), desfavorável
advocate (n) / to advocate (v);defensor(a) / defender
aesthetic;estético(a)
affection;afeição, carinho
aftermath;consequência, rescaldo
aggression;agressão
agricultural;agrícola
aide;auxiliar, assessor(a)
to alert (v) / alert (n / adj);alertar / alerta
to align;alinhar
alignment;alinhamento
alike (adj / adv);semelhante, igualmente
allegation;alegação
to allege;alegar
allegedly;supostamente
alliance;aliança
to allocate;alocar
allocation;alocação
allowance;mesada, permissão, subsídio
ally;aliado(a)
aluminium;alumínio
amateur (n / adj);amador(a)
ambassador;embaixador(a)
to amend;alterar, emendar
amendment;emenda, alteração
amid (prep);em meio a, durante
analogy;analogia
anchor;âncora, apresentador(a) (telejornal)
anonymous;anônimo(a)
apparel;vestuário, roupas
appealing;atraente, apelativo
appetite;apetite
to applaud;aplaudir
applicable;aplicável
to appoint;nomear, designar
appreciation;apreciação, gratidão
arbitrary;arbitrário(a)
architectural;arquitetônico(a)
archive;arquivo
arena;arena, estádio, cenário
to arm;armar
array;variedade, matriz
to articulate;articular, expressar
ash;cinza
aspiration;aspiração
to aspire;aspirar
assassination;assassinato (de figura pública)
assault (n) / to assault (v);agressão, assalto / agredir, assaltar
to assemble;montar, reunir
assembly;assembleia, montagem
to assert;afirmar, declarar
assertion;afirmação
assurance;garantia, segurança
asylum;asilo (político), hospício
atrocity;atrocidade
to attain;atingir, alcançar
attendance;frequência, comparecimento
attribute (n) / to attribute (v);atributo / atribuir
auction;leilão
audit (n) / to audit (v);auditoria / auditar
authentic;autêntico(a)
to authorise;autorizar
auto;carro, automóvel
autonomy;autonomia
availability;disponibilidade
to await;aguardar
backdrop;pano de fundo, cenário
backing;apoio, suporte
backup;reserva, cópia de segurança
bail;fiança
ballot;votação, cédula de voto
bankruptcy;falência
banner;faixa, banner
bare;nu(a), despido(a), básico(a)
barrel;barril, cano (de arma)
battlefield;campo de batalha
bay;baía
beam;feixe, viga
beast;fera, besta
behalf (on behalf of);em nome de
behavioural;comportamental
beloved;amado(a), querido(a)
bench;banco (assento), bancada
benchmark;referência, padrão
beneath (prep);abaixo de, debaixo de
beneficiary;beneficiário(a)
to betray;trair
betrayal;traição
beverage;bebida
to bind;amarrar, obrigar, vincular
biography;biografia
bishop;bispo
bizarre;bizarro(a), estranho(a)
blade;lâmina
blast (n) / to blast (v);explosão / explodir, detonar
to bleed;sangrar
blend (n) / to blend (v);mistura / misturar
to bless;abençoar
blessing;bênção
to boast;gabar-se, vangloriar-se
bonus;bônus
boom;boom, crescimento rápido
to bounce;saltar, quicar
boundary;limite, fronteira
to bow;curvar-se, inclinar-se
breach (n) / to breach (v);violação, ruptura / violar
breakdown;colapso, avaria, decomposição
breakthrough;avanço, descoberta
to breed;criar, reproduzir
broadband;banda larga
browser;navegador (internet)
brutal;brutal
buffer;amortecedor, buffer
bulk;massa, maior parte
burden;fardo, carga
bureaucracy;burocracia
burial;enterro, sepultamento
cabinet;gabinete, armário
calculation;cálculo
canvas;tela (para pintura), lona
capability;capacidade
capitalism;capitalismo
capitalist (n / adj);capitalista
cargo;carga
carriage;carruagem, vagão
to carve;esculpir, talhar
casualty;vítima (morta ou ferida)
catalogue;catálogo
to cater;atender, fornecer (serviços)
cattle;gado
caution;cautela
cautious;cauteloso(a)
to cease;cessar, parar
cemetery;cemitério
chamber;câmara, sala
chaos;caos
to characterise;caracterizar
charm;charme
charter;carta (de direitos), fretamento
choir;coral, coro
chronic;crônico(a)
chunk;pedaço grande
to circulate;circular
circulation;circulação
citizenship;cidadania
