Política Externa;Conjunto de ações e posições de um Estado nas relações internacionais para proteger interesses nacionais e alcançar objetivos.
Diplomacia;Atividade oficial de execução da política externa por representantes do Estado.
Chancelaria;Órgão governamental responsável pela condução da política externa e dos assuntos exteriores.
Itamaraty;Nome pelo qual é conhecido o Ministério das Relações Exteriores do Brasil.
Chanceler;Ministro das Relações Exteriores.
Cooperação Internacional;Ações conjuntas entre atores internacionais para alcançar objetivos comuns.
Cooperação Técnica;Projetos temporários voltados ao desenvolvimento de capacidades e à solução de problemas socioeconômicos.
Concertação Política;Coordenação e diálogo entre Estados para troca de informações e eventual adoção de posições comuns.
Artigo 4º da CF/88;Conjunto de princípios constitucionais que regem as relações internacionais do Brasil.
Independência Nacional;Defesa da soberania e da capacidade decisória própria do Estado brasileiro.
Prevalência dos Direitos Humanos;Promoção e proteção dos direitos humanos como princípio da atuação internacional.
Autodeterminação dos Povos;Direito dos povos de definir livremente seu status político e modelo de desenvolvimento.
Não Intervenção;Proibição de ingerência em assuntos internos de outros Estados.
Igualdade entre os Estados;Reconhecimento da igualdade jurídica de todos os Estados soberanos.
Defesa da Paz;Promoção da paz e prevenção de conflitos internacionais.
Solução Pacífica dos Conflitos;Preferência por negociação, mediação, arbitragem e outros meios pacíficos.
Repúdio ao Terrorismo e ao Racismo;Condenação dessas práticas nas relações internacionais.
Cooperação para o Progresso da Humanidade;Incentivo à colaboração internacional para o desenvolvimento comum.
Concessão de Asilo Político;Proteção a indivíduos perseguidos por motivos políticos.
Integração Latino-Americana;Busca da integração econômica, política, social e cultural da América Latina.
Autonomia Decisória;Condução independente da política externa, sem alinhamentos automáticos.
Busca do Desenvolvimento;Utilização da política externa como instrumento para promover o desenvolvimento nacional.
Solidariedade Sul-Sul;Cooperação e aproximação com países em desenvolvimento da África, Ásia e América Latina.
Multilateralismo;Valorização de instituições e mecanismos multilaterais para governança global.
Reforma da Governança Global;Defesa da democratização de organismos internacionais e maior participação do Sul Global.
Defesa da Carta da ONU;Compromisso com os princípios e propósitos das Nações Unidas.
Construção de Consensos;Busca de soluções negociadas e acordos coletivos por meio do diálogo.
Integração Regional;Fortalecimento da cooperação e integração na América do Sul.
Humanismo;Orientação da política externa pela dignidade da pessoa humana.
Não Ingerência;Rejeição a interferências externas em assuntos domésticos dos Estados.
Juridicismo;Defesa do Direito Internacional como base para resolver controvérsias.
Pacifismo;Preferência por meios diplomáticos e rejeição ao uso da força.
Governança Global;Participação ativa na elaboração e implementação de normas internacionais.
Parceria Estratégica;Relação bilateral considerada prioritária por dois Estados.
Pragmatismo;Busca de resultados concretos e benefícios para o interesse nacional.
Barão do Rio Branco;Patrono da diplomacia brasileira e principal referência do pragmatismo diplomático.
Continuidade da Política Externa;Manutenção de princípios históricos apesar de mudanças de governo.
Desenvolvimento Sustentável;Promoção equilibrada das dimensões econômica, social e ambiental do desenvolvimento.
Interesse Nacional;Critério orientador das posições e estratégias da política externa.
Soberania Estatal;Direito de cada Estado de exercer autoridade sobre seu território e população.
Integridade Territorial;Respeito à inviolabilidade do território dos Estados.
Independência Política dos Estados;Direito de cada Estado conduzir livremente seus assuntos internos e externos.
Universalismo;Manutenção de relações diplomáticas com países de todas as regiões e orientações políticas.
Relações Diplomáticas Universais;Característica do Brasil de manter relações diplomáticas com todos os membros da ONU.
MERCOSUL;Exemplo de cooperação e integração regional institucionalizada.
G77;Foro utilizado para concertação política entre países em desenvolvimento.
CPLP;Organização que possui a concertação política como um de seus pilares.
ONU;Principal organização multilateral defendida pela diplomacia brasileira.
Instituições de Bretton Woods;Banco Mundial e FMI, cuja reforma é defendida pelo Brasil.
Alinhamento Automático;Adoção de posições de outra potência com renúncia à autonomia decisória.
Países Like-minded;Estados com posições semelhantes que coordenam ações diplomáticas.
Sanções Unilaterais;Medidas coercitivas adotadas sem mandato do Conselho de Segurança da ONU, tradicionalmente rejeitadas pelo Brasil.
Sul Global;Conjunto dos países em desenvolvimento com os quais o Brasil busca cooperação prioritária.
Primeira República (1889-1930);Período marcado pela consolidação das fronteiras, aproximação com os EUA e início da diplomacia multilateral.
Aliança Não Escrita;Conceito de Bradford Burns para descrever a aproximação estratégica entre Brasil e EUA na Primeira República.
Barão do Rio Branco;Chanceler que fortaleceu a aproximação com os EUA e consolidou fronteiras brasileiras.
Três Transformações da Primeira República;Aliança com os EUA, solução das questões fronteiriças e início da diplomacia multilateral.
Paradigma do Estado Desenvolvimentista;Modelo inaugurado por Vargas que vinculava política externa ao desenvolvimento nacional.
Nacional-Desenvolvimentismo;Estratégia que identificava a industrialização como caminho para o desenvolvimento.
Industrialização por Substituição de Importações (ISI);Produção doméstica de bens industrializados antes importados.
Equidistância Pragmática;Estratégia de Vargas de negociar simultaneamente com EUA e Alemanha para obter vantagens.
Gerson Moura;Historiador que formulou o conceito de Equidistância Pragmática.
Comércio Compensado;Troca comercial sem uso de moeda, baseada na compensação de exportações e importações.
Principal Parceiro Comercial do Brasil (1936-1938);Alemanha.
Fim da Equidistância Pragmática;Ocorreu com a Segunda Guerra Mundial e o alinhamento brasileiro aos Aliados.
Alinhamento Negociado;Apoio brasileiro aos EUA em troca de benefícios econômicos e militares.
Benefício Estratégico Obtido por Vargas;Financiamento da siderurgia e modernização das Forças Armadas.
Lend and Lease;Programa norte-americano de financiamento para aquisição de material militar.
Acordos de Washington (1942);Previram fornecimento de matérias-primas brasileiras e financiamento de projetos estratégicos.
Companhia Siderúrgica Nacional (CSN);Estatal criada em 1941 com apoio financeiro dos EUA.
Companhia Vale do Rio Doce;Estatal criada em 1942 para exportação de minério aos Aliados.
EXIM Bank;Agência norte-americana que financiou projetos estratégicos brasileiros.
III Reunião de Consulta dos Chanceleres Americanos (1942);Encontro no Rio que discutiu o rompimento regional com o Eixo.
Posição da Argentina na Guerra (inicialmente);Neutralidade até 1944.
Posição do Chile na Guerra (inicialmente);Neutralidade até 1943.
Rompimento Brasileiro com o Eixo;Janeiro de 1942.
Estado de Beligerância com Alemanha e Itália;Declarado pelo Brasil em agosto de 1942.
Força Expedicionária Brasileira (FEB);Corpo militar brasileiro que combateu na Itália entre 1944 e 1945.
Teatro de Operações da FEB;Norte da Itália.
Declaração de Guerra ao Japão;Junho de 1945.
Dois Elementos da Estratégia Diplomática Brasileira na Guerra;Troca de apoios e comunhão ideológica com as democracias ocidentais.
Declaração das Nações Unidas (1942);Manifesto dos Aliados que antecedeu a criação da ONU.
Carta do Atlântico (1941);Documento que definiu princípios dos Aliados durante a guerra.
Conferência de Bretton Woods (1944);Criou o FMI e o BIRD.
