Monismo nacionalista;Unicidade da ordem jurídica sob o primado do direito nacional. Culto à Constituição.
Monismo internacionalista;Unicidade da ordem jurídica sob o primado do Direito Internacional Público (Kelsen).
Dualismo;O DIP e o direito interno são sistemas independentes e distintos. Norma internacional só produz efeitos internos após aceitação/incorporação pelo Estado.
Dualismo – autores;Desenvolvido por Heinrich Triepel e Dionisio Anzilotti.
Art. 4º CF/88;Princípios que regem o Brasil nas relações internacionais.
Independência nacional;Princípio do art. 4º, I, CF/88.
Prevalência dos direitos humanos;Princípio do art. 4º, II, CF/88.
Autodeterminação dos povos;Princípio do art. 4º, III, CF/88.
Não-intervenção;Princípio do art. 4º, IV, CF/88.
Igualdade entre os Estados;Princípio do art. 4º, V, CF/88.
Defesa da paz;Princípio do art. 4º, VI, CF/88.
Solução pacífica de conflitos;Princípio do art. 4º, VII, CF/88.
Repúdio ao terrorismo e ao racismo;Princípio do art. 4º, VIII, CF/88.
Cooperação entre os povos;Cooperação para o progresso da humanidade.
Concessão de asilo político;Princípio do art. 4º, X, CF/88.
Integração latino-americana;Objetivo previsto no parágrafo único do art. 4º da CF/88.
Direito Internacional Privado;Ramo que define regras de conexão para conflitos de leis no espaço.
Personalidade, nome, capacidade e família;Regidos pela lei do país do domicílio da pessoa.
Casamento celebrado no Brasil;Impedimentos e formalidades seguem a lei brasileira.
Regime de bens;Lei do domicílio dos nubentes ou do primeiro domicílio do casal.
Bens móveis;Regidos pela lei do domicílio do proprietário.
Bens imóveis;Regidos pela lei da situação do bem (lex rei sitae).
Sucessão;Regida pela lei do domicílio do falecido ou desaparecido.
Sucessão de estrangeiro com bens no Brasil;Aplica-se a lei brasileira em benefício do cônjuge ou filhos brasileiros, salvo lei pessoal mais favorável.
Obrigações;Regidas pela lei do local de constituição da obrigação.
Art. 17 LINDB;Leis e atos estrangeiros não terão eficácia no Brasil se ofenderem soberania, ordem pública ou bons costumes.
Reconhecimento de Estado;Ato unilateral e discricionário pelo qual um ente reconhece o surgimento de novo Estado.
Reconhecimento de governo;Ato pelo qual se admite novo governo como representante internacional do Estado.
Reconhecimento de Estado – efeitos;Irrevogável e com efeitos retroativos (ex tunc).
Reconhecimento de governo – aplicação;Só ocorre em hipóteses de ruptura institucional.
Reconhecimento expresso;Reconhecimento explícito.
Reconhecimento tácito;Reconhecimento implícito.
Reconhecimento individual;Feito por um único Estado.
Reconhecimento coletivo;Feito por grupo de Estados.
Doutrina Tobar;Reconhecimento de governo apenas quando houver legitimidade constitucional.
Doutrina Estrada;Reconhecimento de governo seria intervenção indevida em assuntos internos.
Nacionalidade originária;"Brasileiro nato; baseada em jus soli e jus sanguinis."
Jus soli;Critério do direito de solo.
Jus sanguinis;Critério do direito de sangue.
Nacionalidade derivada;"Brasileiro naturalizado; baseada na vontade do indivíduo."
Naturalização ordinária;Exige capacidade civil, residência por 4 anos, português e ausência de condenação penal.
Redução da residência para 1 ano;Filho brasileiro, cônjuge brasileiro, serviço relevante ou capacidade profissional/científica/artística.
Naturalização extraordinária;Residência há mais de 15 anos ininterruptos e ausência de condenação penal.
Naturalização especial;Hipóteses ligadas a serviço exterior brasileiro ou missão diplomática.
Naturalização provisória;Para migrante criança/adolescente residente antes dos 10 anos.
Perda da nacionalidade – pedido expresso;Brasileiro pode requerer perda da nacionalidade, salvo risco de apatridia.
Perda da nacionalidade – sentença judicial;Naturalizado pode perder a nacionalidade por fraude ou atentado à ordem constitucional.
Reaquisição da nacionalidade;Renúncia não impede readquirir nacionalidade originária.
Apatridia;Deve ser evitada antes da efetivação da perda da nacionalidade.
Repatriação;Devolução administrativa ao país de procedência ou nacionalidade.
