A semântica estuda apenas o significado literal das palavras isoladas.;Errado
O significado é a noção primária da palavra, enquanto o sentido depende do contexto.;Certo
A frase “chato pra cachorro” usa a palavra “cachorro” em seu significado literal.;Errado
Fatores extralinguísticos como idade e região influenciam a significação das palavras.;Certo
A troca de acentuação em “sábia” e “sabiá” não altera o significado.;Errado
A posição da sílaba tônica pode alterar o sentido da palavra.;Certo
“Fabrica” e “fábrica” possuem o mesmo valor semântico.;Errado
O contexto da conjunção pode indicar adversidade ou adição.;Certo
A semântica é independente da morfologia e da sintaxe.;Errado
A lexicologia estuda o léxico, ou seja, o conjunto de palavras de uma língua.;Certo
O vocabulário é o conjunto de palavras que constam em um dicionário.;Errado
A sinonímia indica palavras com significados iguais ou próximos.;Certo
Existem sinônimos perfeitos em todos os contextos.;Errado
“Aipim” e “macaxeira” são exemplos de sinonímia vocabular.;Certo
A antonímia ocorre apenas com palavras de radicais diferentes.;Errado
“Preto” e “branco” são considerados antônimos.;Certo
A antonímia nunca ocorre entre frases.;Errado
Homônimos são palavras com mesma grafia e mesmo sentido.;Errado
“Acender” e “ascender” são homófonos.;Certo
“Pôde” e “pode” são homógrafos.;Errado
“Casa” (lar) e “casa” (verbo casar) são homônimos perfeitos.;Certo
Parônimos possuem grafia e pronúncia idênticas.;Errado
“Ratificar” e “retificar” são parônimos.;Certo
“Absolver” e “absorver” têm o mesmo significado.;Errado
A polissemia ocorre quando uma mesma palavra assume sentidos diferentes conforme o contexto.;Certo
Uma palavra polissêmica muda de classe gramatical.;Errado
“Leve” como adjetivo e verbo é exemplo de homonímia, não polissemia.;Certo
“Animal” é hiperônimo de “gato”.;Certo
“Maçã” é hiperônimo de “fruta”.;Errado
“Pneu” é holônimo de “carro”.;Errado
“Mão” é holônimo de “dedo”.;Certo
“Dedo” é merônimo de “mão”.;Certo
Acrônimo é o mesmo que sigla pronunciada letra por letra.;Errado
“Petrobras” é um acrônimo.;Certo
“ONU” é uma sigla pronunciada por soletração.;Errado
Estrangeirismos podem ser adaptados à ortografia portuguesa.;Certo
A palavra “banda” é um estrangeirismo aportuguesado.;Certo
Palavras estrangeiras devem sempre ser traduzidas para o português.;Errado
Toponímia estuda nomes de lugares.;Certo
Antroponímia refere-se a nomes de pessoas.;Certo
Axionímia trata de nomes de marcas comerciais.;Errado
Oneonímia refere-se a títulos honoríficos.;Errado
Campo semântico é o conjunto de palavras com o mesmo radical.;Errado
Campo lexical é o conjunto de palavras da mesma família.;Certo
“Mar, marinho, marítimo” formam um campo lexical.;Certo
“Computador, monitor, teclado” pertencem ao mesmo campo semântico.;Certo
A palavra “verde” possui antônimo direto no sentido literal.;Errado
A sinonímia frasal ocorre entre palavras de uma mesma classe gramatical.;Errado
Homógrafos têm grafia diferente e som igual.;Errado
A semântica é essencial para a interpretação textual.;Certo
A ambiguidade é sempre um erro e nunca pode ter valor expressivo.;Errado
A frase “A demissão do ministro” pode gerar dúvida entre quem demitiu e quem foi demitido.;Certo
O mau uso de pronomes e possessivos pode causar ambiguidade.;Certo
A ambiguidade só ocorre em textos literários.;Errado
A intertextualidade ocorre quando um texto se relaciona com outro.;Certo
A citação é uma forma de intertextualidade implícita.;Errado
A paráfrase reafirma a ideia do texto original.;Certo
A paródia mantém a ideologia original sem modificações.;Errado
O plágio é aceito se o autor for mencionado.;Errado
A alusão exige conhecimento de mundo para ser compreendida.;Certo
A estilização é um tipo de intertextualidade que dialoga com outras manifestações culturais.;Certo
A epígrafe aparece no final do texto para reforçar a conclusão.;Errado
O pastiche é uma cópia fiel e respeitosa do texto original.;Errado
A denotação trata do sentido literal de uma palavra.;Certo
A conotação refere-se ao sentido figurado.;Certo
A expressão “Há dias que amanhecem noite” é exemplo de denotação.;Errado
“Por que” separado é usado em perguntas diretas e indiretas.;Certo
“Porque” junto é usado em perguntas.;Errado
“Por quê” é usado antes de pausa ou pontuação.;Certo
“Porquê” é substantivo e pode ser pluralizado.;Certo
“Há dez anos” e “faz dez anos” são equivalentes.;Certo
“A dez anos” indica tempo passado.;Errado
“Se não” separado equivale a “caso não”.;Certo
“Senão” pode significar “exceto” ou “mas sim”.;Certo
“Onde” deve ser usado com verbos de movimento.;Errado
“Aonde” indica movimento.;Certo
“Donde” indica origem.;Certo
“Mal” é o antônimo de “bom”.;Errado
“Mau” é o antônimo de “bem”.;Errado
“Mais” expressa ideia de intensidade ou quantidade.;Certo
“Mas” pode ser conjunção adversativa ou aditiva.;Certo
“Afim” significa propósito.;Errado
“A fim de” indica finalidade.;Certo
“Ao invés de” é usado com termos equivalentes.;Errado
“Em vez de” significa no lugar de.;Certo
“Acerca de” equivale a “sobre”.;Certo
“Há cerca de” indica distância física.;Errado
“A cerca de” indica tempo futuro aproximado.;Certo
“Malgrado” é sinônimo de “apesar de”.;Certo
“De mau grado” significa com boa vontade.;Errado
“Porventura” significa por sorte.;Errado
“Por ventura” significa por acaso.;Errado
“A baixo” é usado com a expressão “de cima”.;Certo
“Abaixo” é usado nos demais contextos.;Certo
“De encontro a” expressa ideia de oposição.;Certo
“Ao encontro de” indica convergência ou acordo.;Certo
“A par de” significa estar desinformado.;Errado
“Ao par de” é usada em contexto econômico.;Certo
“Demais” é advérbio de intensidade.;Certo
“De mais” equivale a “sobrando” e acompanha substantivo.;Certo
“Contudo” é conjunção conclusiva.;Errado
“Contudo” equivale a “porém”.;Certo
“A princípio” significa “em tese”.;Errado
“Em princípio” equivale a “conceitualmente”.;Certo
“Por tanto” é o mesmo que “portanto”.;Errado
“Portanto” tem valor conclusivo.;Certo
“Sobre tudo” significa “a respeito de tudo”.;Certo
“Sobretudo” pode significar “principalmente” ou “casacão”.;Certo
“Ao nível de” indica hierarquia.;Errado
“Em nível de” é a forma adequada para expressar hierarquia.;Certo
“A nível de” é aceito na norma culta.;Errado
“Por ora” significa “por enquanto”.;Certo
“Por hora” expressa ideia de frequência temporal.;Certo
“O mais das vezes” significa “raramente”.;Errado
“À medida que” indica proporcionalidade.;Certo
“Na medida em que” tem valor causal.;Certo
“À medida em que” é expressão correta.;Errado
“Sequer” deve ser usado em frases afirmativas.;Errado
“Se quer” é diferente de “sequer”.;Certo
“A domicílio” é usada com verbos de movimento.;Certo
“Em domicílio” indica estado ou permanência.;Certo
“Fazer com que” e “fazer que” são ambas formas corretas.;Certo
A escolha lexical independe do contexto.;Errado
“Paulista” designa quem nasce na cidade de São Paulo.;Errado
“Paulistano” refere-se a quem é da capital.;Certo
“Caro” e “preço alto” têm exatamente o mesmo uso.;Errado
“Escassez” indica insuficiência.;Certo
“Resto” tem sentido neutro.;Errado
“Demais” é preferível a “resto” em contextos formais.;Certo
“Apreender” aplica-se a objetos, não a pessoas.;Certo
