Jogo de correspondência — Uso do hífen (reforma ortográfica);
Front (Regra / Situação);Back (Exemplo / Aplicação)
Prefixo seguido de “h” mantém hífen;anti-higiênico / sobre-humano
Prefixos circum e pan antes de vogal ou m/n;circum-navegação / pan-americano
Prefixos recém, ex, sem, além, pré, pós, pró, vice, soto;ex-babá / sem-teto / pós-graduação
Compostos com tupi-guarani (açu, guaçu, mirim);anajá-mirim / capim-açu
Encadeamentos vocabulares (nomes geográficos);Rio-Niterói / Rio-São Paulo
Topônimos com grã, grão ou elementos com artigo;Grã-Bretanha / Baía de Todos-os-Santos
bem e mal + elemento formando unidade semântica;bem-humorado / mal-estar
Compostos sem elemento de ligação e com unidade semântica;guarda-chuva / segunda-feira
Prefixo sub + palavra iniciada por “r”;sub-raça / sub-região
Espécies botânicas e zoológicas;couve-flor / bem-te-vi
União de pronomes oblíquos com verbos;leva-se / pensar-se-ia
Translineação com palavra hifenizada;conta- / gotas
Prefixo + mesma vogal ou consoante inicial;micro-ondas / inter-regional
Hiper-, inter-, super- + palavras com “r”;super-revista / hiper-requintado
Prefixo termina em vogal + palavra com r/s (sem hífen);autorretrato / ultrarromântico
Prefixo + vogal diferente (sem hífen);autoaprendizagem / semiaberto
Palavras com perda de noção de composição;paraquedas / mandachuva
Locuções (sem hífen);café com leite / sala de jantar
Locuções consagradas (com hífen);pé-de-meia / arco-da-velha
;
Jogo de correspondência — Acentuação (Acordo Ortográfico);
Front (Regra / Situação);Back (Exemplo / Aplicação)
Proparoxítonas: todas são acentuadas;máximo / cívico / ínterim
E/O tônicos antes de M ou N: acento pode variar;"cênico / cénico; cômico / cómico"
Ditongos abertos tônicos mantêm acento (em geral);réu / anéis / troféu
Ditongos abertos em paroxítonas não são acentuados;estoico / ideia
Monossílabas tônicas: acento em a(s), e(s), o(s);só / Zé / trás
Oxítonas: acento em a(s), e(s), o(s), em, ens;cajá / amém / reféns
Oxítonas com ditongo aberto (éi, éu, ói);anéis / troféus / lençóis
Paroxítonas: acento em ã, ão, ditongo e outras terminações;lápis / fácil / órfão
Acento facultativo no pretérito perfeito (1ª pessoa plural);comprámos / compramos
Acento facultativo para evitar ambiguidade em “demos”;demos (pretérito / imperativo)
“fôrma” pode variar com “forma”;fôrma / forma
“pôde” mantém acento diferencial obrigatório;ele pôde (passado)
“pôr” mantém acento para diferenciar de preposição;pôr (verbo) / por (preposição)
“ter” e “vir” na 3ª pessoa plural mantêm acento;têm / vêm
Acentos suprimidos em certas palavras;para / pelo / pela / polo
I e U tônicos no hiato são acentuados;saúde / raízes
I/U não recebem acento se vierem após ditongo (paroxítonas);feiura / baiuca
O/E dobrados perderam acento;voo / creem / leem
Verbos “arguir” e “redarguir” não têm acento no u;arguo / arguis / redarguem
"Verbos como aguar, enxaguar, desaguar, delinquir, apaziguar e averiguar Possuem dois paradigmas. É correto optar por qualquer dos dois: • ter o u pronunciado tônico nas formas rizotônicas, mas sem acento gráfico. Exemplos: apaziguo, enxaguo, delinquo. • ter acento tônico e gráfico no a ou no i. Exemplos: apazíguo, enxáguo, delínquo. 3. Pontuação 3.1 Sinais de pontuação Os sinais de pontuação têm uma tríplice função: • assinalam pausas e inflexões da voz; • separam palavras, expressões e orações que se devam destacar; • ajudam a esclarecer os sentidos de frases. 3.2 VÍRGULA 3.2.1 Funções da vírgula entre os termos da oração 1. Separar termos coordenados. Exemplo: A poesia, a dança, a música alegram a vida. Observação 1: Entre o penúltimo e o último desses termos, pode-se ter o “e” em vez da vírgula. Exemplo: A poesia, a dança e a música alegram a vida. Observação 2: Se na enumeração estiver repetida uma das conjunções “e”, “nem”, “ou”, usa-se ainda a vírgula entre os elementos coordenados. Exemplos: Abrem-se olhos, e bocas, e braços; “Nem eu, nem tu, nem ela, nem qualquer outra pessoa desta história poderia responder mais” (Machado de Assis); Por terra, ou por água, ou por ar, chegaremos lá. 2. Separar apostos, vocativos e topônimos. Exemplos: Pedro, o chefe do grupo, adiou a decisão./Ninguém, meu caro amigo, veio visitarme./Fortaleza, 13 de agosto de 2007. 3. Indicar deslocamentos: • do adjunto adverbial para o começo ou meio da oração a que pertence. Exemplo: Durante a reunião, foi escolhido o candidato. Observação: Sendo o adjunto adverbial curto, a sua marcação por vírgula é facultativa. Os exemplos a que se tem acesso, no entanto, bem como as questões de prova, têm-nos feito constatar que a marcação do adjunto adverbial deslocado por vírgula não depende apenas da extensão dele, mas também das extensões do que lhe antecede e do que lhe sucede. Recomendamos que se leia a frase com atenção, atentando-se para a sua entonação. Exemplo: Sempre vem aqui. (Não há pausa possível. Assim, não se recomenda a vírgula.) • da conjunção do início da oração para outras posições da estrutura. Exemplo: Maria saiu bonita; voltou, porém, desfigurada. 4. Indicar intercalações das seguintes expressões: “ou seja”, “isto é”, “a saber”, “por exemplo”, “aliás”, “ou melhor”, além disso, ou antes, outrossim, demais, com efeito etc. Exemplo: Ele só sai de casa depois da meia-noite, ou seja, em horário de ruas desertas. 5. Indicar que o verbo está oculto. Exemplo: Nós preferimos a Bahia, e vocês, o Rio. 6. Isolar elementos repetidos. Exemplo: Nada, nada disso eu falei. 3.2.2 Funções da vírgula entre as orações do período 1. Entre as orações coordenadas: • para separar as assindéticas. Exemplo: Pulou o muro, correu pela rua, atravessou o terreno, escondeu-se no matagal; • para separar as orações sindéticas conclusivas, explicativas, adversativas. Exemplos: Amo, logo insisto (conclusiva)./Esperava visita, mas ninguém chegou (adversativa)./Choveu, pois a rua está molhada (explicativa). Observação 1: As sindéticas iniciadas por e separam-se por vírgula nos seguintes casos: • se os sujeitos das orações forem diferentes. Ex.: Horácio praticou o furto, e eu fui punido. • se houver repetição enfática do e: se houver polissíndeto. Isso também é válido para a conjunção nem. Ex.: João canta, e dança, e pula, e gargalha. João nem canta, nem dança, nem pula, nem gargalha. • se o e significar mas. Ex.: Canta, e não dança. Observação 2: As alternativas admitem vírgula quando se repetem. Ex.: Ou o conhece, ou não. 2. Entre as orações subordinadas: • para separar as adverbiais sempre que iniciam o período. Quando não o iniciam, é preciso conferir se a pausa é possível. Exemplos: Quando a noite cai, todos saem à rua./Saiu quando o irmão chegou (pausa inexistente)./Sempre vai à praia com os amigos que moram nas proximidades de sua casa, mesmo quando está doente (pausa necessária). • para separar as adjetivas explicativas: Exemplo: O leite, que é nutritivo, faz bem à saúde. Observação: A intenção aqui não é especificar, escolher, diferenciar um tipo de leite de outros, mas sim falar do leite de forma genérica. Não há, pois, aqui uma oração adjetiva restritiva, mas uma adjetiva explicativa. Fixemos as informações a seguir: se não há restrição, há vírgula; se há restrição, não há vírgula. Agora vejamos estes exemplos: • Traga a minha bolsa que está sobre a mesa. • Traga a minha bolsa, que está sobre a mesa. Observação 1: No primeiro, que não contém vírgula antes do pronome relativo, há restrição. Assim, o emissor possui mais de uma bolsa no lugar, mas deseja apenas a que está sobre a mesa. Observação 2: No segundo, que contém vírgula antes do pronome relativo, não há restrição. O emissor não sugere possuir mais de uma bolsa. Não está escolhendo uma de suas bolsas. • para separar as orações adverbiais consecutivas, conforme recomenda o eminente Professor Rocha Lima. Tal pontuação, porém, não é referida por muitos gramáticos, e há os que a julguem facultativa. Exemplo: “(...) e o fulgor das pupilas negras fuzilava tão vivo e por vezes tão recobrado, que se tornava irresistível”. • para separar as orações reduzidas que antecedem as principais, exceto se forem substantivas. Exemplos: Chegando o carregamento, aviseme./Terminada a conferência, todos discutiam as propostas./Ao formular seus argumentos, seja claro e conciso. Mas: É um mal para a saúde irritar-se facilmente (a segunda oração é sujeito da primeira: é substantiva subjetiva). • para separar as orações intercaladas, que são separadas por vírgulas, duplo travessão ou parênteses. Exemplos: Queremos saber, disse ele, onde estão todos./A vida é - esclareceu ela - um ato de coragem./Ana era a responsável pelo incêndio (disso eu sempre soubera), o que não a fez sofrer punição alguma.";
Jogo de correspondência — Verbos irregulares e vírgula (uso normativo);
Front (Regra / Situação);Back (Exemplo / Aplicação)
Verbos como aguar podem ter dois paradigmas;apaziguo / apazíguo
Forma sem acento gráfico no u tônico;enxaguo / delinquo
Forma com acento para marcar vogal tônica;enxáguo / delínquo
Alternância válida em averiguar e apaziguar;averiguo / averíguo
Vírgula separa termos coordenados;poesia, dança, música
Enumeração pode ter “e” no final;poesia, dança e música
Vírgula separa aposto explicativo;Pedro, o chefe do grupo, chegou
Vírgula separa vocativo;meu amigo, venha cá
Vírgula marca adjunto adverbial deslocado;Durante a reunião, decidiram
Vírgula pode deslocar conjunção;voltou, porém, desfigurado
Vírgula indica intercalação explicativa;ou seja, isto é, por exemplo
Vírgula indica verbo oculto;eu prefiro café, e você, chá
Vírgula separa elementos repetidos;nada, nada disso
Vírgula separa orações assindéticas;correu, pulou, escondeu-se
Vírgula antes de “e” com sujeitos diferentes;ele saiu, e eu fiquei
