Tópico / Subtópico do Edital;Tema de Redação Discursiva
1.1.1 Preferências / 1.1.2 Equilíbrio do consumidor / 1.1.3 Curva de demanda;Analise como a teoria da utilidade marginal decrescente explica a inclinação negativa da curva de demanda, utilizando o conceito de equilíbrio do consumidor (igualdade entre a taxa marginal de substituição e a razão de preços) e discutindo a diferença entre efeito substituição e efeito renda.
1.1.4 Elasticidade-preço e elasticidade-renda;Discuta como a elasticidade-preço da demanda (elástica vs. inelástica) e a elasticidade-renda (bens normais, inferiores e de luxo) condicionam a estratégia de precificação das empresas e a arrecadação tributária, utilizando exemplos de bens essenciais (alimentos) e supérfluos.
1.2 Fatores de produção / Função de produção / Elasticidade-preço da oferta;Analise a lei dos rendimentos marginais decrescentes no curto prazo (produto marginal do trabalho) e sua relação com a curva de custo marginal, explicando como a elasticidade-preço da oferta varia conforme o horizonte temporal (curto prazo inelástica, longo prazo elástica).
1.3.1 Concorrência perfeita, monopólio e oligopólio / 1.3.2 Determinação de preços e quantidades;Compare a alocação de recursos em concorrência perfeita (eficiência alocativa, P = CMg) com o monopólio (P > CMg, peso morto) e com o oligopólio (modelo de Cournot ou cartel), discutindo as perdas de bem-estar social decorrentes do poder de mercado.
1.3.4 Bens públicos / 1.3.5 Bens rivais / 1.3.6 Recursos comuns / 1.3.7 Externalidades;"Discuta o problema do ""carona"" (free rider) na provisão de bens públicos (segurança nacional, faróis) e a ""tragédia dos comuns"" em recursos de livre acesso (pesca, aquíferos), bem como as soluções de internalização de externalidades negativas (taxa pigouviana, mercado de carbono)."
2.1 Contabilidade Nacional (PIB, renda, oferta/demanda agregada, identidades);Analise as três óticas de mensuração do PIB (produto, renda, despesa) e a identidade fundamental Y = C + I + G + (X - M), discutindo a diferença entre PIB nominal e real, bem como a limitação do PIB como indicador de bem-estar (exclusão do trabalho doméstico, degradação ambiental).
2.2 Balanço de pagamentos: transações correntes, conta capital e financeira, indicadores de liquidez e solvência;Discorra sobre a identidade BP = (X - M) + (FL) + (R) = 0, explicando a diferença entre déficit em transações correntes (poupança externa) e superávit na conta financeira, e analise os indicadores de liquidez (reservas / passivo de curto prazo) e solvência (dívida externa / PIB).
2.3 Economia do Setor Público: gastos, receitas, déficit público, dívida, responsabilidade fiscal;Analise a diferença entre déficit primário (receitas não financeiras - despesas exceto juros) e déficit nominal (inclui juros), discutindo a abordagem ricardiana (neutralidade da dívida) contra o keynesianismo (estabilizador automático) e a importância da Lei de Responsabilidade Fiscal (LRF).
2.4 O modelo IS-LM-BP;"Discuta como o modelo IS-LM-BP (Mundell-Fleming) analisa o equilíbrio interno (produto, juros) e externo (BP) sob diferentes regimes cambiais (fixo vs. flutuante) e graus de mobilidade de capital, explicando a ""trindade impossível"" (trilema)."
2.5 Teoria e Política monetária (moeda, criação, oferta/demanda, inflação, TQM);Analise a Teoria Quantitativa da Moeda (MV = PY) e sua crítica por Keynes e pelos pós-keynesianos (moeda endógena), discutindo as causas da inflação de demanda (excesso de moeda) versus inflação de custos (choques de oferta, inércia).
2.6 Política Monetária (Banco Central, instrumentos, juros, regulação bancária);Discuta o papel do Banco Central como banqueiro dos bancos e emprestador de última instância, explicando o funcionamento do open market (Selic), do compulsório e do redesconto, e analise a política monetária não convencional (quantitative easing, forward guidance).
2.7 Crescimento e Desenvolvimento Econômico (Solow, Schumpeter);Compare o modelo de crescimento exógeno de Solow (papel da poupança, acumulação de capital e progresso tecnológico exógeno) com a abordagem schumpeteriana (destruição criadora, inovação endógena) e as novas teorias do crescimento endógeno (Romer, Lucas).
2.8 Emprego e renda (desemprego, tipos, Lei de Okun);Analise a Lei de Okun (relação inversa entre crescimento do PIB e variação do desemprego) e distinga os tipos de desemprego: friccional, estrutural (decorrente de mudanças tecnológicas) e cíclico (keynesiano: demanda agregada insuficiente).
3.1 Teorias de comércio (clássicas, neoclássicas, contemporâneas, Cepal, deterioração dos termos de troca);Compare a teoria das vantagens comparativas de Ricardo (diferenças tecnológicas) com o modelo HOS (diferenças em dotações de fatores) e com as novas teorias (economias de escala, concorrência imperfeita, comércio intra-firma), discutindo a crítica de Prebisch-Singer sobre a deterioração dos termos de troca para países periféricos.
3.2 Macroeconomia aberta (fluxos internacionais, regimes de câmbio, relação câmbio-juros-inflação);"Analise a ""trindade impossível"" (impossibilidade de ter câmbio fixo, livre mobilidade de capitais e política monetária autônoma ao mesmo tempo), aplicando ao caso brasileiro a relação entre taxa de juros (Selic), câmbio (apreciação/depreciação) e diferencial de inflação."
3.3 Efeitos de tarifas, quotas, subsídios e outros instrumentos de política comercial;Discuta os efeitos de bem-estar de uma tarifa de importação (protecionismo) em um país pequeno: aumento do excedente do produtor, perda de excedente do consumidor, arrecadação do governo e peso morto, comparando com o efeito equivalente de uma quota (diferença: captura da renda).
4.1 A economia brasileira no Século XIX / 4.1.1 A economia cafeeira;"Analise o ciclo do café no Vale do Paraíba (escravista, decadência) e no Oeste Paulista (trabalho imigrante, ferrovias), discutindo o papel do ""café com leite"" na sustentação do regime monárquico e da Primeira República."
4.2 Primeira República (políticas econômicas, crescimento industrial, valorização do café);Discorra sobre o Convênio de Taubaté (1906) como a primeira intervenção estatal sistemática na economia brasileira (compras de excedentes) e analise como essa política de valorização do café financiou parcialmente a incipiente industrialização (substituição de importações).
4.3 A Industrialização Brasileira no Período 1930-1945 (ISI, críticas);Caracterize o Modelo de Substituição de Importações (ISI) no governo Vargas: tarifas, câmbio sobrevalorizado, incentivos seletivos, criação da CSN, e discuta as críticas (ineficiência, viés anti-exportação, necessidade de importar bens de capital).
4.4 A década de 1950 (Plano SALTE, Plano de Metas, pós-guerra);Analise o Plano de Metas (1956-1961) de JK como o auge do ISI: metas setoriais (energia, transporte, indústria de base), a instalação da indústria automobilística e a construção de Brasília, financiada por emissão monetária e endividamento externo.
4.5 O Período 1962-1967 (desaceleração, Plano Trienal, PAEG);"Discuta a crise do início dos anos 1960 (estagflação, crescimento zero) e o PAEG (1964-1967) de Campos-Bulhões: reforma tributária, financeira, trabalhista, arrocho salarial e indexação da dívida pública como pré-condições para o ""Milagre""."
"4.6 A retomada do crescimento 1968-1973 (""Milagre Econômico"", I PND)";Analise as causas do Milagre: choque heterodoxo (PAEG), boom externo de commodities, crédito internacional abundante, e o I PND (infraestrutura), discutindo também seus custos (concentração de renda, aumento da dívida externa).
4.7 Desaceleração econômica e o segundo Plano Nacional de Desenvolvimento (II PND);Avalie o II PND (1974-1979) como resposta ao choque do petróleo de 1973: investimentos em insumos básicos (petróleo, siderurgia) e indústria de capital, com financiamento via endividamento externo que gerou a crise da dívida nos anos 80.
4.8 A crise dos anos oitenta (década perdida, planos de combate à inflação, debate sobre natureza da inflação);"Discuta a ""década perdida"" (1981-1989): moratória mexicana (1982), estagnação, hiperinflação, e compare os planos heterodoxos (Cruzado, Bresser, Verão) com os ortodoxos (Feijão com Arroz), analisando o debate entre inércia (indexação) e causa fiscal."
4.9 Economia Brasileira nos anos noventa (abertura comercial, Plano Real);Analise o Plano Real (1994) como um plano de estabilização de sucesso: diagnóstico de inflação inercial, URV, âncora cambial, e discuta as consequências da abertura comercial dos anos 1990 (privatizações, desnacionalização, vulnerabilidade externa).
"5. Bancos digitais, meios de pagamento e os desafios da transição do ""dinheiro de plástico"" para o ""dinheiro digital""";Analise o impacto do PIX (lançado pelo BCB em 2020) e das fintechs (Nubank, Mercado Pago) na desintermediação bancária, na redução do spread bancário e na inclusão financeira, discutindo os desafios regulatórios para as moedas digitais (CBDC - Drex) e para a segurança cibernética.
