Economia;Estudo sistemático da atividade humana relacionada ao que tem valor
Origem da palavra economia;Do grego, significando “administração do lar”
Escassez;Situação em que os recursos ou bens não estão livremente disponíveis
Preço;Reflexo da escassez relativa de um bem
Relação fundamental da economia;Relação entre preço e quantidade
Modelo econômico;Representação simplificada e inteligível de um fenômeno econômico
Agentes econômicos;Indivíduos, empresas, governo e resto do mundo
Hipótese de racionalidade;Suposição de que os agentes tomam decisões lógicas visando maximizar satisfação
Homo economicus;Indivíduo que reage racionalmente aos estímulos econômicos
Economia comportamental;Ramo que analisa fatores psicológicos nas decisões econômicas
Macroeconomia;Estudo dos agregados econômicos da economia como um todo
Microeconomia;Estudo das decisões dos agentes econômicos individuais
Mercado;Conjunto das transações econômicas entre agentes
Sinais de preços;Informações transmitidas pelos preços sobre escassez e oportunidades
Excesso de demanda;Situação em que a procura é maior que a oferta
Espírito empreendedor;Capacidade de identificar oportunidades de lucro
Custo de oportunidade;Valor do que se deixa de obter ao escolher outra alternativa
Demanda do consumidor;Padrão de consumo e preferências dos indivíduos
Utilidade;Grau de satisfação ou bem-estar obtido pelo consumidor
Maximização da utilidade;Busca do maior nível possível de satisfação
Utilidade marginal;Satisfação adicional obtida com o consumo de mais uma unidade
Utilidade marginal decrescente;As unidades adicionais de consumo geram satisfação cada vez menor
Preferências do consumidor;Gostos e escolhas individuais entre diferentes bens
Mapa de preferências;Conjunto das preferências de um consumidor
Curva de indiferença;Conjunto de combinações de bens que geram o mesmo nível de satisfação
Mapa de indiferença;Conjunto de várias curvas de indiferença
Taxa marginal de substituição;Quantidade de um bem que o consumidor aceita trocar por outro mantendo o mesmo nível de satisfação
Curvas de indiferença convexas;Indicam que a taxa de substituição varia conforme o consumo
Saciedade;Limite a partir do qual mais consumo não aumenta satisfação
Coeteris paribus;Suposição de que “tudo o mais permanece constante”
Mudança nos preços relativos;Alteração na relação de preços entre dois bens
Bens relacionados;Produtos cujo consumo é associado, como manteiga e margarina
Restrição orçamentária;Limite imposto pela renda disponível do consumidor
Equilíbrio do consumidor;Situação em que o consumidor maximiza utilidade dada sua renda e os preços
Oferta;Quantidade de bens disponibilizada no mercado
Demanda;Quantidade de bens que consumidores desejam adquirir
Bem-estar do consumidor;Nível de satisfação proporcionado pelo consumo
Preferência por variedade;Situação em que o consumidor valoriza diversidade de produtos
Preferência por quantidade;Situação em que o consumidor valoriza maior volume de um mesmo bem
Investidor potencial;Agente que identifica oportunidades de lucro no mercado
Escassez relativa;Oferta insuficiente frente à demanda
Estrutura produtiva;Forma como a produção econômica está organizada
Desenvolvimento econômico;Processo de transformação econômica e social associado à renda per capita
Renda per capita;Renda média por habitante
Estímulos econômicos;Fatores que influenciam decisões dos agentes
Mercado financeiro;Ambiente de negociação de ativos financeiros
Consumo racional;Escolha de bens visando maior satisfação possível
Custo de produção;Gastos necessários para produzir um bem
Custo de aquisição;Sacrifício financeiro necessário para consumir um bem
Bem substituto;Produto que pode substituir outro no consumo
Preferências heterogêneas;Consumidores possuem gostos diferentes
Satisfação aditiva;Mais consumo pode aumentar o nível de satisfação
Transações econômicas;Operações de compra e venda entre agentes
Farol do mercado;Expressão usada para indicar o papel orientador dos preços
;
;
Equilíbrio do consumidor;Situação em que o consumidor maximiza sua satisfação dadas renda e preços
Bens normais;Bens cuja demanda aumenta quando a renda aumenta
Exemplo de bem normal;Perfumes e produtos de luxo
Bens inferiores;Bens cuja demanda diminui quando a renda aumenta
Exemplo de bem inferior;Alimentos básicos proporcionalmente mais consumidos por pessoas de baixa renda
Bens substitutos;Produtos em que o aumento do preço de um eleva a demanda do outro
Exemplo de bens substitutos;Manteiga e margarina
Bens complementares;Produtos cujo aumento de preço de um reduz a demanda do outro
Exemplo de bens complementares;Equipamentos eletrônicos e seus componentes
Condição coeteris paribus;Suposição de que tudo o mais permanece constante
Estrutura de gostos;Preferências subjetivas do consumidor
Preferência do consumidor;Escolha baseada em gosto e satisfação individual
Produto de prestígio;Bem comprado mesmo com preço maior devido à preferência
Exemplo de preferência por qualidade;Agasalho de cachemira em vez de lã
Expectativas;Previsões dos agentes econômicos sobre o comportamento futuro da economia
Expectativas adaptativas;Baseadas em erros e resultados observados no passado
Fórmula das expectativas adaptativas;Pte=Pt−1e+a(Pt−1−Pt−1e)P^e_t = P^e_{t-1} + a(P_{t-1}-P^e_{t-1})Pte​=Pt−1e​+a(Pt−1​−Pt−1e​)
Coeficiente de ajuste (a);Intensidade com que os agentes corrigem expectativas
Crítica às expectativas adaptativas;Supõem erros sistemáticos e ignoram outras variáveis
Expectativas regressivas;Suposição de retorno das variáveis ao equilíbrio de longo prazo
Expectativas extrapolativas;Projeção das tendências recentes para o futuro
Fórmula das expectativas extrapolativas;Pte=Pt−1e+b(Pt−1−Pt−2)P^e_t = P^e_{t-1} + b(P_{t-1}-P_{t-2})Pte​=Pt−1e​+b(Pt−1​−Pt−2​)
Agentes míopes;Agentes que analisam apenas períodos recentes
Expectativas racionais;Suposição de acesso completo à informação disponível
