O que é conhecimento empírico?;Baseado em experiências do dia a dia, sem comprovação científica.
Diferença entre conhecimento científico e empírico?;"O científico é comprovado e sistematizado; o empírico é prático e não comprovado."
O que é conhecimento mítico?;"Crença ou fé, sem necessidade de provas; ligado à religião e mitos."
Origem da palavra mito?;Vem do grego mythos, que significa narrativa, conto, relato fabuloso.
O que é antropomorfismo?;Atribuir características humanas aos deuses.
Quem eram Urano e Gaia?;O céu (Urano) e a Terra (Gaia), pais dos titãs.
Quem foi Cronos?;Deus do tempo, líder dos titãs, pai de Zeus.
Quem liderou os deuses olímpicos contra os titãs?;Zeus.
Com quem Zeus dividiu o Universo?;Poseidon (mares) e Hades (submundo).
Quem era Hera?;"Deusa do matrimônio, fecundidade e costumes; irmã e esposa de Zeus."
O que são heróis/semideuses?;Filhos de deuses com humanos, seres mortais com origem divina.
O que são ninfas?;Seres femininos ligados à natureza, habitantes de campos e bosques.
Quem eram os 12 deuses olímpicos?;Principais deuses que viviam no Monte Olimpo sob liderança de Zeus.
Diferença entre deuses gregos e romanos?;Funções semelhantes, mas nomes diferentes (ex.: Afrodite = Vênus).
Quem é Hades?;Deus do mundo subterrâneo dos mortos.
Quem é Atena?;Deusa da guerra justa e da sabedoria.
Quem é Apolo?;Deus do Sol, das artes e das profecias.
Quem é Artêmis?;Deusa da Lua e da caça (Diana para os romanos).
Quem é Afrodite?;Deusa do amor e da beleza (Vênus para os romanos).
Quem é Ares?;Deus da guerra (Marte para os romanos).
Quem é Hefesto?;Deus do fogo e da metalurgia (também chamado Hefaísto).
Quem é Hermes?;Deus mensageiro, guia dos viajantes.
Quem é Dionísio?;Deus do teatro, do vinho e das festas.
Quem é Héstia?;"Deusa protetora das famílias e cidades; guardiã do fogo."
Quem é Deméter?;Deusa da agricultura, ligada ao cultivo do trigo.
Quem é Éolo?;Deus dos ventos.
Quem foi Hércules?;"Filho de Zeus com uma mortal; realizou os 12 trabalhos."
Quem foi Perseu?;"Filho de Zeus; decapitou a Medusa."
Quem foi Teseu?;"Filho de Egeu; derrotou o Minotauro."
Quem foi Aquiles?;Herói da Guerra de Troia, veloz, vulnerável no calcanhar.
Quem foi Ulisses?;"Rei de Ítaca; herói astuto da Odisseia."
Quem foi Agamenon?;"Líder da Guerra de Troia; comandou o cerco a Troia."
Quem foi Ajax?;Guerreiro grego imbatível, forte e destemido.
Quem eram os pais de Édipo?;Laio e Jocasta
O que o oráculo previu sobre Édipo?;Que ele mataria o pai e casaria com a mãe
Onde Édipo foi abandonado quando bebê?;No Monte Cíteron
Quem criou Édipo após ser resgatado?;Rei Pólibo de Corinto
Qual monstro Édipo derrotou?;A Esfinge
Com quem Édipo se casou sem saber que era sua mãe?;Jocasta
O que Édipo fez ao descobrir a verdade?;Furou os olhos e deixou Tebas
Quem assumiu a coroa após a tragédia de Édipo?;Creonte
Que ser mítico era o Minotauro?;Cabeça de touro e corpo humano
Por que Poseidon castigou Minos?;Porque não sacrificou o touro pedido
Quem foi a mãe do Minotauro?;Pasífae
Onde o Minotauro foi aprisionado?;No labirinto do palácio de Minos
Quem matou o Minotauro?;Teseu
Quem ajudou Teseu a sair do labirinto?;Ariadne com um novelo de lã
O que diferencia o mito da filosofia?;"O mito usa o inconsciente; a filosofia usa raciocínio lógico"
Quais são os quatro períodos da filosofia?;Antiga, Medieval, Moderna, Contemporânea
O que caracteriza a filosofia pré-socrática?;A busca pelo princípio da natureza (cosmologia)
Quem é considerado o fundador da filosofia?;Tales de Mileto
Qual era o arqué de Tales de Mileto?;A água
O que Tales previu em 585 a.C.?;Um eclipse solar
Qual teorema é atribuído a Tales?;O Teorema de Tales
Quem foi discípulo de Tales?;Anaximandro
