Quais foram os antecedentes importantes para a criação da CPLP?;Processo de independência dos países africanos de língua portuguesa e superação dos desentendimentos com Portugal.
Qual relação histórica fundamenta o nascimento da CPLP?;A amizade entre Brasil e Portugal e a redemocratização de ambos os países.
O que propôs o ministro português Jaime Gama em 1983?;Realizar cúpulas bienais rotativas dos países de língua portuguesa, encontros anuais de ministros e consultas políticas.
Quando e onde ocorreu a primeira cúpula dos países de língua portuguesa?;Em novembro de 1989, em São Luís do Maranhão, Brasil.
Quais países participaram da primeira cúpula de 1989?;Angola, Brasil, Cabo Verde, Guiné-Bissau, Moçambique, Portugal e São Tomé e Príncipe.
Qual instituição foi criada na cúpula de 1989?;O Instituto Internacional da Língua Portuguesa (IILP), para promoção do idioma comum.
Quando o IILP foi efetivamente concretizado?;Em 2002.
Qual papel o Brasil desempenhou na formação da CPLP?;Liderança na convocação da cúpula e missão diplomática para a criação da comunidade, especialmente pelo embaixador José Aparecido de Oliveira.
Que evento em 1994 marcou um passo importante para a CPLP?;Encontro dos sete ministros de Negócios Estrangeiros em Brasília, que decidiu a realização da cúpula para adoção do ato constitutivo.
O que é o Grupo de Concertação Permanente?;Um grupo sediado em Lisboa para preparar a CPLP, formado por representantes diplomáticos dos países membros.
Quais áreas de cooperação o Grupo de Concertação analisou?;Concertação político-diplomática, cooperação econômica e empresarial, cooperação com ONGs e funcionamento do IILP.
Qual decisão foi tomada na reunião ministerial de Lisboa em 1995?;Reafirmar a importância da CPLP e recomendar a cúpula para o primeiro semestre de 1996, com reunião preparatória em Maputo.
Quando e onde foi criada a CPLP?;Em 17 de julho de 1996, na Cúpula de Lisboa.
Quais países fundaram a CPLP?;Angola, Brasil, Cabo Verde, Guiné-Bissau, Moçambique, Portugal e São Tomé e Príncipe.
Quais documentos foram aprovados na criação da CPLP?;A Declaração Constitutiva e os Estatutos da CPLP.
Qual é o fundamento político da CPLP?;A língua portuguesa como vínculo histórico e patrimônio comum dos Estados-Membros.
Quais os objetivos principais da CPLP?;Defender valores e interesses dos países-membros, promovendo democracia, desenvolvimento e um ambiente internacional equilibrado e pacífico.
Qual característica geográfica marca a CPLP?;É um espaço geograficamente descontínuo, mas unido pelo idioma português.
Qual país aderiu à CPLP como oitavo membro e quando?;Timor-Leste, em 20 de maio de 2002, na IV Conferência em Brasília.
