O que é norma jurídica?;Regra que regula comportamentos sociais.
Por que a norma jurídica é importante?;Reduz incerteza e permite previsibilidade nas ações.
O que significa caráter imperativo da norma?;A norma é obrigatória e vinculante.
Por que o intérprete do direito não decide por preferências?;Porque deve seguir critérios da norma, não preferências pessoais.
O que qualifica a norma jurídica?;Condutas como obrigatórias, proibidas ou permitidas.
O que é hipótese normativa?;Situação de fato descrita pela norma.
Por que a norma prevê consequências?;Para ligar a ocorrência do fato a uma consequência jurídica.
O que Kelsen considera essencial na norma?;A sanção como característica definidora.
Por que a sanção deve ser coercitiva?;Para garantir força efetiva ou latente.
O que implica a sanção?;Privação de bens como liberdade, vida ou patrimônio.
Quem pode aplicar sanção jurídica?;Apenas autoridades autorizadas pela ordem jurídica.
Por que a sanção exige conduta voluntária?;Porque é aplicada a quem poderia agir de forma diferente.
O que caracteriza a sanção em caso de recusa?;Aplicação por recusa voluntária em cumprir o dever.
Qual exemplo não é sanção penal?;Execução forçada do direito privado.
Quais são exemplos de sanções penais?;Pena e multa.
Como o liberalismo clássico vê o direito?;Como ordem repressiva para conservar a sociedade.
O que o liberalismo clássico defende sobre Estado e sociedade?;Separação entre Estado e sociedade.
Qual é a função do direito segundo o liberalismo clássico?;Conservar a ordem punindo desvios.
A sanção jurídica pode envolver perda da vida?;Sim, pode envolver vida, liberdade ou patrimônio.
Quando a autoridade pode aplicar sanção?;Apenas com autorização expressa do ordenamento jurídico.
A sanção precisa estar prevista na norma?;Sim, é essencial para validade e aplicação.
A norma jurídica garante cumprimento voluntário?;Não, por isso há sanção para coerção.
Qual o objetivo da execução forçada no direito privado?;Garantir cumprimento de obrigações.
A função do direito mudou com o Estado providência?;Sim, passou a estimular resultados além da repressão.
Que técnicas o Estado providência usa no direito?;Promoção e encorajamento, como incentivos fiscais.
Qual a importância das sanções premiais no Estado providência?;Ganharam maior importância que sanções negativas.
A sanção é indispensável na norma jurídica hoje?;Não, perdeu esse caráter, mas mantém relevância.
O que normas de organização estabelecem?;Competências públicas e privadas.
A nulidade é uma sanção?;Não, é consequência jurídica, não sanção clássica.
O que a sanção tradicional envolve?;Privação de bens.
Qual o objetivo da nulidade?;Invalidar atos ilegais, não provocar desagrado.
Quando sanções são reconhecidas juridicamente?;Apenas quando previstas nas normas.
Generalidade e abstração são sempre sinônimos?;Não, às vezes são distintos na doutrina.
O que é decisão judicial em termos normativos?;Norma jurídica individual, aplicável às partes do processo.
Como a Escola da Exegese via a decisão judicial?;Como mera aplicação da lei, para evitar arbítrio.
Toda norma jurídica precisa ser geral e abstrata?;Não, há normas individuais e concretas.
Normas que revogam outras normas são normas?;Sim, fazem parte do ordenamento jurídico.
O que é generalidade na norma?;Abrange categorias ou classes de agentes.
O que é abstração na norma?;Abrange categorias de ações, não ações específicas.
Qual é a oposição de generalidade e abstração?;"Generalidade é oposta ao individual; abstração ao concreto."
Por que a norma geral é importante?;Garante imparcialidade e igualdade.
A norma abstrata compromete a certeza do direito?;Não, promove certeza e previsibilidade.
Por que crescem as normas individuais e concretas?;Devido à maior intervenção estatal.
Generalidade e abstração são características objetivas?;Não, são ideais do liberalismo, não sempre presentes.
O que significa bilateralidade?;Alteridade entre sujeitos, não só relação credor-devedor.
Normas que conferem capacidade jurídica são bilaterais?;Sim, porque envolvem posições jurídicas distintas.
O que é bilateralidade na norma jurídica?;Alteridade entre sujeitos, não só relação obrigacional.
Por que nem toda norma exige generalidade, abstração ou sanção?;Doutrina moderna reconhece diversidade nas normas.
Quais os três prismas para analisar a norma jurídica?;Fundamento (justiça), validade (existência), eficácia (respeito).
O que é fundamento da norma jurídica?;Valores que justificam a obrigatoriedade da norma.
O que é eficácia da norma jurídica?;Respeito e cumprimento concreto da norma pelos destinatários.
Qual a natureza do fundamento da norma?;Essencialmente filosófica, ligada à legitimação valorativa.
O que é validade da norma jurídica?;Inserção correta da norma no ordenamento jurídico.
Por que a validade da norma não é absoluta?;Depende da relação com outras normas do sistema.
O que compõe o ordenamento jurídico além de normas?;Classificações, definições legais e preâmbulos.
Qual a função dos preâmbulos legais?;Esclarecer o sentido das normas no ordenamento.
O que determina a existência jurídica da norma?;Sua validade dentro do ordenamento.
Por que o ordenamento jurídico inclui definições e classificações?;Para organizar e explicar o conteúdo jurídico.
O que é necessário para a validade da norma?;Competência, matéria adequada e procedimento correto.
Quem confere a competência legislativa?;Norma superior delimita o órgão competente.
Quem julga o presidente da República por crime comum?;Supremo Tribunal Federal.
Quem julga o presidente por crime de responsabilidade?;Senado Federal.
