Afeganistão;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-islamica-do-afeganistao/@@images/image;;;Afeganistão;Relação: 1952. Comércio: Muito baixo (< US$ 5 milhões), principalmente relacionado a ajuda humanitária e pequenas exportações de sementes e frutas.;;Mercosul (Mercado Comum do Sul);Argentina, Bolívia (em processo de adesão), Paraguai, Uruguai. Venezuela (suspensa).
África do Sul;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-africa-do-sul/@@images/image;;;África do Sul;"Relação: 1918 (consulado), 1948 (embaixada). Comércio: Parceiro estratégico na África. Aprox. US$ 1,9 bi. Brasil exporta máquinas, aviões e químicos; importa carvão, minério de ferro e veículos.";;União Europeia (Acordo de Associação Estratégico);Alemanha, Áustria, Bélgica, Bulgária, Croácia, Dinamarca, Eslováquia, Eslovênia, Espanha, Estônia, Finlândia, França, Grécia, Hungria, Irlanda, Itália, Letônia, Lituânia, Luxemburgo, Malta, Países Baixos, Polônia, Portugal, Reino Unido (ex-membro, relação pós-Brexit), República Tcheca, Romênia, Suécia. Além da própria União Europeia (como bloco).
Albânia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-albania/@@images/image;;;Albânia;"Relação: 1927 (reativada em 1991). Comércio: Baixo (aprox. US$ 100 mi). Brasil exporta açúcar, carnes e máquinas; importa minérios de cromo e calçados.";;BRICS (Brasil, Rússia, Índia, China, África do Sul);África do Sul, China, Índia, Rússia.
Alemanha;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-federal-da-alemanha/@@images/image;;;Alemanha;"Relação: 1871 (reativada pós-WWII). Comércio: Um dos maiores parceiros da UE. Aprox. US$ 18 bi. Brasil exporta soja, minério, café e carne; importa automóveis, máquinas e químicos.";;G20 (Fórum de cooperação econômica);África do Sul, Alemanha, Arábia Saudita, Argentina, Austrália, Canadá, China, Coreia do Sul, Estados Unidos, França, Índia, Indonésia, Itália, Japão, México, Reino Unido, Rússia, Turquia, União Europeia.
Andorra;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/principado-de-andorra/@@images/image;;;Andorra;Relação: 1994 (estabelecida). Comércio: Baixo (aprox. US$ 10 mi). Comércio de produtos farmacêuticos, tabaco e produtos de luxo.;;Comunidade dos Países de Língua Portuguesa (CPLP);Angola, Cabo Verde, Guiné-Bissau, Guiné Equatorial, Moçambique, Portugal, São Tomé e Príncipe, Timor-Leste.
Angola;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-de-angola/@@images/image;;;Angola;"Relação: 1975 (independência). Comércio: Aprox. US$ 3 bi. Brasil exporta máquinas, alimentos e serviços de engenharia; importa petróleo bruto.";;União de Nações Sul-Americanas (UNASUL);Argentina, Bolívia, Chile, Colômbia, Equador, Guiana, Paraguai, Peru, Suriname, Uruguai, Venezuela.
Antígua e Barbuda;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/antigua-e-barbuda/@@images/image;;;Antígua e Barbuda;Relação: 1985. Comércio: Muito baixo (aprox. US$ 5 mi). Pequenas exportações de carnes, aeronaves e material de construção.;;Organização do Tratado de Cooperação Amazônica (OTCA);Bolívia, Colômbia, Equador, Guiana, Peru, Suriname, Venezuela.
Arábia Saudita;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/reino-da-arabia-saudita/@@images/image;;;Arábia Saudita;"Relação: 1968. Comércio: Aprox. US$ 8 bi. Brasil exporta proteínas animais (frango/halal), açúcar e veículos; importa petróleo, fertilizantes e enxofre.";;Fórum para o Progresso e Desenvolvimento da América do Sul (PROSUL);Argentina, Bolívia, Chile, Colômbia, Equador, Guiana, Paraguai, Peru, Suriname, Uruguai.
Argélia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-argelina-democratica-e-popular/@@images/image;;;Argélia;"Relação: 1962 (independência). Comércio: Aprox. US$ 4 bi. Brasil exporta açúcar, carne de frango e máquinas; importa fertilizantes e derivados de petróleo.";;Comissão Internacional para a Conservação dos Atuns do Atlântico (ICCAT) (Ex. de acordo multilateral pesqueiro);África do Sul, Angola, Canadá, China, Coreia do Sul, Estados Unidos, França, Gabão, Guiné Equatorial, Japão, Marrocos, Namíbia, Noruega, Reino Unido, Rússia, Senegal, África do Sul, entre outros.
Argentina;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-argentina/@@images/image;;;Argentina;"Relação: 1812 (independência). Comércio: Parceiro do Mercosul. Aprox. US$ 30 bi (volátil). Brasil exporta automóveis, peças e plásticos; importa trigo, cevada, peixes e automóveis.";;Associação Latino-Americana de Integração (ALADI);Argentina, Bolívia, Chile, Colômbia, Cuba, Equador, México, Paraguai, Peru, Uruguai, Venezuela.
