Eixo Temático;Tópico / Subtópico;Descrição Detalhada (conforme seu material)
1. História da Geografia;Correntes do pensamento geográfico tradicional;Análise das correntes: determinismo, possibilismo e geografia regional.
;Evolução do saber geográfico;Conhecimentos antecedentes, determinismo, possibilismo, regionalismo, nova geografia, geografia crítica e abordagens fenomenológicas.
;Abordagens espaciais e territoriais;Fase inicial do determinismo, geografia crítica radical e geografia humanista.
;Obra de Friedrich Ratzel;Análise da obra de Ratzel sobre homogeneidade étnica em ilhas versus miscigenação em territórios abertos.
2. A Geografia da População;Distribuição e Crescimento;Causas da queda do crescimento populacional brasileiro, crescimento de cidades médias (750 a 50 mil hab.) e perda de população em municípios-sede de metrópoles.
;Migrações (século XXI);Fenômeno migratório no século XXI: refugiados, apátridas, redes de tráfico humano e o quadro da migração internacional no Brasil.
;Migrações (Brasil-Portugal);Imigração de brasileiros para Portugal: motivações, política de atração portuguesa e preferência por áreas metropolitanas.
;Migrações (Europa);Acordo de Schengen e o tratamento da imigração pelos países europeus em tempos de crise.
;Migrações (direitos humanos);Causas e fluxos das migrações internacionais globais e sua relação com os direitos humanos.
;Dinâmica e Estrutura (envelhecimento);O envelhecimento da população mundial e as perspectivas e desafios para a população idosa no Brasil.
;Dinâmica e Estrutura (China);Declínio da política do filho único na China: consequências históricas e impactos demográficos atuais.
;Dinâmica e Estrutura (Brasil);Transição demográfica no Brasil: alterações na estrutura etária e implicações socioeconômicas (Censo 2010).
;Qualidade de Vida;Motivos da estabilização e crescimento da população rural em alguns países e suas potencialidades.
3. Geografia Econômica;Globalização e DIT (chips);Reestruturação produtiva global, DIT no setor de chips e impactos da pandemia na produção de eletrônicos.
;Globalização e DIT (ZPEs e offshore);Implicações das Zonas de Processamento de Exportações (ZPEs) e dos centros bancários offshore na economia globalizada.
;Energia e Logística (portos e canais);Papel dos portos na globalização, importância da conteinerização e fragilidades de canais e estreitos geoestratégicos.
;Energia e Logística (cabotagem);Navegação de cabotagem no Brasil: evolução histórica, aspectos favoráveis e dificuldades de desenvolvimento.
;Energia e Logística (Custo Brasil);"Desafios da gestão do sistema de transportes no Brasil (rodoviário, ferroviário e hidroviário) e o ""Custo Brasil""."
;Energia (matrizes e impactos);Matrizes energéticas atuais, formas espaciais associadas e impactos ambientais.
;Energia (renováveis no Brasil);Opções de energias renováveis e não renováveis no Brasil e o eixo da futura matriz energética nacional.
;Energia (hidro vs. termo);Quadro comparativo entre potencialidades da hidroeletricidade e da termoeletricidade no Brasil.
;Energia (integração sul-americana);Integração energética sul-americana: fontes, sistemas de geração e relações existentes.
;Reordenamento e Planejamento (pós-fordismo);Transformações pós-fordistas, espaços-de-fluxos vs. espaços-de-lugares e o papel do Estado Nacional e das fronteiras.
;Reordenamento e Planejamento (Brasília);Transferência da capital para Brasília: redefinição das dinâmicas regionais e centralização espacial-financeira.
;Reordenamento e Planejamento (DF);O Distrito Federal e Brasília: motivações da construção nacional-desenvolvimentista e avaliação dos objetivos atingidos.
;Disparidades e Desenvolvimento (Nordeste);Dinâmicas econômicas na região Nordeste: atividades responsáveis pelo crescimento e fatores locais.
;Disparidades e Desenvolvimento (China/Índia);Diferenças entre modelos de desenvolvimento e vantagens competitivas de China e Índia.
;Disparidades e Desenvolvimento (África);África como nova fronteira de recursos minerais: atores envolvidos e implicações políticas.
;Disparidades e Desenvolvimento (Ásia vs. América Latina);Diferenças no dinamismo econômico entre Ásia e América Latina nas últimas décadas.
4. Geografia Agrária;Agronegócio (impactos);Impacto da expansão do agronegócio na perda de vegetação nativa, concentração fundiária e os desafios da agricultura familiar.
;Agronegócio (RPAs);Regiões Produtivas do Agronegócio (RPAs): complexidade das regiões funcionais ao agronegócio globalizado e impactos na autonomia espacial.
;Agronegócio (vantagens Brasil);A pujança do agronegócio brasileiro baseada em vantagens comparativas e competitivas.
