Qual é o papel da Constituição na relação com normas internacionais, segundo Sarlet?;"A Constituição é a fonte primária do direito interno, mas não é isolada; dialoga com outras ordens jurídicas, como a internacional, refletindo a integração dos Estados a sistemas jurídicos globais e regionais."
O que se busca ao discutir o fundamento de validade do DIP?;Busca-se entender juridicamente de onde vem a legitimidade e a obrigatoriedade do Direito Internacional, ou seja, os fundamentos jurídicos que impõem o respeito às suas normas.
Quais são as duas principais correntes que explicam o fundamento do DIP?;"A Voluntarista e a Objetivista. A voluntarista foca na vontade do Estado soberano; a objetivista busca fundamentos fora da vontade estatal."
O que defende a corrente voluntarista sobre a validade do DIP?;Que a norma internacional só obriga o Estado quando este consente, com base em sua soberania. A adesão é fruto de vontade própria.
O que afirma a Teoria da Autolimitação da Vontade?;Que o Estado soberano pode se auto-obrigar ao Direito Internacional, limitando voluntariamente sua soberania (Georg Jellinek).
O que sustenta a Teoria da Vontade Coletiva?;Que o DIP nasce da vontade coletiva e unânime dos Estados, expressa por tratados e costumes (Carl Heinrich Triepel).
O que propõe a Teoria da Delegação do Direito Interno?;Que a obrigatoriedade do DIP decorre da Constituição de cada Estado, sendo o DIP apenas uma extensão do direito interno (Max Wenzel).
Qual a ideia central da Teoria do Consentimento das Nações?;Que o DIP é expressão da vontade da maioria dos Estados, sendo respeitado por causa do consentimento coletivo (Hall, Lawrence e Oppenheim).
Qual crítica central se faz à Corrente Voluntarista?;Que ela torna o DIP dependente da vontade dos Estados, gerando instabilidade e permitindo o descumprimento unilateral de normas internacionais.
O que fundamenta a Corrente Objetivista do DIP?;A existência de normas jurídicas superiores e objetivas que independem da vontade estatal, necessárias para a sobrevivência da sociedade internacional.
O que marca a transição do voluntarismo para o objetivismo?;A crítica à subjetividade da vontade estatal e a defesa da obrigatoriedade do DIP com base em princípios objetivos, como o pacta sunt servanda.
O que defende a Teoria da Norma-base de Hans Kelsen?;Que todo ordenamento jurídico é hierarquizado e se fundamenta em uma norma hipotética fundamental, incluindo o DIP.
O que é a Norma Hipotética Fundamental para Kelsen?;É a norma suprema que dá validade às demais normas, inclusive internacionais, ainda que ela mesma não derive de uma superior.
O que sustenta a Teoria Sociológica no DIP?;Que o direito é fruto de necessidades sociais, baseado na solidariedade e interdependência entre os indivíduos, não na vontade estatal.
Qual é o fundamento da Teoria do Pacta Sunt Servanda?;A obrigação de cumprir acordos firmados entre Estados, princípio clássico do DIP, defendido por Dionisio Anzilotti.
Como o caso do Golfo do Maine reforça a visão objetivista?;Mostra que o DIP baseia-se em normas consuetudinárias e práticas reconhecidas como obrigatórias, não em vontades subjetivas.
Qual a principal crítica à Teoria da Norma-base?;Que não consegue justificar a obrigatoriedade da norma hipotética fundamental, base de sua pirâmide normativa.
