Inconfidência Mineira;elite mineradora
Inconfidência Baiana;popular e social
Revolução Pernambucana;republicana
Transferência da corte;expansão napoleônica
Reino Unido Portugal-Brasil;Congresso de Viena
Abertura dos Portos;fim do pacto colonial
Primeiro Reinado;autoritarismo de D. Pedro I
Constituição de 1824;outorgada
Independência do Brasil;manutenção das estruturas coloniais
Escravidão;permanência no Império
Concentração fundiária;herança colonial
Proclamação da República;golpe militar
República Velha;domínio oligárquico
Abolição da escravidão;exclusão social persistente
Política externa republicana;atuação diplomática contínua
Barão do Rio Branco;Questão do Acre
Tratado de Petrópolis;Acre para o Brasil
Ferrovia Madeira-Mamoré;acordo com a Bolívia
República Oligárquica;coronelismo
Voto a descoberto;fraude eleitoral
Coronelismo;poder local
Tenentismo;crítica às oligarquias
Semana de Arte Moderna;modernismo
Partido Comunista Brasileiro;fundação em 1922
Centenário da Independência;comemorações de 1922
Década de 1920;crise da República Velha
Revolução de 1930;queda da hegemonia cafeeira
Pós-Primeira Guerra;instabilidade europeia
Estado Novo;centralização política
Analfabetismo;exclusão política
Política do café com leite;alternância oligárquica
Era das Revoluções;independência do Brasil
Exclusivo comercial;mercantilismo
Revolução do Porto;tentativa recolonizadora
D. Pedro I;dissolução da Constituinte
Constituição Imperial;Poder Moderador
República;continuidade das elites
Questão do Acre;diplomacia do Barão do Rio Branco
Grande Guerra;crise internacional
Modernismo;renovação cultural brasileira
;
Institutos de Aposentadoria e Pensões;previdência social varguista
Ministério do Trabalho;centralização trabalhista
Ação Integralista Brasileira (AIB);fascismo brasileiro
Plínio Salgado;integralismo
Integralismo;antissemitismo
Voto feminino;Código Eleitoral de 1932
Bertha Lutz;sufrágio feminino
Carlota Pereira de Queirós;primeira deputada federal
Leolinda Daltro;movimento feminista
Industrialização dos anos 1930;aumento da demanda energética
Paulo Afonso;hidrelétrica
Estado Novo;centralização estatal
Lei Sindical de 1931;sindicato único
Sindicato único;corporativismo
Constituição de 1934;pluralidade sindical limitada
Constituição de 1988;autonomia municipal
Município;ensino fundamental
Código Eleitoral de 1932;representação classista
Representação classista;modelo corporativista
Constituição de 1937;Parlamento Nacional
Conselho Federal;Legislativo do Estado Novo
Constituição de 1946;nacionalismo econômico
Recursos minerais;exploração por brasileiros
Constituição de 1967;regime militar
AI-5;endurecimento da ditadura
