União Ibérica (1580-1640);União das coroas de Portugal e Espanha sob o mesmo monarca
Efeito da União Ibérica;Facilitação da expansão portuguesa além do Tratado de Tordesilhas
Tratado de Tordesilhas;Divisão das terras americanas entre Portugal e Espanha
Bandeirantes;Exploradores paulistas que avançaram pelo interior da colônia
Principal origem dos bandeirantes;Vila de São Paulo de Piratininga
Principal adversário dos bandeirantes;Jesuítas
Objetivo dos jesuítas;Catequizar e proteger os indígenas
Descoberta do ouro;Fator decisivo para a interiorização da colônia
Uti possidetis;Princípio segundo o qual a posse efetiva gera direito territorial
Forte do Presépio;Fundação de Belém em 1616
Nova Colônia do Sacramento;Fundação portuguesa em 1680 na região do Rio da Prata
Drogas do sertão;Produtos amazônicos extraídos para exportação
Pecuária do Rio São Francisco;Atividade que favoreceu a ocupação do interior
Fumo do Recôncavo Baiano;Produto exportado para a Europa e usado no tráfico africano
Dom João IV;Rei que restaurou a independência portuguesa em 1640
Entradas;Expedições de exploração frequentemente associadas ao poder público
Bandeiras;Expedições de exploração geralmente ligadas à iniciativa privada
Synesio Sampaio Goes Filho;Autor que critica a distinção rígida entre entradas e bandeiras
Cassiano Ricardo;Autor que chamou as bandeiras de “cidades em marcha”
Sertão;Interior distante e pouco conhecido da colônia
Economia de São Vicente;Baseada na subsistência e marcada pela estagnação
Causa do bandeirantismo paulista;Pobreza, isolamento e desenraizamento
Guairá;Região de missões jesuíticas muito atacada pelos bandeirantes
Tape;Área de atuação das bandeiras de apresamento indígena
Itatim;Região atingida pelas expedições bandeirantes
Principal atividade das primeiras bandeiras;Apresamento de indígenas
Destino dos indígenas capturados;Fazendas paulistas e mercados coloniais
Hélio Vianna;Historiador que classificou os ciclos das bandeiras
Ciclo de apresamento;Captura e escravização de indígenas
Ouro de lavagem;Exploração aurífera superficial em rios
Sertanismo de contrato;Expedições para destruir quilombos e combater indígenas resistentes
Quilombo dos Palmares;Maior quilombo destruído pelo sertanismo de contrato
Grande ciclo do ouro;Ocupação de Minas Gerais, Goiás e Mato Grosso
Ciclos de povoamento;Formação de núcleos populacionais em novas regiões
Efeito das bandeiras de apresamento;Despovoamento indígena de amplas áreas
Vale do Rio Tietê;Região cujos indígenas foram dizimados pelas primeiras bandeiras
Reduções jesuíticas;Aldeamentos indígenas organizados pelos jesuítas
Principal fonte sobre os bandeirantes;Literatura jesuítica antibandeirante
Jesuítas espanhóis;Autores de muitos relatos sobre os conflitos com bandeirantes
