Rota da Ilha das Guianas;Integra Guiana, Guiana Francesa, Suriname, Venezuela, Amapá, Amazonas, Pará e Roraima
Estrada Transguianense;Liga Caiena, Paramaribo e Georgetown
Integração latino-americana;Prevista expressamente na Constituição Federal de 1988
Jazidas de potássio de Itacoatiara e Itapiranga;Próximas ao rio Amazonas e às linhas de transmissão de Tucuruí
Financiamento das Rotas de Integração;BNDES, BID, CAF e FONPLATA
Tratado de Cooperação Amazônica (TCA);Assinado em 1978 por oito países amazônicos
Organização do Tratado de Cooperação Amazônica (OTCA);Criada em 1998 para fortalecer institucionalmente o TCA
Cúpula da Amazônia de 2023;Realizada em Belém nos dias 8 e 9 de agosto
Países florestais convidados em Belém;Indonésia, República Democrática do Congo e República do Congo
Documento “Unidos por Nossas Florestas”;Defende financiamento climático pelos países desenvolvidos
Primeira reunião presidencial do TCA após longo intervalo;Realizada em 2023, após a última em 2009
Financiamento climático inovador;Inclui troca de dívida por ações climáticas
Formação geológica Vaca Muerta;Principal reserva argentina de hidrocarbonetos não convencionais
Província argentina associada a Vaca Muerta;Neuquén
Gasoduto de Vaca Muerta;Reforça a segurança energética regional
Comércio Brasil–Argentina;Forte presença de produtos industrializados de alto valor agregado
Principal produto agrícola exportado pela Argentina;Soja
EUA em 2023;Segundo maior parceiro comercial do Brasil
Exportações brasileiras para os EUA;Predomínio da indústria de transformação
Parceria Global pelos Direitos dos Trabalhadores;Lançada por Brasil e EUA em 2023
Plano de Ação Conjunta sobre Igualdade Racial;Reunião retomada em 2023 pela primeira vez desde 2013
Integração energética sul-americana;Possui histórico de intercâmbios e interconexões regionais
Parlamento do MERCOSUL;Atua na defesa dos regimes democráticos
I Reunião dos Chefes de Estado da América do Sul;Marco da integração sul-americana pós-redemocratização
UNASUL;Iniciativa voltada à integração política sul-americana
Comércio intrazonal do MERCOSUL nos anos 1990;Mais que quadruplicou
União Africana no G20;Tornou-se membro pleno em 2023
G20 Social;Iniciativa pioneira da presidência brasileira
Prioridades brasileiras no G20;Combate à fome, desenvolvimento sustentável e reforma da governança global
Aliança Global contra a Fome e a Pobreza;Mobiliza recursos e políticas eficazes contra fome e pobreza
Novo Banco de Desenvolvimento (NDB);Banco do BRICS voltado à infraestrutura e ao desenvolvimento sustentável
Sede do NDB;Xangai
Cúpula de Fortaleza (2014);Criou o Novo Banco de Desenvolvimento
Ampliação do BRICS em 2011;Entrada formal da África do Sul
Expansão anunciada em Joanesburgo (2023);Segunda ampliação do grupo BRICS
Reforma do Conselho de Segurança da ONU;Tema apoiado por Brasil, Índia e África do Sul
Tratado do Alto-Mar (BBNJ);Regula biodiversidade marinha além da jurisdição nacional
Convenção-Quadro da ONU sobre Mudança do Clima;Criada na Rio-92
OTCA;Única organização internacional sediada em Brasília
Declaração de Belém (2023);Reforço institucional da OTCA
Missão 1.5;Incentiva maior ambição climática nas NDCs
Coalizão Global para a Justiça Social;Iniciativa lançada pela OIT em 2024
OIT;Criada após a Primeira Guerra Mundial
Agenda 2030;Estabeleceu 17 Objetivos de Desenvolvimento Sustentável
ODS 18 do Brasil;Combate ao racismo e à discriminação étnico-racial
Declaração do Consenso de Genebra;Abandonada pelo Brasil em 2023
Conselho de Direitos Humanos da ONU;Brasil exerce mandato eletivo de 2024 a 2026
Revisão Periódica Universal (RPU);Avalia a situação de direitos humanos dos países
Países signatários do TCA;Brasil, Bolívia, Colômbia, Equador, Guiana, Peru, Suriname e Venezuela
Amazônia;Tema central da cooperação regional sul-americana
Rotas de Integração e Desenvolvimento Sul-Americano;Projeto voltado à integração física e econômica regional
Infraestrutura sul-americana;Instrumento para ampliar integração econômica e logística
Governança global;Uma das prioridades da presidência brasileira do G20
