Realismo;"Estado como ator central e racional; visão pessimista da natureza humana; sistema internacional anárquico e conflituoso; sobrevivência como objetivo central; cooperação limitada pelos interesses nacionais."
Edward H. Carr;"Autor clássico do realismo; crítica ao idealismo liberal e defesa da política baseada no poder."
John Herz;Realista associado ao conceito de “dilema de segurança”.
Hans Morgenthau;"Principal formulador do realismo clássico; política internacional guiada pelo interesse definido em termos de poder."
Liberalismo;"Visão otimista da natureza humana; comércio reduz conflitos; democracias tendem à paz; importância das OIs e do direito internacional para paz e prosperidade."
Norman Angell;Liberal que defendia que a interdependência econômica reduzia incentivos à guerra.
Woodrow Wilson;"Associado ao idealismo liberal; defesa da cooperação internacional e da Liga das Nações."
Neorrealismo;"Ênfase na estrutura do sistema internacional anárquico; distribuição de poder molda o comportamento estatal."
Kenneth Waltz;"Criador do realismo defensivo; Estados buscam segurança e equilíbrio de poder."
John Mearsheimer;"Principal autor do realismo ofensivo; Estados buscam maximizar poder e hegemonia."
Realismo Defensivo;Estados procuram garantir segurança, evitando expansão excessiva que gere reações contrárias.
Realismo Ofensivo;Estados buscam ampliar continuamente seu poder para sobreviver no SI anárquico.
Neoliberalismo;"Cooperação é possível mesmo na anarquia; instituições internacionais reduzem custos de transação e ampliam transparência."
Robert Keohane;Autor neoliberal focado em regimes internacionais e cooperação.
Joseph Nye;Desenvolveu o conceito de interdependência complexa e soft power.
Interdependência Complexa;Crescente conexão entre Estados e atores transnacionais amplia incentivos à cooperação.
Escola Inglesa;"Estados convivem em sociedade internacional mesmo na anarquia; combinação entre poder, regras e valores compartilhados."
Hedley Bull;"Autor de “A Sociedade Anárquica”; defesa da ideia de sociedade internacional."
Martin Wight;Criador dos “três Rs”: realismo, racionalismo e revolucionismo.
Escola de Copenhague;"Segurança entendida como construção social; foco na securitização de temas internacionais."
Barry Buzan;Autor central da teoria da securitização.
Ole Waever;Desenvolveu o conceito de securitização junto a Buzan.
Securitização;Processo pelo qual um tema é transformado em questão de segurança por construção discursiva e social.
Teoria Crítica;"Influência marxista; SI hierárquico e hegemônico; crítica às estruturas de dominação centro-periferia."
Immanuel Wallerstein;"Criador da teoria do sistema-mundo; divisão entre centro, periferia e semiperiferia."
Robert Cox;"“Toda teoria é para alguém e para algum propósito”; crítica às estruturas hegemônicas."
Construtivismo;"Realidade internacional é socialmente construída; identidades e interesses surgem das interações sociais."
Alexander Wendt;“A anarquia é aquilo que os Estados fazem dela”.
Nicholas Onuf;"Um dos fundadores do construtivismo; ênfase nas regras e discursos."
Pós-colonialismo;Critica a permanência da hegemonia ocidental política e cultural sobre sociedades pós-coloniais.
Edward Said;"Autor de “Orientalismo”; crítica às representações ocidentais do Oriente."
Gayatri Spivak;Debate sobre subalternidade e voz dos colonizados.
Frantz Fanon;Análise psicológica e política do colonialismo e da descolonização.
Feminismo nas RI;Destaca a hierarquia de gênero no sistema internacional e a predominância masculina nas estruturas de poder.
J. Ann Tickner;"Principal autora feminista das RI; crítica ao realismo tradicional."
Cynthia Enloe;Estudo das relações entre gênero, militarismo e política internacional.
Equidistância Pragmática;Política de Vargas (1930-45): aproximação simultânea de EUA e Alemanha conforme interesses brasileiros.
Acordos de Washington;Acordos Brasil-EUA durante a Segunda Guerra envolvendo cooperação militar e econômica.
Bretton Woods;"Conferência que criou FMI e Banco Mundial; participação brasileira."
Conferência de São Francisco;Conferência que criou a ONU em 1945.
Dutra (1946-1951);Forte alinhamento aos EUA durante início da Guerra Fria.
TIAR;"Tratado Interamericano de Assistência Recíproca; defesa coletiva hemisférica."
GATT;Acordo Geral sobre Tarifas e Comércio, precursor da OMC.
Memorando da Frustração;Documento que expressou insatisfação brasileira com a limitada cooperação econômica dos EUA.
CMBEU;Comissão Mista Brasil-EUA voltada à cooperação econômica e desenvolvimento.
Guerra da Coreia;Vargas recusou envio de tropas brasileiras ao conflito.
Pacto ABC;Tentativa de integração entre Argentina, Brasil e Chile que fracassou.
SUMOC 113;Medida que facilitou entrada de capital estrangeiro no Brasil.
JK (1956-1961);Política externa desenvolvimentista e diversificação comercial.
Operação Pan-Americana;"Proposta de JK para desenvolvimento latino-americano; antecedente da Aliança para o Progresso."
Comitê dos 21;Grupo criado no âmbito da OPA para discutir desenvolvimento regional.
BID;Banco Interamericano de Desenvolvimento.
ALALC;Associação Latino-Americana de Livre Comércio.
Operação Brasil-Ásia;Tentativa de aproximação comercial brasileira com países asiáticos.
PEI;Política Externa Independente baseada em universalismo, pragmatismo e desideologização.
Jânio Quadros;Adotou a Política Externa Independente em 1961.
Encontro de Uruguaiana;Aproximação diplomática entre Brasil e Argentina.
Che Guevara;Recebeu condecoração brasileira de Jânio Quadros.
João Goulart;Continuidade parcial da PEI e aproximação com países socialistas.
Conferência de Belgrado;"Reunião fundadora do Movimento dos Não Alinhados; Brasil participou como observador."
Punta del Este;Brasil absteve-se da exclusão de Cuba da OEA.
Missão Albino;Bons ofícios brasileiros na crise dos mísseis cubanos.
Guerra da Lagosta;Conflito diplomático entre Brasil e França sobre pesca marítima.
Discurso dos 3Ds;Defesa de desarmamento, desenvolvimento e descolonização na ONU.
Castelo Branco;Reaproximação e alinhamento com os EUA após 1964.
“Passo fora da cadência”;Expressão associada ao alinhamento automático com os EUA.
Força Interamericana de Paz;Participação brasileira na intervenção na República Dominicana.
Tratado de Tlatelolco;Proibição de armas nucleares na América Latina e Caribe.
UNCTAD;"Conferência da ONU voltada ao comércio e desenvolvimento; defesa de reformas econômicas internacionais."
;
;
Costa e Silva (1967-1969);Retomada parcial da Política Externa Independente (PEI).
Índia e Brasil;"Aproximação com a Índia; visita de Indira Gandhi e acordo comercial."
TNP;Brasil opôs-se ao Tratado de Não Proliferação Nuclear por considerá-lo discriminatório.
Tratado da Bacia do Prata;Cooperação entre Brasil, Argentina, Uruguai, Paraguai e Bolívia para integração física e desenvolvimento regional.
Garrastazu Médici (1969-1974);Política externa marcada pelo pragmatismo econômico e ampliação da autonomia internacional.
Expansão do Mar Territorial;Ampliação do mar territorial brasileiro para 200 milhas.
Japão e Brasil;Aproximação por meio de acordo de cooperação técnica.
Congelamento do Poder Mundial;Tese de Araújo Castro criticando a concentração de poder nas grandes potências.
Convenção sobre Igualdade com Portugal;Garantia de direitos recíprocos entre brasileiros e portugueses.
Angra I;Acordo Brasil-EUA para construção da usina nuclear de Angra I.
Conferência de Estocolmo;Brasil adotou postura defensiva frente às críticas ambientais dos países desenvolvidos.
Périplo Africano;Viagem diplomática de Gibson Barboza para aproximação com países africanos.
Tratado de Itaipu;Acordo Brasil-Paraguai para construção da Usina de Itaipu.
Geisel (1974-1979);Política do Pragmatismo Ecumênico e Responsável, com maior autonomia externa.
Pragmatismo Ecumênico e Responsável;Política externa de Geisel baseada em universalismo e diversificação de parcerias.
China Comunista;Restabelecimento de relações diplomáticas com a República Popular da China.
Acordo Nuclear Brasil-RFA;Cooperação nuclear entre Brasil e Alemanha Ocidental.
Apartheid;Brasil votou pela condenação do apartheid na ONU.
Sionismo e Racismo;Brasil votou favoravelmente à resolução da AGNU que equiparava sionismo ao racismo.
Cooperação Militar BR-EUA;Geisel interrompeu acordo militar com os EUA.
Independência de Angola;Brasil reconheceu o governo socialista angolano do MPLA.
TCA;Tratado de Cooperação Amazônica assinado em 1978.
Figueiredo (1979-1985);Continuidade da aproximação regional e ampliação das relações Sul-Sul.
