O que George Weerth expressou em 11 de março de 1848?;"Acreditava que a Revolução mudaria o planeta e apoiava a república (""Vive la Republique!"")."
Qual era o sentimento do poeta Joseph von Eichendorff em 1849?;Desgosto pela corrupção moral da época, preferia emigrar para a América se pudesse.
Quem alertou sobre a iminência da revolução em 1848?;"Alexis de Tocqueville, que falou sobre o ""vento das revoluções"" na Câmara dos Deputados francesas."
Qual documento Marx e Engels publicaram em fevereiro de 1848?;O Manifesto do Partido Comunista, pregando a revolução proletária.
Onde começou a revolução em 1848 e como ela se espalhou?;Começou na França (fevereiro), rapidamente atingindo Alemanha, Áustria, Itália e outros países europeus.
Por que 1848 foi uma revolução única?;Porque foi rápida, abrangente, afetou países desenvolvidos e atrasados, e teve repercussão global, incluindo América.
Qual foi o destino da maioria das revoluções de 1848?;Apesar da explosão rápida, a maioria foi derrotada e os regimes restaurados em 18 meses, exceto na França.
Por que a Europa falhou em mudar em 1848?;Falhou em mudar de forma revolucionária, sendo 1848 apenas uma abertura para mudanças futuras.
Quais regiões da Europa não foram atingidas pela revolução?;Periferias como Península Ibérica, Suécia, Grécia, Rússia, Império Otomano, Inglaterra e Bélgica.
Quais as características sociais das regiões atingidas?;"Oeste: camponeses livres, classe média urbana; Leste: camponeses servos, nobreza rural dominante."
O que diferenciava a zona revolucionária do centro da Europa?;Era heterogênea social, política e economicamente, com diferenças marcantes entre regiões desenvolvidas e atrasadas.
Quais projetos nacionais estavam em jogo na revolução?;Unificação alemã (unitária ou federal) e unificação italiana contra o Império Austro-Húngaro multinacional.
Quem resistia aos movimentos nacionais alemães e italianos?;Povos como tchecos, húngaros, poloneses, romenos e outros que estavam sob domínio dos Habsburgos.
Qual era a visão dos tchecos sobre o Império Austríaco?;"Via o Império como mal menor comparado ao nacionalismo expansionista, dizendo: ""Se a Áustria não existisse, seria preciso inventá-la""."
ual era a solução defendida pelos radicais em 1848?;Uma república democrática unitária e centralizada baseada nos princípios da Revolução Francesa, com bandeira tricolor.
Por que os moderados temiam a democracia?;Associavam democracia à revolução social e queriam preservar a ordem social sem derrubar totalmente os príncipes.
Qual era o dilema dos moderados para criar a Alemanha?;Se incluíam o rei da Prússia e o imperador da Áustria (grande-alemães) ou excluíam a Áustria (pequeno-alemães).
Quem predominava entre os moderados liberais na Alemanha?;Professores e funcionários públicos (68% deputados na Assembleia de Frankfurt eram funcionários).
Como os debates da Assembleia de Frankfurt foram vistos?;"Como um exemplo de ""inteligente futilidade"", muitas discussões, pouca ação prática."
Qual o sentimento comum das revoluções de 1848?;Romântico-utópico, cheio de esperança, simbolizado por barbas, gravatas, bandeiras tricolores e barricadas.
Qual foi o destino geral das revoluções de 1848?;Vitoriosas rapidamente, mas derrotadas quase igualmente rápido e quase totalmente em poucos meses.
O que marcou a contra-ofensiva conservadora na França?;A eleição de abril de 1848 com sufrágio universal, que elegeu muitos conservadores, e a derrota da insurreição de junho.
Como a revolução foi derrotada na Europa Central?;O exército dos Habsburgos reagiu, derrotou insurreições em Praga e reconquistou territórios da Boêmia e Itália do Norte.
Que intervenção derrubou a revolução nos principados do Danúbio?;Intervenção militar da Rússia e do Império Otomano.
Quando a revolução foi definitivamente derrotada?;Após a capitulação da Hungria e de Veneza, em agosto de 1849.
Quais foram as consequências políticas após 1849?;Restauraram-se antigos regimes, exílio dos revolucionários e fim dos sonhos políticos da primavera de 1848.
Qual foi a única mudança irreversível pós-1848?;A abolição da escravatura no Império dos Habsburgos.
Como 1848 se compara ao movimento cartista inglês?;Ambos tiveram grande promessa e falha revolucionária, mas objetivos cartistas foram alcançados lentamente e sem revolução.
Qual documento de 1848 teve efeito duradouro na história?;O Manifesto Comunista, de Marx e Engels.
Quem eram os principais agentes das revoluções de 1848?;Os trabalhadores pobres, que fizeram e morreram nas barricadas urbanas.
Por que os moderados liberais temiam os trabalhadores pobres?;Porque as revoluções sociais dos trabalhadores assustavam os moderados, que temiam a perda da ordem social.
O que o conde Cavour disse sobre oposicionistas e conservadores?;Que muitos oposicionistas radicais se uniriam aos conservadores se a ordem social fosse realmente ameaçada.
Como os mortos das lutas de 1848 eram distribuídos socialmente?;"A maioria era de trabalhadores e mestres-artesãos; poucas classes educadas ou proprietários morreram."
Qual ação política importante aconteceu na Hungria em 1848?;A abolição imediata da escravatura, votada pela Dieta composta por proprietários, por medo de insurreição escrava.
Como os camponeses reagiram nas regiões ocidentais e no sul da Itália?;"Nas regiões ocidentais estavam relativamente calmos; no sul da Itália, houve insurreições camponesas espontâneas."
Como a classe média via o comunismo proletário na Alemanha?;"A maioria não estava assustado; o movimento proletário forte só existia em Colônia e Berlim."
Qual era o objetivo da revolução de fevereiro em Paris?;"Não apenas uma república, mas uma ""república social e democrática"" liderada por socialistas e comunistas."
Qual bandeira quase representou a revolução de fevereiro?;A bandeira vermelha da revolta social, ao invés da tricolor tradicional.
Por que os moderados preferiam negociação?;Evitavam confronto direto e buscavam concessões que os absolutistas teriam que aceitar eventualmente.
O que aconteceu com os liberais moderados após as barricadas?;Tornaram-se conservadores em potencial, unindo-se ao velho regime contra os radicais.
Qual foi o momento decisivo da confrontação revolucionária?;A insurreição de junho de 1848 em Paris, quando trabalhadores foram derrotados e massacrados.
Quantas pessoas morreram e foram presas após a insurreição de junho?;Cerca de 1.500 mortos, 3.000 trucidados e 12.000 presos, muitos deportados para a Argélia.
Onde a revolução teve mais força após junho de 1848?;Em países com luta por libertação nacional, como Itália e Hungria, que mobilizaram as massas continuamente.
Por que a unificação alemã enfrentou dificuldades?;"Prússia e Áustria, ambos ""superpoderes alemães"", impediam a unificação nacional."
Como as aspirações nacionais eslavas se relacionaram com a revolução?;Entraram em conflito com alemães e magiares e, em geral, apoiaram a contra-revolução, vendo o Império Austríaco como proteção.
Qual o papel dos moderados na Itália?;Lideraram a luta antiaustríaca inicialmente, mas foram derrotados pela fraqueza militar e hesitação política.
O que aconteceu com a república romana em 1849?;Foi instalada pelos radicais italianos, mas durou pouco, reconquistada pelos austríacos e franceses em junho.
Como Mazzini via o socialismo e a revolução social?;Desprezava o socialismo, opunha-se à interferência na propriedade privada, e preferia interesses espirituais para o povo.
Quem ajudou a reprimir a revolução italiana?;Exércitos da Áustria e França, que reconquistaram Roma para assegurar influência diplomática e apoio católico.
Como era a situação política da Hungria antes da revolução de 1848?;Era uma entidade quase soberana, com constituição eficiente e autonomia, mas sem independência completa.
Quem governava a Hungria e qual o problema com a população?;A aristocracia magiar governava uma população diversa, com 60% de croatas, sérvios, eslovacos, romenos e ucranianos.
Qual era a política de magiarização?;Tentava incorporar regiões autônomas ao estado magiar, ignorando as diferenças nacionais das minorias.
Quem apoiava as minorias contra a magiarização?;"A Corte de Viena, que usava a tática ""divide e impera"" para enfraquecer a revolução."
Quem liderou o exército contra a revolução em Viena e Hungria?;O exército croata, comandado pelo barão de Jellacic, aliado aos imperialistas.
Por que a Hungria manteve apoio popular?;"Por razões nacionais e sociais; os camponeses viam a liberdade como dada pela Dieta Húngara, não pelo imperador."
Quem foi Louis Kossuth?;Líder revolucionário húngaro, advogado e jornalista, figura mais famosa da revolução de 1848.
Qual foi a posição da Hungria após a batalha de Custozza?;O governo húngaro foi invadido pela Áustria, que cancelou reformas e exigiu capitulação ou radicalização.
O que Kossuth fez em resposta?;Depôs o imperador e declarou autonomia da Hungria em 1849, embora sem proclamar formalmente a república.
Qual foi o papel de Görgei na revolução húngara?;Líder militar que permitiu resistência ao exército austríaco até a intervenção russa.
Como a revolução húngara terminou?;"Capitulação em 13 de agosto de 1849 ao exército russo, não aos austríacos; derrota por intervenção externa esmagadora."
Por que a revolução húngara não caiu por fraqueza interna?;"Porque o apoio popular e liderança eram fortes; a queda foi causada pela intervenção externa."
Qual grupo social preferiu a ordem em vez da revolução?;A burguesia, que temia a ameaça à propriedade e preferia uma monarquia constitucional estável.
"O que foi o ""partido da ordem""?";Grupo de elites influentes que priorizou a estabilidade e apoiou regimes conservadores pós-revolução.
Qual foi a posição dos banqueiros e comerciantes prussianos?;Queriam monarquia constitucional limitada, sem sufrágio democrático amplo.
O que aconteceu com os moderados liberais após 1848?;Perceberam que podiam conseguir reformas econômicas e legais sem revoluções perigosas.
Quem formava o grosso da força revolucionária?;Radicais da baixa classe média, artesãos, pequenos proprietários e agricultores, liderados por intelectuais jovens.
Os intelectuais foram a força principal da revolução?;"Não, eram proeminentes mas não a força principal; representavam a pequena-burguesia radical."
Quais eram as raízes do radicalismo intelectual?;Falta de posições sociais adequadas para a massa de educados e salários baixos em relação às ambições.
O que aconteceu com os estudantes radicais após a revolução?;Muitos se acomodaram nas décadas seguintes, ingressando em carreiras estáveis na burguesia.
Como mudou a origem social dos professores franceses até 1877?;"De 10% vindos da elite (""notáveis"") em 1842 para nenhum em 1877, indicando maior mobilidade social."
"Como os radicais democratas reagiram à ""revolução vermelha""?";Vacilaram entre simpatia pelo povo e interesse na propriedade, mas nunca se afastaram muito da direita.
Qual era a principal fraqueza dos trabalhadores pobres?;Falta de organização, liderança e conjuntura histórica para uma alternativa política eficaz.
Onde os trabalhadores pobres concentravam sua força?;Nas grandes cidades e capitais, onde a fome e insatisfação eram mais agudas.
Por que os trabalhadores pobres eram uma minoria nas cidades?;Porque numericamente eram insuficientes e não estavam politicamente maduros ou organizados.
Quem eram os trabalhadores mais politicamente conscientes?;Artesãos pré-industriais, com maior ativismo político.
Como era a ideologia dos trabalhadores não-especializados?;"Pouco desenvolvida; eles focavam mais em problemas econômicos imediatos que em ideologias políticas."
Onde os plebeus urbanos tornavam-se uma força política?;Sob influência jacobinista, socialista ou ativista estudantil, especialmente em Viena e Paris.
A participação eleitoral dos trabalhadores pobres era alta?;Não, era baixa e imprevisível, especialmente fora das áreas rurais radicalizadas.
Como Marx influenciava a extrema-esquerda na Alemanha?;Através da Liga Comunista, que era uma rede nacional para a esquerda radical.
Qual era o potencial revolucionário do proletariado em 1848?;Maior do que seria depois, pois a crise e pauperismo aumentavam a insatisfação e desejo de mudança.
O que evitou que os trabalhadores focassem só em reivindicações econômicas?;A presença de reivindicações políticas em conjunto, tornando a revolução simultaneamente social e política.
Como estava a organização sindical em 1848?;Muito limitada, com poucos membros e associações ainda recém-criadas.
Quem eram os socialistas e comunistas na revolução?;Poucos em número, mas presentes na linha de frente, incluindo Marx, Bakunine e outros.
O que o socialismo significava para seus seguidores em 1848?;Consciência de classe e aspiração a uma sociedade diferente, mas sem definição clara do inimigo ou do capitalismo.
Marx acreditava que a revolução proletária estava próxima?;"Não; ele via a república burguesa como etapa inicial e via a luta futura entre burguesia e proletariado."
Qual era a perspectiva política inicial do proletariado?;Conquistar uma república democrática burguesa antes de avançar para uma revolução proletária.
"O que significava ""revolução permanente""?";A ideia de uma transição contínua e radical entre revolução burguesa e proletária, proposta por Blanqui e Marx.
Marx e Lênin tinham a mesma visão sobre a revolução proletária?;"Não; Marx não acreditou na substituição imediata da revolução burguesa por proletária, como Lênin fez em 1917."
"Houve uma ""segunda edição"" da revolução em 1848?";Não, a classe operária seguiu outro caminho após a derrota da revolução.
Como as revoluções de 1848 podem ser resumidas?;Surgiram como uma grande onda e se quebraram, deixando mais mito e promessa do que mudanças concretas.
"Por que as revoluções ""deveriam ter sido"" burguesas?";Porque a burguesia era a classe social com interesse, mas ela fugiu das revoluções.
Por que a França não liderou a consolidação das revoluções?;A burguesia francesa preferiu estabilidade interna e os líderes moderados hesitaram em pedir intervenção.
Qual era o problema das lutas nacionais em 1848?;Ficaram isoladas, fracas e não conseguiram enfrentar os poderes dominantes antigos.
O que aconteceu com os grandes líderes revolucionários?;Desapareceram após poucos meses, com exceção de Garibaldi que teve sucesso posterior.
Qual legado político deixaram as revoluções de 1848?;O fim da política da tradição e do direito divino das monarquias na Europa ocidental.
