"Who said, ""The lamps are going out all over Europe,"" and in what context?";Edward Grey, British Foreign Secretary, said this in 1914 as Britain entered WWI, symbolizing the end of an era of peace.
What was the significance of Karl Kraus's The Last Days of Humanity?;It was a satirical reportage-drama condemning WWI, portraying it as the end of civilization.
"What period does the ""Thirty-One Years’ World War"" refer to?";From Austria's declaration of war on Serbia in 1914 to Japan’s surrender in 1945.
"How did people who grew up before 1914 perceive ""peace""?";"They saw ""peace"" as meaning ""before 1914""; afterward, the world changed so radically that it no longer deserved the name."
Why was the First World War historically significant in terms of global participation?;It involved almost all major powers and mobilized troops from various continents, making it the first truly global war.
How did WWI mark a change in the geography and scale of warfare?;For the first time, battles and troop deployments spanned multiple continents and oceans.
What made WWII literally global?;Nearly all independent states participated, willingly or not, and fighting occurred worldwide.
What are examples of non-European troops involved in WWI?;Canadians in France, ANZACs at Gallipoli, Indians in Europe/Middle East, Chinese laborers, Africans in French armies.
What statistic shows the unprecedented scale of 20th-century wars?;The four deadliest international wars between 1816–1965 happened in the 20th century, each killing over a million.
What strategic mistake did Germany repeat in both World Wars?;Attempting a two-front war by first attacking France, then Russia.
Why did Germany need a quick victory in WWI?;To avoid being overwhelmed by prolonged fighting on two fronts.
What was the outcome of the 1914 Battle of the Marne?;The German advance was stopped near Paris, ruining their plan for a swift victory in the West.
What characterized the Western Front after 1914?;A static front of trenches stretching from Flanders to Switzerland, with little movement for over three years.
What was the 'Western Front' in WWI known for?;It became a machine for massacre, with trench warfare, millions of casualties, and little territorial movement.
What was a typical tactic used to break the stalemate on the Western Front?;Artillery bombardments followed by waves of soldiers attacking through no-man’s land, often resulting in mass slaughter.
What was the outcome of the Battle of Verdun (1916)?;A failed German offensive involving 2 million men and 1 million casualties.
How many British casualties occurred on the first day of the Battle of the Somme?;About 60,000, with 420,000 total British losses during the offensive.
Why did WWI leave such a traumatic legacy in Britain and France?;Due to the massive casualties, especially among young men, and the brutality of trench warfare.
What percentage of French men of military age were killed in WWI?;Nearly 20%, with over two-thirds either killed, wounded, captured, or disfigured.
What was the fate of British upper-class youth in WWI?;"Many were killed as officers leading troops; 25% of Oxford and Cambridge students under 25 died."
How do U.S. WWI losses highlight the Western Front's brutality?;Despite brief involvement, the U.S. lost 116,000 men, showing the deadly nature of that front.
How did WWI influence politics and warfare after 1918?;It brutalized warfare and politics, desensitized violence, and radicalized some veterans like Hitler.
What impact did WWI have on public opinion in democracies?;It led to widespread anti-war sentiment, influencing military policies and leading to reluctance in future conflicts.
How did fear of another WWI-like conflict shape WWII strategy in Britain and France?;Both nations were initially unwilling to engage in another massive land war, which aided Germany's early success.
