;
A colonização portuguesa na América teve sentido predominantemente mercantil.;Certo
A ocupação inicial da América portuguesa ocorreu porque o principal interesse mercantil de Portugal já estava no Brasil.;Errado
No período pré-colonial, o principal interesse português era a Ásia, não a América.;Certo
A ocupação americana inicial teve também objetivos geopolíticos ligados ao controle do Atlântico.;Certo
Os objetivos religiosos foram irrelevantes para a colonização portuguesa.;Errado
A atuação dos jesuítas na Colônia indicava apenas interesses econômicos disfarçados.;Errado
A autoridade da Coroa portuguesa na Colônia foi igual em todo o território.;Errado
Bahia, Pernambuco e Rio de Janeiro receberam maior atenção da Coroa portuguesa.;Certo
Capitanias menos importantes gozavam de maior autonomia.;Certo
O fracasso das capitanias hereditárias foi total e absoluto.;Errado
O sistema de capitanias hereditárias estava ligado à tradição feudal portuguesa.;Certo
As sesmarias reforçaram uma estrutura social hierarquizada e verticalizada.;Certo
A hierarquia social colonial desapareceu com o enfraquecimento do feudalismo.;Errado
O monopólio é elemento central do mercantilismo.;Certo
O mercantilismo constituiu uma teoria econômica abstrata e homogênea.;Errado
O mercantilismo sustentava economicamente o Estado absolutista.;Certo
O absolutismo foi sempre plenamente realizado pelos Estados modernos.;Errado
Guerras mercantis eram vistas como instrumento de fortalecimento do Estado.;Certo
Nem toda prática mercantilista gerava lucro econômico direto.;Certo
Portugal e Espanha priorizaram o colonialismo como forma de acumulação de recursos.;Certo
O açúcar foi escolhido por ser um produto de alto valor agregado.;Certo
A economia açucareira colonial era voltada prioritariamente para o mercado interno.;Errado
A visão dos ciclos econômicos de Roberto Simonsen permanece incontestada.;Errado
A sociedade colonial desenvolveu dinâmicas próprias além dos interesses metropolitanos.;Certo
A cidade colonial simbolizava liberdade em relação ao poder metropolitano.;Errado
O pelourinho era símbolo do exercício da autoridade e da violência colonial.;Certo
Os quilombos representavam espaços de liberdade fora do controle colonial.;Certo
Muitas cidades coloniais surgiram a partir de fortes e igrejas.;Certo
A fundação do Rio de Janeiro teve função defensiva contra invasores estrangeiros.;Certo
A presença portuguesa na África também se organizou inicialmente em torno de fortes.;Certo
;
;
;
Ilmar Mattos interpreta a relação metrópole–colônia como um pacto equilibrado entre as partes.;Errado
A metáfora da “moeda colonial” indica interdependência entre interesses metropolitanos e coloniais.;Certo
A análise de Ilmar Mattos concentra-se principalmente no período pós-Independência.;Certo
O chamado “tempo saquarema” refere-se ao fortalecimento de um projeto conservador no Império.;Certo
O monopólio era elemento estruturante de todas as relações sociais na Colônia.;Certo
Na sociedade colonial, era possível escapar completamente ao monopólio vivendo nas cidades.;Errado
O comércio colonial era monopolizado pelo colonizador em favor da metrópole.;Certo
O contrabando era inexistente devido ao rígido controle da Coroa.;Errado
Havia monopólio religioso exercido pela Igreja Católica na Colônia.;Certo
O Santo Ofício atuou na Colônia reprimindo desvios da fé católica.;Certo
O sertão representava maior liberdade em relação à autoridade metropolitana.;Certo
Os bandeirantes paulistas eram rigidamente subordinados às ordens do rei de Portugal.;Errado
A escravização indígena foi uma prática frequentemente contestada pelos bandeirantes.;Errado
Colonizadores eram agentes diretos ou indiretos dos interesses metropolitanos.;Certo
Na Colônia portuguesa, a distinção entre nascidos na metrópole e na colônia era tão rígida quanto na América espanhola.;Errado
Brasileiros podiam ascender à alta burocracia portuguesa.;Certo
Colonos eram os detentores dos meios de produção na Colônia.;Certo
O senhor de engenho, a terra e o escravo formavam a base do poder colonial.;Certo
O comerciante ocupava posição social inferior ao senhor de terras na Colônia.;Errado
Comerciantes eram frequentemente credores dos senhores de engenho.;Certo
Houve conflitos entre comerciantes e senhores de engenho nas cidades coloniais.;Certo
A Guerra dos Mascates expressou tensões entre comerciantes e senhores rurais.;Certo
A Coroa utilizava títulos e cargos para reduzir conflitos sociais na Colônia.;Certo
A hierarquia colonial inexistia entre os próprios colonos.;Errado
A posse de ao menos um escravo afastava o estigma do trabalho manual.;Certo
A mão de obra era mais abundante que a terra na Colônia.;Errado
O sistema de sesmarias contribuiu para a formação do latifúndio brasileiro.;Certo
A ocupação integral das sesmarias era comum.;Errado
Foreiros pagavam foro aos proprietários das terras.;Certo
O modelo de plantation exigia grande número de escravos.;Certo
Colonizados incluíam escravos, libertos, brancos pobres e mestiços.;Certo
O trabalho era valorizado socialmente na sociedade colonial.;Errado
Muitos colonizados sonhavam com liberdade entendida como não precisar trabalhar.;Certo
A escravidão urbana oferecia mais oportunidades que a rural.;Certo
Escravos ladinos possuíam mais vantagens que os pretos boçais.;Certo
A sociedade colonial estimulava a indignação contra os poderosos.;Errado
O monopólio da violência era exercido principalmente pelo senhor sobre o escravo.;Certo
O pelourinho e o tronco tinham função pedagógica de controle social.;Certo
A hierarquia e a submissão foram aprendizados sociais herdados da Colônia.;Certo
;
;
;
Ciro Flamarion Cardoso critica a dicotomia simplista entre senhores e escravos.;Certo
A historiografia tradicional deu grande atenção aos brancos pobres e mestiços.;Errado
Cardoso propõe o conceito de trabalho compulsório para além da escravidão.;Certo
Escravidão e outras formas de coerção coexistiram na Colônia.;Certo
Escravos africanos, indígenas e brancos pobres ocupavam posições sociais idênticas.;Errado
Houve intenso fluxo de brancos para o Centro-Sul da Colônia.;Certo
A concorrência com brancos dificultava a ascensão de libertos no Nordeste.;Errado
A abundância de terras estimulou o uso do trabalho forçado.;Certo
Trabalhadores livres tenderiam a cultivar suas próprias terras.;Certo
Existiram escravos que possuíam outros escravos.;Certo
Todos os escravos podiam comprar facilmente a própria alforria.;Errado
Houve formas coletivas de compra de liberdade entre escravos.;Certo
A “brecha camponesa” permitia cultivo próprio por escravos.;Certo
A manumissão foi mais frequente no Brasil que em outras áreas escravistas da América.;Certo
A urbanização favoreceu a ampliação das alforrias.;Certo
O declínio das minas reduziu as libertações de escravos.;Errado
Escravos urbanos tinham maior margem de autonomia que os rurais.;Certo
O Estado colonial exercia repressão coletiva para manter a escravidão.;Certo
A destruição de quilombos era função pública do Estado.;Certo
Leis raciais visavam limitar a mobilidade social de libertos.;Certo
A escravidão urbana oferecia menos oportunidades que a rural.;Errado
A escravidão estava concentrada apenas em grandes senhores.;Errado
Existiam muitos pequenos senhores com poucos escravos.;Certo
A transição do trabalho indígena para o africano foi uniforme em toda a Colônia.;Errado
O tráfico africano ganhou força no século XVII.;Certo
Em São Paulo, a escravidão indígena persistiu por longo tempo.;Certo
A descoberta do ouro acelerou a expansão da escravidão africana.;Certo
A explicação da “inadaptabilidade indígena” ao trabalho escravo é considerada válida.;Errado
O fator demográfico foi central na substituição da mão de obra indígena.;Certo
O tráfico negreiro demonstrou autonomia comercial da Colônia.;Certo
Os principais traficantes estavam sediados em Lisboa.;Errado
A retomada de Angola foi organizada a partir do Brasil.;Certo
O desaparecimento indígena estimulou o tráfico africano.;Certo
Os jesuítas monopolizavam a mão de obra indígena.;Certo
A Coroa proibiu reiteradamente a escravização indígena.;Certo
As proibições metropolitanas eliminaram o apresamento indígena.;Errado
A mão de obra era o principal fator de produção na Colônia.;Certo
Na Amazônia, predominou o extrativismo como base econômica.;Certo
A Amazônia colonial baseou-se exclusivamente na plantation.;Errado
No sul, a pecuária resultou da valorização do gado selvagem.;Certo
A expansão no Norte e no Sul teve forte motivação geopolítica.;Certo
A fundação de Belém e da Colônia do Sacramento foi decisiva para a ocupação territorial.;Certo
A expansão territorial colonial seguiu quatro eixos principais.;Certo
O bandeirantismo, a mineração, a pecuária e o extrativismo foram eixos da expansão.;Certo
;
;
A distinção entre “entradas” e “bandeiras” é amplamente aceita pela historiografia atual.;Errado
O termo “bandeira” era usado pelos próprios sertanistas no período colonial.;Errado
A expressão “bandeira” deriva de “bandos” e não de estandartes da Coroa.;Certo
A maioria das incursões sertanistas tinha motivação econômica.;Certo
O bandeirantismo político foi predominante sobre o econômico.;Errado
O bandeirantismo de apresamento visava à captura de indígenas para o trabalho compulsório.;Certo
Os bandeirantes respeitavam as missões jesuíticas.;Errado
Jesuítas chegaram a obter autorização para se armar contra os bandeirantes.;Certo
O bandeirantismo paulista foi predominantemente fluvial desde o início.;Errado
Antes das monções, o bandeirantismo paulista era majoritariamente terrestre.;Certo
Os rios serviam como orientação, mas o deslocamento era feito por terra.;Certo
A divisão didática do bandeirantismo em ciclos é considerada problemática.;Certo
Bandeiras de prospecção resultaram na descoberta de ouro em Minas Gerais.;Certo
O sertanismo de contrato incluía a repressão a quilombos.;Certo
Um bandeirante ignoraria ouro para cumprir sua missão específica.;Errado
A União Ibérica teve impacto direto e decisivo no bandeirantismo paulista.;Errado
A fronteira de Tordesilhas era rigidamente fiscalizada.;Errado
A escassez de escravos pode ter estimulado o bandeirantismo apresador.;Certo
O bandeirantismo foi exclusivamente despovoador.;Errado
Paulistas fundaram vilas e cidades no interior.;Certo
O mito da ilha Brasil orientou efetivamente a ação bandeirante.;Errado
O movimento bandeirante foi majoritariamente espontâneo e local.;Certo
A Coroa portuguesa organizou e financiou sistematicamente as bandeiras.;Errado
As bandeiras de Raposo Tavares tinham finalidade principal de ocupação territorial.;Errado
Há abundantes relatos contemporâneos dos bandeirantes.;Errado
A imagem heroica do bandeirante é uma construção posterior.;Certo
O bandeirantismo foi utilizado para legitimar a elite paulista do século XX.;Certo
Monumentos paulistas refletem a idealização dos bandeirantes.;Certo
Os primeiros relatos sobre bandeirantes foram produzidos por jesuítas espanhóis.;Certo
A “lenda negra” enfatiza a violência das bandeiras.;Certo
O IHGB contribuiu para a redescoberta de fontes sobre o bandeirantismo.;Certo
Pedro Taques produziu relatos ainda no período colonial.;Certo
Alcântara Machado retratou o bandeirante como pobre e rude.;Certo
Os bandeirantes eram, em geral, ricos e cultos.;Errado
A expansão sertanista foi movida exclusivamente pela busca de ouro.;Errado
A atração pelo sertão pode ter tido dimensão cultural e simbólica.;Certo
O legado do bandeirantismo inclui impacto duradouro na cultura brasileira.;Certo
;
;
Os grandes rios tiveram papel central na expansão territorial portuguesa na América.;Certo
As bacias do Prata e Amazônica tiveram importância menor que o Mississippi-Missouri para europeus na América do Norte.;Errado
A ocupação portuguesa no Mato Grosso esteve ligada ao sistema do rio da Prata.;Certo
A região amazônica brasileira é indissociável do papel do rio Amazonas.;Certo
Os rios funcionaram como vias privilegiadas de penetração no sertão.;Certo
A Coroa portuguesa tentou controlar os grandes rios americanos.;Certo
O controle português foi mais eficaz no Sul do que no Norte.;Errado
A ocupação do Norte foi mais conflituosa que a do Prata.;Errado
A presença portuguesa no entorno de Sacramento foi marcada por conflitos constantes.;Certo
A expansão bandeirante paulista contou com presença intensa da Coroa.;Errado
A expansão bandeirante foi majoritariamente privada.;Certo
A presença da Coroa era constante no Pará e no Prata.;Certo
O Tratado de Madri anulou a linha de Tordesilhas.;Certo
A ocupação amazônica enfrentou forte prioridade das coroas europeias rivais.;Errado
A bacia amazônica foi inicialmente abandonada pelos espanhóis.;Certo
Belém foi fundada como fortificação defensiva.;Certo
A fundação de Belém ocorreu após a ocupação francesa do Maranhão.;Certo
Ingleses, franceses e holandeses resistiram à ocupação portuguesa na Amazônia.;Certo
O Estado do Maranhão teve Belém como capital desde sua criação.;Errado
O Estado do Grão-Pará e Maranhão foi extinto por Pombal.;Certo
A fundação de cidades era instrumento jurídico de ocupação territorial.;Certo
A Colônia do Sacramento foi fundada por ordem direta da Coroa portuguesa.;Certo
A fundação de Sacramento ocorreu em 1616.;Errado
Sacramento foi fundada próxima a Buenos Aires.;Certo
Os espanhóis aceitaram pacificamente a fundação de Sacramento.;Errado
A Colônia do Sacramento foi invadida várias vezes pelos espanhóis.;Certo
Sacramento foi devolvida a Portugal após tratados diplomáticos.;Certo
O Tratado de Utrecht de 1715 devolveu Sacramento a Portugal.;Certo
O cerco espanhol de 1735 foi bem-sucedido.;Errado
A disputa por Sacramento era prioritária para Portugal e Espanha.;Certo
A Espanha desejava controlar ambas as margens do Prata.;Certo
Portugal ambicionava a margem oriental do Prata.;Certo
A fundação de Montevidéu visou isolar a Colônia do Sacramento.;Certo
Alexandre de Gusmão estimulou a ocupação do sul do Brasil.;Certo
Casais açorianos contribuíram para a ocupação do Rio Grande do Sul.;Certo
A devolução recorrente de Sacramento explica-se apenas por fatores locais.;Errado
O sistema europeu de alianças influenciou a disputa colonial americana.;Certo
A aliança inglesa favoreceu Portugal em tratados do século XVIII.;Certo
Um padrinho diplomático podia ser mais decisivo que a força militar local.;Certo
A Coroa teve presença firme tanto na Amazônia quanto no Prata.;Certo
Os agentes da Coroa no Prata eram majoritariamente religiosos.;Errado
No Prata, atuavam diretamente funcionários e colonos enviados da metrópole.;Certo
Na Amazônia, os jesuítas foram agentes centrais da ocupação portuguesa.;Certo
A soberania portuguesa no Norte prescindiu da atuação religiosa.;Errado
A economia amazônica baseava-se nas “drogas do sertão”.;Certo
Essas drogas substituíam especiarias asiáticas antes monopolizadas por Portugal.;Certo
A mão de obra indígena foi central na ocupação amazônica.;Certo
Bandeiras fluviais abasteciam de indígenas os colonos do Norte.;Certo
Houve conflitos entre colonos e jesuítas pela mão de obra indígena.;Certo
A Revolta de Beckman resultou na expulsão dos jesuítas do Maranhão.;Certo
A escravização indígena foi proibida com pleno sucesso pela Coroa.;Errado
A ocupação amazônica teve origem frequente em decisões tomadas em Lisboa.;Certo
A prioridade estratégica portuguesa garantiu a soberania na Amazônia.;Certo
;
;
;
O Tratado de Madri foi negociado no final do reinado de D. João V.;Certo
O Tratado de Madri teve efeitos imediatos e plenamente eficazes.;Errado
A obra diplomática de Alexandre de Gusmão fundamenta o território brasileiro atual.;Certo
Antes de 1750, os tratados de fronteira eram abrangentes e globais.;Errado
O Tratado de Madri buscou substituir o Tratado de Tordesilhas.;Certo
Alexandre de Gusmão propôs um tratado compreensivo de fronteiras.;Certo
O princípio do uti possidetis foi central no Tratado de Madri.;Certo
O uti possidetis tinha origem no direito romano.;Certo
Gusmão aplicou o uti possidetis apenas como medida temporária.;Errado
A interpretação de Gusmão ampliou o alcance temporal do uti possidetis.;Certo
O princípio favoreceu os interesses territoriais de Portugal.;Certo
O uso de fronteiras naturais foi relevante na negociação.;Certo
Gusmão rejeitou qualquer cessão territorial.;Errado
O sucesso português deveu-se apenas à habilidade pessoal de Gusmão.;Errado
O contexto internacional favoreceu Portugal nas negociações.;Certo
A balança de poder europeia influenciou o Tratado de Madri.;Certo
A Espanha era governada por um Bourbon sob influência francesa.;Certo
Portugal mantinha forte aliança com a Inglaterra.;Certo
O Tratado de Methuen reforçou o vínculo luso-britânico.;Certo
A Península Ibérica era irrelevante para a política europeia do século XVIII.;Errado
A Guerra de Sucessão espanhola influenciou acordos posteriores.;Certo
Portugal dependia da Inglaterra para manter sua autonomia.;Certo
A aliança com a Inglaterra trouxe apenas vantagens comerciais.;Errado
A mineração tornou D. João V um dos monarcas mais ricos da Europa.;Certo
Minas Gerais era o principal interesse colonial a ser defendido.;Certo
A experiência de Utrecht influenciou a estratégia espanhola.;Certo
A negociação de Madri ocorreu sob ameaça de nova guerra europeia.;Certo
A Guerra dos Sete Anos eclodiu poucos anos após o tratado.;Certo
Espanha e Portugal buscavam isolar as colônias de conflitos europeus.;Certo
O artigo 21 do Tratado de Madri foi sugestão espanhola.;Certo
A Espanha desejava repetir o modelo do Tratado de Utrecht.;Errado
O temor de novas perdas levou Madri a negociar.;Certo
As negociações do Tratado de Madri foram públicas e rápidas.;Errado
Portugal possuía maior prosperidade econômica que a Espanha no período.;Certo
A Espanha enfrentava urgências internas na negociação.;Certo
A rainha da Espanha era portuguesa de nascimento.;Certo
A influência da rainha sobre Fernando VI era limitada.;Errado
O uti possidetis foi aceito pela Espanha sem reservas.;Errado
A Espanha temia perder territórios asiáticos.;Certo
O Mapa das Cortes favorecia Portugal.;Certo
O mapa refletia conhecimento cartográfico preciso das longitudes.;Errado
O Mapa das Cortes foi aceito como base legítima de negociação.;Certo
Portugal cedeu a Colônia do Sacramento no Tratado de Madri.;Certo
Portugal recebeu os Sete Povos das Missões em troca.;Certo
A permuta territorial foi facilmente implementada.;Errado
As condições locais da Colônia foram decisivas para Madri.;Errado
O Tratado de Madri ignorou em grande parte a realidade americana.;Certo
O tratado foi amplamente apoiado ao longo do tempo.;Errado
O Marquês de Pombal defendia o Tratado de Madri.;Errado
O tratado foi anulado pelo Tratado de El Pardo.;Certo
A Guerra Guaranítica decorreu da aplicação de Madri.;Certo
No Sul, as decisões de Madri tiveram pouca durabilidade.;Certo
No Norte, as fronteiras de Madri permaneceram praticamente intactas.;Certo
Tratados posteriores retomaram as linhas de Gusmão.;Certo
O legado de Madri foi consolidado por diplomatas do século XIX.;Certo
;
;
;
A descoberta do ouro em Minas Gerais ocorreu no final do século XVII.;Certo
O encontro entre paulistas e baianos nas Minas marcou a integração regional da Colônia.;Certo
A mineração reforçou a lógica dos arquipélagos coloniais.;Errado
A descoberta do ouro foi súbita e totalmente inesperada.;Errado
A historiografia recente aponta para uma “negociação da descoberta” do ouro.;Certo
Os paulistas já suspeitavam da existência de ouro em Sabarabuçu.;Certo
Fernão Dias enriqueceu rapidamente com a mineração.;Errado
Fernão Dias liderou expedição encomendada pela Coroa.;Certo
A agricultura foi decisiva para a viabilidade das expedições sertanistas.;Certo
Durante o ciclo do ouro, a agricultura foi menos lucrativa que a mineração.;Errado
Minas Gerais tornou-se grande celeiro agrícola no século XIX.;Certo
Borba Gato assassinou um funcionário da Coroa.;Certo
Borba Gato viveu anos como fugitivo no sertão.;Certo
Borba Gato nunca foi perdoado pela Coroa.;Errado
Os paulistas anunciaram imediatamente a descoberta do ouro.;Errado
O anúncio do ouro foi negociado com a Coroa portuguesa.;Certo
A Coroa dependia dos bandeirantes para acessar o ouro.;Certo
Nos primeiros anos, a Coroa arrecadou grande volume do quinto.;Errado
O controle inicial das minas ficou com os paulistas.;Certo
Os primeiros anos da mineração foram marcados por ordem e estabilidade.;Errado
Os preços dos alimentos nas Minas eram muito superiores aos do litoral.;Certo
Houve epidemias de fome na região mineradora.;Certo
A mineração favoreceu o surgimento de núcleos urbanos.;Certo
A Guerra dos Emboabas teve causas demográficas.;Certo
Os emboabas eram majoritariamente paulistas.;Errado
Os não paulistas superaram numericamente os vicentinos.;Certo
Os paulistas mantiveram hegemonia após a guerra.;Errado
A escravidão africana expandiu-se com a mineração.;Certo
O tráfico negreiro estava fora do alcance dos paulistas.;Certo
Técnicas mineradoras de origem espanhola foram introduzidas.;Certo
Os “pretos de Mina” eram valorizados na mineração.;Certo
A liderança emboaba articulou ressentimento político e social.;Certo
Manuel Nunes Viana liderou os emboabas.;Certo
A Guerra dos Emboabas terminou com vitória política dos paulistas.;Errado
A Coroa puniu severamente Manuel Nunes Viana.;Errado
Após a guerra, cresceu a presença da Coroa nas Minas.;Certo
O Estatuto das Minas foi criado para regular a atividade mineradora.;Certo
Casas de fundição ampliaram o controle fiscal da Coroa.;Certo
A separação de Minas Gerais e São Paulo fortaleceu a autoridade real.;Certo
A Revolta de Filipe dos Santos foi reprimida com severidade.;Certo
O Conde de Assumar adotou política conciliatória.;Errado
Após 1720, a Coroa passou a controlar diretamente a região.;Certo
As monções ligaram São Paulo ao Mato Grosso e a Goiás.;Certo
As monções contribuíram para o alargamento territorial do Brasil.;Certo
O Tratado de Madri reconheceu a expansão territorial promovida pelas monções.;Certo
A mineração impulsionou a urbanização no Sudeste.;Certo
O Rio de Janeiro ganhou importância com o ouro.;Certo
Sorocaba destacou-se como centro de abastecimento pecuário.;Certo
As mulas foram essenciais ao abastecimento das Minas.;Certo
O tráfico negreiro tornou-se um dos maiores negócios do período.;Certo
O controle do tráfico negreiro era exclusivamente metropolitano.;Errado
Minas Gerais superou a Bahia em número de escravos.;Certo
O período minerador gerou grande contingente de libertos.;Certo
;
;
;
A sociedade urbana mineradora favoreceu maior número de alforrias do que as áreas rurais açucareiras.;Certo
A vida no eito do engenho oferecia mais oportunidades de acumular pecúlio do que nas cidades mineradoras.;Errado
Escravos colocados a ganho podiam render mais aos senhores do que garimpeiros.;Certo
A promessa de alforria era um estímulo à produtividade do cativo.;Certo
A escassez de mulheres brancas contribuiu para maior miscigenação em Minas Gerais.;Certo
Durante o período minerador, entraram no Brasil menos de um milhão de escravos africanos.;Errado
O período minerador e o renascimento agrícola atraíram brancos pobres para a Colônia.;Certo
Mestiços e mulatos eram frequentemente empregados no serviço da Coroa.;Certo
A mestiçagem foi oficialmente planejada pela Coroa como política explícita de engenharia social.;Errado
Formou-se em Minas Gerais uma camada média mais expressiva que em outras regiões da Colônia.;Certo
Essa camada média era composta sobretudo por grandes proprietários rurais.;Errado
O ano de 1750 marcou a morte de D. João V e a ascensão de D. José I.;Certo
O Tratado de Madri foi assinado em 1750.;Certo
O Marquês de Pombal concentrou progressivamente o poder durante o reinado de D. José I.;Certo
O governo pombalino pode ser caracterizado como iluminista e absolutista.;Certo
O despotismo esclarecido implicava abandono do absolutismo político.;Errado
As reformas pombalinas buscavam reduzir a dependência portuguesa em relação à Inglaterra.;Certo
Os meios do pombalismo eram iluministas, mas os fins eram mercantis.;Certo
A Ilustração foi incorporada sem adaptações à realidade portuguesa.;Errado
O maior êxito da obra pombalina esteve no campo sociocultural.;Certo
As reformas pombalinas eliminaram o absolutismo em Portugal.;Errado
A secularização da sociedade foi um dos efeitos duradouros do pombalismo.;Certo
A racionalização pombalina significou maior liberdade econômica para a Colônia.;Errado
A reconstrução de Lisboa após o terremoto de 1755 fortaleceu o poder de Pombal.;Certo
O distrito diamantino passou por maior controle fiscal durante o período pombalino.;Certo
O sistema de contratos dos diamantes elevou o preço do diamante na Europa.;Errado
A expulsão dos jesuítas ocorreu em 1759.;Certo
O fortalecimento do absolutismo foi um dos objetivos da expulsão dos jesuítas.;Certo
A Companhia de Jesus era economicamente fraca em Portugal e na Colônia.;Errado
A expulsão dos jesuítas foi um fenômeno isolado no mundo católico.;Errado
O Estado retomou áreas antes controladas pelos jesuítas, sobretudo na Amazônia.;Certo
A reforma educacional pombalina criou universidades na Colônia.;Errado
Brasileiros precisavam ir a Coimbra para cursar universidade.;Certo
A reforma do ensino colonial melhorou a qualidade, mas elitizou o acesso.;Certo
As ideias pombalinas tiveram impacto apenas durante o governo de Pombal.;Errado
O modelo de Estado pombalino influenciou a geração da Independência.;Certo
O pombalismo contribuiu para a homogeneidade intelectual dos bacharéis em direito.;Certo
Essa elite jurídica conseguiu impor sua visão de Estado no Brasil imperial.;Certo
O pombalismo foi iluminista e revolucionário.;Errado
As reformas pombalinas intensificaram tensões entre metrópole e Colônia.;Certo
A derrama estava associada à finta de cem arrobas de ouro anuais.;Certo
A criação de companhias comerciais coloniais tinha caráter explorador.;Certo
O declínio do sistema colonial ocorreu apesar das medidas pombalinas.;Certo
