Realismo;Estado como ator central e racional
Natureza humana no Realismo;Pessimista
Sistema Internacional no Realismo;Anárquico e conflituoso
Objetivo dos Estados no Realismo;Sobrevivência
Cooperação no Realismo;Vista com ceticismo
Edward H. Carr;Autor do Realismo
Hans Morgenthau;Autor do Realismo
John Herz;Autor do Realismo
Liberalismo;Visão otimista da natureza humana
Comércio no Liberalismo;Reduz conflitos
Democracias;Tendem a ser mais pacíficas
OIs e Direito Internacional;Promovem paz e prosperidade
Liberalismo;Normativo e prescritivo
Norman Angell;Autor do Liberalismo
Woodrow Wilson;Autor do Liberalismo
Neorrealismo;Foco na estrutura do SI
Estrutura do SI;Influencia comportamento estatal
Kenneth Waltz;Autor do Neorrealismo
John Mearsheimer;Autor do Neorrealismo
Realismo Defensivo;Busca segurança
Realismo Ofensivo;Busca maximizar poder
Neoliberalismo;Cooperação é possível
Interdependência complexa;Amplia incentivos à cooperação
Instituições internacionais;Facilitam cooperação
Estados no Neoliberalismo;Maximizadores de utilidade
Robert Keohane;Autor do Neoliberalismo
Joseph Nye;Autor do Neoliberalismo
Escola Inglesa;Estados convivem em sociedade na anarquia
Hedley Bull;Autor da Escola Inglesa
Martin Wight;Autor da Escola Inglesa
Três Rs da Escola Inglesa;Realismo, racionalismo e revolucionismo
Escola de Copenhague;Foco em segurança
Securitização;Construção social da ameaça
Barry Buzan;Autor da Escola de Copenhague
Ole Waever;Autor da Escola de Copenhague
Teoria Crítica;Influência marxista
SI na Teoria Crítica;Hierárquico e opressor
Centro x periferia;Relação desigual
Robert Cox;Autor da Teoria Crítica
Wallerstein;Autor da Teoria Crítica
Construtivismo;Realidade socialmente construída
Identidades e interesses;Formados socialmente
Agente e estrutura;Constituem-se mutuamente
Alexander Wendt;Autor do Construtivismo
Nicholas Onuf;Autor do Construtivismo
Pós-colonialismo;Crítica à hegemonia ocidental
Colonizadores x colonizados;Relação de dominação e resistência
Edward Said;Autor do Pós-colonialismo
Frantz Fanon;Autor do Pós-colonialismo
Gayatri Spivak;Autor do Pós-colonialismo
Feminismo nas RI;Critica hierarquia de gênero
Masculino no SI;Privilegiado
J. Ann Tickner;Autora do Feminismo
Cynthia Enloe;Autora do Feminismo
Vargas (1930-45);Equidistância pragmática
Equidistância pragmática;Relação com EUA e Alemanha
Acordos de Washington;Firmados com EUA
Brasil em 1942;Rompe com o Eixo
Bretton Woods;Participação brasileira
Conferência de São Francisco;Participação brasileira
Dutra;Alinhamento com EUA
TIAR;Adesão brasileira
