Norma Jurídica;"Conteúdo da regra de direito; comando que impõe dever, permite ou proíbe algo. Ex.: “É proibido matar”."
Regras;"Normas específicas e objetivas; aplicação “tudo ou nada”."
Princípios;"Normas gerais e abstratas; orientam interpretação e aplicação das regras."
Lei / Ato Normativo;"Forma escrita e oficial de manifestação da norma jurídica; criada por órgão competente e com força obrigatória."
Ordenamento Jurídico;Conjunto organizado de todas as normas jurídicas de um país, funcionando como sistema hierárquico e harmônico.
Personalidade Jurídica;Aptidão para ser titular de direitos e deveres.
Pessoa Física;Adquire personalidade jurídica ao nascer com vida.
Pessoa Jurídica;Adquire personalidade jurídica com o registro legal.
PJ de Direito Público;"Integra a Administração Pública; criada por lei; bens impenhoráveis em regra; sujeita a licitação e concurso. Ex.: autarquias."
PJ de Direito Privado;"Criada por particulares; regida pelo Código Civil; pode ter fins lucrativos ou não. Ex.: empresas, ONGs, partidos políticos."
Capacidade Civil / de Fato;Aptidão para exercer pessoalmente os atos da vida civil.
Absolutamente Incapazes;"Menores de 16 anos; necessitam de representação."
Relativamente Capazes;Precisam de assistência. Ex.: maiores de 16 e menores de 18 anos, ébrios habituais, viciados, pródigos.
Plenamente Capazes;Pessoas aptas a agir sozinhas nos atos da vida civil.
Indígenas;Capacidade civil regulada por legislação especial (Estatuto do Índio).
Pessoa com Deficiência;"Regra geral: plenamente capaz; pode ser relativamente incapaz se houver comprometimento da vontade."
Constituição de 1988;Promulgada, escrita, dogmática, analítica, formal e rígida.
Forma Federativa;União, Estados, Municípios e DF são entes federados autônomos (art. 18 CF/88).
Soberania;"Atributo da República Federativa do Brasil; personalidade jurídica de direito público internacional."
Autonomia;Capacidade de auto-organização, autogoverno e autoadministração dos entes federados.
Indissolubilidade;"Não há direito de secessão; cláusula pétrea."
Divisibilidade;Possibilidade de criação de novos Estados e Municípios conforme a CF.
Controle de Constitucionalidade;Verificação da compatibilidade entre leis/atos normativos e a Constituição.
Controle Preventivo;Realizado antes da promulgação da lei.
Controle Repressivo;Realizado após a promulgação da lei.
Controle Difuso;"Exercido por qualquer juiz ou tribunal em caso concreto; efeitos inter partes."
Controle Concentrado;"Exercido pelo STF ou TJs; efeitos erga omnes e ex tunc."
ADI;Ação para declarar inconstitucionalidade de lei federal ou estadual.
ADC;Ação para confirmar constitucionalidade de lei federal diante de controvérsia judicial.
ADPF;Ação subsidiária para evitar ou reparar lesão a preceito fundamental.
ADO;Ação contra omissão do Poder Público em regulamentar norma constitucional.
Bloco de Constitucionalidade;Normas materialmente constitucionais fora do texto da CF.
CCJ;Comissão do Legislativo que analisa constitucionalidade de projetos.
Veto Presidencial;Presidente pode vetar projeto inconstitucional ou contrário ao interesse público em até 15 dias úteis.
Mandado de Segurança Preventivo;Parlamentar pode impetrar MS para impedir tramitação de projeto inconstitucional.
Competência Comum;Competência administrativa compartilhada entre todos os entes federativos.
Competência Concorrente;"União faz normas gerais; Estados e DF complementam."
Competência Privativa;Competência legislativa delegável da União.
Competência Exclusiva;Competência administrativa atribuída a um único ente.
Competência Residual;Estados legislam sobre matérias não vedadas pela CF.
Competências do Presidente (Art. 84);Relações exteriores, tratados, guerra, paz, intervenção federal, estado de defesa e sítio.
Competência do Congresso (Art. 49);Aprovar tratados, autorizar guerra, paz, referendo, plebiscito e intervenção federal.
Competência da Câmara (Art. 51);Autorizar instauração de processo contra Presidente e Vice.
Competência do Senado (Art. 52);Julgar crimes de responsabilidade e aprovar chefes de missão diplomática.
Competência do STF (Art. 102);"Guarda da Constituição; julga ADI, ADC, extradição e autoridades federais."
Súmula Vinculante;Enunciado do STF com efeito obrigatório para Judiciário e Administração Pública.
Competência do STJ (Art. 105);Homologação de sentenças estrangeiras e concessão de exequatur às cartas rogatórias.
;
