evolução Mexicana;Primeira revolução social da América Latina no século XX, marcada por forte participação popular e reivindicações agrárias.
Importância da Revolução Mexicana;Criou um regime político relativamente estável e duradouro, diferentemente de vários países latino-americanos marcados por golpes militares.
Interpretações da Revolução;"Inicialmente vista como ruptura popular e redentora; depois reinterpretada como conjunto de rebeliões regionais com fortes continuidades com o porfiriato."
Caráter da Revolução;Movimento nacional, popular e agrário que promoveu ruptura importante na história mexicana.
República Liberal;Período anterior à Revolução, dividido entre República Restaurada e o governo de Porfírio Díaz.
República Restaurada;Fase em que os liberais liderados por Benito Juárez derrotaram os franceses e os conservadores.
Benito Juárez;Líder liberal mexicano responsável pela resistência contra a invasão francesa e pela restauração republicana.
Porfiriato;Longo governo de Porfírio Díaz (1876-1911), marcado por estabilidade econômica e política, mas também autoritarismo e desigualdade social.
Porfírio Díaz;General e presidente mexicano que governou o país durante grande parte do período entre 1876 e 1911.
Causas da Revolução Mexicana;Desigualdade social, concentração de terras, repressão política e permanência prolongada de Porfírio Díaz no poder.
Primeira fase da Revolução;"Fragmentação das elites políticas e luta pelo poder com apoio popular; conhecida como fase maderista."
Francisco Madero;Líder oposicionista que convocou a revolta contra Porfírio Díaz em 1910.
Segunda fase da Revolução;Momento mais radical, quando camponeses assumiram protagonismo e defenderam a reforma agrária.
Reforma agrária;Principal reivindicação popular da Revolução Mexicana, voltada para redistribuição das terras.
Terceira fase da Revolução;Derrota das forças populares e formação de nova coalizão entre burguesia, pequenos burgueses, operários e camponeses.
Institucionalização da Revolução;Processo entre 1920 e 1940 em que o novo regime revolucionário consolidou suas instituições políticas.
Grupo de Sonora;Revolucionários do estado de Sonora que dominaram a política mexicana após 1920.
Lázaro Cárdenas;Presidente mexicano (1934-1940) que aprofundou as reformas revolucionárias, especialmente a reforma agrária.
Legado da Revolução;Influenciou profundamente a política, economia e cultura mexicanas ao longo do século XX.
PNR;Partido Nacional Revolucionário, criado em 1929 para institucionalizar o poder revolucionário.
PRM;Partido da Revolução Mexicana, nome adotado pelo PNR em 1938.
PRI;Partido Revolucionário Institucional, sucessor do PRM, que governou o México até 2000.
PAN;Partido Ação Nacional, legenda que venceu as eleições presidenciais de 2000.
PRD;Partido da Revolução Democrática, que também reivindica a herança da Revolução Mexicana.
EZLN;Exército Zapatista de Libertação Nacional, movimento guerrilheiro surgido em Chiapas em 1994.
Neozapatismo;Movimento político ligado ao EZLN que reivindica o legado de Emiliano Zapata.
Emiliano Zapata;Líder revolucionário camponês defensor da reforma agrária e símbolo da luta popular mexicana.
Guerra da Independência Mexicana;Iniciada em 1810 pelo padre Miguel Hidalgo contra o domínio espanhol.
Miguel Hidalgo;Padre que iniciou a luta pela independência mexicana em 1810.
Agustín de Iturbide;Líder conservador que governou o Primeiro Império Mexicano após a independência.
