Qual a relação entre expansão colonial e pensamento geográfico no século XIX?;São processos interligados: a expansão colonial impulsionou a geografia como disciplina científica e estratégica para conhecer, dominar e explorar territórios.
O que caracterizou o imperialismo no final do século XIX?;A disputa entre potências europeias pela divisão do mundo em zonas de influência, consolidando o capitalismo em sua fase imperialista.
Como o imperialismo impactou a geografia?;Tornou a geografia um saber estratégico, valorizado academicamente para mapear, descrever e explorar territórios e recursos.
A geografia surgiu apenas no século XIX?;Não. Ela existe desde a Antiguidade, com autores como Heródoto e Estrabão, ligados à expansão comercial e política.
Qual era a função da geografia na Grécia Antiga?;Apoiar o comércio e o Estado por meio de relatos sobre povos, territórios e mapas.
Quem foi Estrabão para a geografia?;Autor de uma das primeiras obras sistemáticas, definindo a geografia como estudo da Terra e de seus habitantes.
Como a geografia era vista até o século XVIII?;Como um inventário sistemático de terras e povos, associado à exploração e domínio.
Qual foi a contribuição de Immanuel Kant para a geografia?;Sistematizou a geografia como conhecimento empírico baseado na percepção, distinguindo espaço (geografia) e tempo (história).
Qual a diferença entre geografia e história segundo Kant?;"A geografia organiza o conhecimento no espaço; a história organiza no tempo."
Por que geografia e história são complementares?;Juntas, estruturam o conhecimento empírico necessário para compreender e explorar o mundo.
Qual a relação entre geografia e colonialismo no século XIX?;A geografia serviu para levantar informações sobre territórios e recursos, facilitando a expansão capitalista e imperialista.
Qual foi o objetivo da Conferência Internacional de Geografia de 1876?;Promover o estudo e a exploração da África sob o discurso de “civilização”, favorecendo interesses coloniais.
Quem foi Leopoldo II e qual sua relação com o colonialismo?;Rei da Bélgica, responsável pelo domínio violento do Congo, apesar de discurso contrário à escravidão.
Qual foi a importância de Alexander von Humboldt?;Pioneiro da geografia moderna, realizou expedições científicas e integrou conhecimentos naturais e humanos.
Qual era o objetivo das expedições científicas do século XIX?;Ampliar o conhecimento científico e identificar recursos naturais úteis à expansão econômica europeia.
Por que o trabalho científico não era totalmente neutro?;Porque muitas vezes servia aos interesses coloniais e econômicos das potências europeias.
O que marcou a segunda metade do século XIX na geografia?;Intensificação das expedições científicas e exploração do interior dos continentes.
Qual foi o papel das sociedades geográficas?;Produzir e difundir conhecimento sobre territórios, apoiando a expansão colonial.
Quais avanços técnicos ocorreram nesse período?;Desenvolvimento da cartografia, meteorologia, oceanografia e estatísticas.
Qual era a necessidade econômica do colonialismo no século XIX?;Buscar matérias-primas e novos mercados para sustentar a industrialização.
;
Qual a relação entre geografia/cartografia e expansão colonial?;O conhecimento sistemático da superfície terrestre estava ligado à expansão colonial e à apropriação de novas terras.
Como Moraes (2005) interpreta o espaço colonial?;Como uma construção baseada na ocupação do solo e na expansão territorial, fundamentais para o poder do colonizador.
De onde derivava o poder nas colônias?;Da propriedade fundiária, que intensificava a importância do espaço na organização social.
Como se deu a expansão territorial nas Américas?;Foi baseada na disponibilidade de terras, expansão econômica e demográfica e uso de caminhos naturais.
Quais atividades impulsionaram a ocupação do interior americano?;Mineração, extração vegetal, pecuária e expansão populacional.
Qual foi o papel da expansão territorial na formação dos países americanos?;Definiu territórios nacionais, originou vilas e estabeleceu fronteiras político-administrativas.
Qual era o papel da geografia na consolidação colonial?;Fornecer conhecimento estratégico para expandir e ocupar territórios, tanto na África quanto nas Américas.
Quando a geografia moderna se consolidou como disciplina estratégica?;No final do século XIX, associada à consolidação dos Estados nacionais europeus.
Qual foi a relação entre geografia moderna e nacionalismo?;A geografia ajudou a legitimar e consolidar a identidade e o poder dos Estados nacionais.
O que caracterizou o pensamento social no século XIX segundo Touraine?;A organização da sociedade em torno do modelo nacional e de classes.
Qual desafio os Estados europeus enfrentavam após o feudalismo?;Criar novos laços de coesão social que legitimassem o Estado nacional.
Qual foi o papel do discurso geográfico nesse contexto?;Servir como ferramenta ideológica para fortalecer a identidade nacional e a unidade territorial.
Por que a geografia teve papel central na Alemanha?;Porque ajudou a construir a unidade nacional em um país de unificação tardia.
O que Claval destaca sobre o período?;Foi um momento propício para refletir sobre o Estado e seu poder, com forte uso da geografia e história na educação.
Como o ensino de geografia contribuiu para o Estado moderno?;Criou identidade nacional ao destacar características do território e sua originalidade.
O que caracteriza o Estado moderno segundo Schiera?;A centralização do poder político em um território unificado, superando a fragmentação feudal.
Qual o papel ideológico da geografia e história no Estado moderno?;Ajudar a consolidar a unidade política e superar o poder descentralizado.
Quais países lideraram disputas territoriais no período?;Inglaterra, França, Alemanha e Rússia.
Quais temas centrais da geografia humana e política nesse período?;Estado, povo e território.
Quais elementos se tornaram objetos da geografia política?;Território, fronteiras, capitais e organização estatal.
Quem foi Karl Ritter e sua contribuição?;Defendeu a relação entre o destino dos povos e o ambiente natural.
Quem foi Friedrich Ratzel e sua abordagem?;Investigou a relação entre povos, território e meio natural, influenciando a geografia política.
Quem foi Vidal de la Blache?;Geógrafo francês que destacou o papel do homem na transformação do espaço (possibilismo).
O que é o “espaço vital” de Ratzel?;Ideia de que os Estados precisam expandir seu território para sobreviver e crescer.
Qual foi o papel da Alemanha na geografia moderna?;Tornou-se centro teórico da disciplina, com forte uso político e ideológico.
Como a geografia escolar influenciou a sociedade?;Naturalizou fronteiras e fortaleceu a identidade nacional.
Qual foi o impacto simbólico da geografia?;Criou uma imagem do Estado-nação baseada no território e suas características.
Como a geografia contribuiu para o sentimento de pátria?;Atuou como principal meio de difusão da identidade nacional ligada ao espaço.
Qual foi o impacto do pangermanismo na geografia?;Influenciou o desenvolvimento da geografia política e ideias expansionistas.
Qual foi a relação entre geopolítica e geografia?;A geopolítica surgiu a partir da geografia, analisando o poder dos Estados em função do território.
;
;
Como o discurso geográfico contribuiu para o nacionalismo?;Transformou o nacional em algo “natural”, associando povos às suas características territoriais.
O que significa a “naturalização” das fronteiras?;A ideia de que as fronteiras são elementos naturais, quando na verdade são construções históricas e políticas.
Qual foi o papel do nacionalismo na formação do Estado-nação?;Serviu como ideologia que fundamentou e legitimou o Estado-nação como forma política dominante.
Como história e geografia contribuíram para o Estado-nação?;Foram usadas como instrumentos simbólicos para criar identidade nacional e legitimar o poder estatal.
O que os europeus “inventaram” nesse período histórico?;O Estado moderno e a geografia como disciplina institucionalizada.
Como Hobsbawm define a questão nacional?;Como um fenômeno ligado à política, tecnologia e transformações sociais.
Quando as nações passam a existir plenamente?;Quando associadas a um Estado territorial moderno e a um certo nível de desenvolvimento econômico.
Como devem ser analisadas as nações segundo Hobsbawm?;Considerando fatores econômicos, políticos, administrativos e técnicos.
Qual característica da geografia moderna favorecia o estudo das nações?;Sua abordagem integrada entre fenômenos naturais e sociais.
Quais conceitos centrais da geografia apresentam ambiguidades?;Meio, paisagem, ambiente, território e região.
Por que esses conceitos são ambíguos?;Porque foram apropriados de outras áreas e usados para “naturalizar” processos sociais.
O que significa qualificar sociedades pela espacialidade?;Explicar características sociais com base no espaço geográfico.
Como a geografia oficial construiu a ideia de nação?;De forma “de cima para baixo”, reforçando a centralidade do Estado.
O que caracteriza o Estado moderno como espaço político?;A centralização do poder e a expressão de uma vontade comum legitimada socialmente.
Qual foi o impacto da Revolução Francesa nesse processo?;Estabeleceu bases para a participação política e legitimação do Estado pela sociedade.
O que fundamenta a identidade nacional?;O local de nascimento e o pertencimento a uma comunidade de destino.
Por que a nação é considerada recente por Hobsbawm?;Porque depende da existência do Estado-nação moderno.
