Ano;Tema
2002;Efeito de alterações no IR sobre o consumo
2002;Visão estruturalista sobre as causas da inflação em países em desenvolvimento
2002;Macro_instrumento de política monetária: compulsório sobre os depósitos em conta corrente.
2002;Microeconomia geral – distúrbio em preços relativos.
2002;Mecanismos de proteção à indústria no PSI
2003;Conceitos das contas do governo (necessidade de financiamento do setor público, déficit nominal,  dívida pública).
2003;Macro: efeitos de choques em economia com controle de capitais.
2003;Macro: multiplicador monetário/ taxas de juros.
2003;Índices de preços.
2003;Política de queima do café durante a Grande Depressão
2004;Retirada do investimento público do cálculo do resultado primário e efeitos na dívida pública
2004;controle de capitais re reação a um choque temporário
que reduza a renda do país
2004;redução do multiplicador monetário e elevação das taxas de juros.
2004;DVD's / teoria do consumidor e bem estar social
2004;queima de Café após crise de 1929
2005;Flexibilidade de preços e de salários/ controvérsia entre os  economistas clássicos e os keynesianos.
2005;Efeitos da poupança sobre a economia/ paradoxo da parcimônia
2005;proteção da indústria versus livre comércio e efeitos sobre emprego e sobre renda
2005;Privatizações/ agências reguladoras/ bem-estar dos consumidores.
2005;Política cambial e proteção da renda dos cafeicultores na passagem do século XIX para o século XX.
2006;efeitos de nova tecnologia sobre a produção e sobre preços, a partir de análise clássica e de análise keynesiana.
2006;Comparar efeitos de mudança cambial sobre balança comercial em regimes de câmbio fixo e em regimes de câmbio flexível.
2006;Teoria das vantagens comparativas
2006;Sobre a curva de oferta de longo prazo.
2006;Acordo de Taubaté (1906) e conseqüências sobre a produção cafeeira nacional.
2007;teoria clássica do comércio e da teoria do desenvolvimento — esta associada à Comissão Econômica para a América Latina (CEPAL) — quanto à inserção de países em desenvolvimento na estrutura do comércio internacional.
2007;Micro: apresenta um caso e pede para calcular preços e quantidades em diversas situações.
2007;Definição de moeda e suas funções/ processo de criação de moeda/ multiplicador monetário/ moeda na década de 1980 no Brasil.
2007;Contas nacionais: definição de PIB/ cálculo da BC e das TC e suas relações com outros componentes do PIB.
2007;Macro e economia brasileira: racionalidade entre obtenção de crédito e políticas monetárias restritivas/ funding loan de 1898.
2008;Políticas antiinflacionárias associadas ao PAEG
2008;Macro: controle da oferta de moeda pelo BACEN/ impacto da política monetária sobre o nível de atividade da economia.
2008;Contas nacionais. Pede para calcular alguns itens relacionados.
2008;Micro: eferece alguns dados e pede cálculo de alguns conceitos (lucro, receita etc.)
2008;xxxxxx
2009;Econ. Brasileira: visão de Celso Furtado para: efeitos da crise de 1929 sobre os preços do café, principais causas da desvalorização cambial nos anos trinta, fatores que propiciaram a recuperação da economia brasileira a partir de 1933.
2009;Contas nacioanais: calcular alguns elementos.
2009;Mercado de trabalho: a) definição de: demanda e oferta por trabalho,  salários reais, nível de emprego. b) utilizar conhecimentos sobre funcionamento do mercado de trabalho para explicar argumento de Celso Furtado sobre os efeitos da abolição do trabalho escravo na economia cafeeira.
2009;Micro: exercício para calcular oferta, preço, custo marginal/ análise de mercados em situação de monopólio.
2009;xxxxxx
2010;teorias clássica e neoclássica do comércio internacional,
2010;Economia brasileira: analisar período de prosperidade de 1900 a 1913.
2010;Regimes de câmbio fixo e flutuante/ reservas internacionais.
2010;Macro: o exercícios dá alguns dados e pede para calcular taxa de câmbio, quantidade de moeda etc.
2010;xxxxxx
2011;Estrutura do balanço de pagamentos/ situação do balanço de pagamentos do Brasil/ razões para aumento das reservas cambiais brasileiras/ benefícios e custos de se manterem reservas elevadas.
2011;Inflação de demanda e inflação de custos: explicar vertentes do pensamento econômico, apontar filiação teórica de cada uma delas e comentar a recente tendência de elevação de preços nos BRICs.
2011;Política de câmbio fixo do Governo Dutra.
2011;Efeito dos gastos públicos sobre a taxa de juros e sobre o produto de equilíbrio.
2011;xxxxxx
2012;Sistema multilateral de comércio/ acordos de preferências comerciais/ conceitos de criação e desvio de comércio/ efeitos que a proliferação de acordos de preferências comerciais poderá trazer ao sistema multilateral de comércio.
2012;Macro e econ. brasileira: a) efeitos do câmbio sobre o comércio/ b) identificar, na história econômica brasileira após 1980, um momento em que a taxa de câmbio foi deliberadamente utilizada com fins de promoção de superávit na balança comercial brasileira.
2012;Análise da tese de Celso Furtado sobre atraso da economia brasileira.
2012;Relação da taxa de poupança com alguns elemento, como estrutura previdenciária, crescimento da economia, desempenho das contas públicas, cultura inflacionária e incerteza.
2012;xxxxxx
2013;Crises financeiras da década de 1990 (México, Ásia, Rússia e Brasil)/ revisão do “Consenso de Washington”/ participação do Brasil no surgimento de uma “liderança compartilhada” na governança da ordem econômica mundial.
2013;Guerra cambial desencadeada pela crise financeira de 2008: explicar o processo, as consequências, as relações com o comércio internacional.
2013;Por que o aumento da produtividade do trabalho é fundamental para se mitigar os efeitos econômicos deletérios do fim do bônus demográfico?
2013;Política fiscal
2013;xxxxxx
2014;Explicar fatores que interferem na taxa de câmbio
2014;Cadeias globais de valor: desafios e benefícios para o país.
2014;II PND e suas consequências para o desempenho da economia brasileira nos anos 80.
2014;Explicar o Plano Real (1994) e seus principais desafios até a crise cambial de 1999
2014;xxxxxx
2015;Economia cafeeira e desenvolvimento - República Velha e Vargas.
2015;Regime de Metas de inflação.
2015;Como alterações previsíveis no mercado mundial de energia e as mudanças climáticas poderão impactar o setor de energia brasileiro e a competitividade da economia.
2015;Crescimento populacional e economia.
2016;discorra sobre a política econômica do regime militar entre 1964 e 1967
2016;Importações.
2016;Tipos de mercado.
2016;Considerando as informações apresentadas acima, discorra a respeito das principais mudanças introduzidas pela nova metodologia de apuração do balanço de pagamentos adotada pelo BCB.
2017;Lei de Responsabilidade Fiscal.
2017;Bem público.
2017;Rendimentos crescentes externos e internos, vantagens comparativas.
2017;Medidas recomeçadas pelo G20 às crises.
2018;Produção da firma, cadeias globais de valor e barreiras comerciais.
2018;Período pós milagre economico.
2018;Regime de metas, controle inflacionário, banco central.
2018;Lucro econômico, curto e longo prazo, preço.
2019;Segundo Choque do Petróleo.
2019;Política Econômica do Governo Dutra.
2019;Princípios determinantes dos fluxos de investimento de portfólio e de IED.
2019;Lei da demanda e Teoria do Consumidor.
2020;Conjuntura da covid: taxa de cambio e inflação no Brasil e crescimento da economia do Brasil
2020;IS-LM
2020;Comércio internacional?
2020;Micro: Monopólio
