Macroeconomia;Estuda o comportamento agregado da economia (consumidores, empresas, governo e setor externo).
Microeconomia;Estuda o comportamento individual dos agentes econômicos e suas interações.
Lei da Demanda;Quanto maior o preço, menor a quantidade demandada, ceteris paribus.
Lei da Oferta;Quanto maior o preço, maior a quantidade ofertada, ceteris paribus.
Curva de Demanda;Relação inversa entre preço e quantidade demandada.
Curva de Oferta;Relação direta entre preço e quantidade ofertada.
Equilíbrio de Mercado;Ponto de encontro entre oferta e demanda.
P*;Preço de equilíbrio.
Q*;Quantidade de equilíbrio.
Variáveis Endógenas;Variáveis controladas pelos agentes econômicos (preço e quantidade).
Variáveis Exógenas;Variáveis externas que afetam oferta e demanda.
Preferências do Consumidor;Fator que influencia a demanda.
Renda do Consumidor;Quanto maior a renda, maior tende a ser a demanda.
Disponibilidade de Crédito;Expande a capacidade de consumo.
Demanda Agregada (DA);Quantidade total de bens e serviços demandados na economia.
Oferta Agregada (OA);Quantidade total de bens e serviços ofertados na economia.
Relação entre P e DA;Inversa: queda de preços aumenta a demanda agregada.
Efeito Riqueza;Queda de preços aumenta o poder de compra.
Efeito Juros;Queda de preços reduz juros e estimula investimentos e consumo.
Efeito Câmbio;Queda de preços deprecia o câmbio real e estimula exportações.
Deslocamento da DA;Alteração da demanda agregada causada por fatores exógenos.
Aumento dos Gastos Públicos;Desloca a DA para a direita.
Aumento de Impostos;Desloca a DA para a esquerda.
Oferta Agregada de Longo Prazo (OALP);"Oferta independente do nível de preços; curva vertical."
Pleno Emprego;Situação em que todos os fatores de produção estão plenamente utilizados.
Curva Vertical da OALP;Produto não varia com o nível de preços.
Oferta Totalmente Inelástica;Característica da OALP.
Fatores que deslocam a OALP;Capital, trabalho, recursos naturais, produtividade e tecnologia.
Imigração de Trabalhadores Qualificados;Desloca a OALP para a direita.
Guerra/Epidemia;Desloca a OALP para a esquerda.
Inovação Tecnológica;Aumenta produtividade e desloca a OALP para a direita.
Oferta Agregada de Curto Prazo (OACP);Relação positiva entre preços e produto.
Curva Positivamente Inclinada;Característica da OACP keynesiana.
Expectativas;Variável fundamental da OACP.
Teoria da Rigidez Salarial;Salários nominais ajustam-se lentamente.
Teoria da Rigidez de Preços;Empresas ajustam preços lentamente devido a custos.
Teoria da Percepção Errônea;Agentes confundem choques gerais com choques específicos.
Modelo Clássico;Economia no longo prazo e em pleno emprego.
Modelo Keynesiano;Economia no curto prazo e abaixo do pleno emprego.
Modelo Keynesiano Extremo;Oferta agregada horizontal com preços rígidos.
Curva Horizontal da OA;Empresas ofertam qualquer quantidade ao mesmo preço.
Produto Perfeitamente Elástico;Característica do modelo keynesiano extremo.
Flexibilidade de Preços e Salários;Característica do modelo clássico.
Rigidez de Preços e Salários;Característica do modelo keynesiano.
DA afeta apenas preços;Resultado do modelo clássico.
DA afeta renda e preços;Resultado do modelo keynesiano.
DA afeta apenas produto;Resultado do modelo keynesiano extremo.
Lei de Say;A oferta cria sua própria demanda.
Keynes;Criticou a ideia de equilíbrio automático da economia.
Demanda Efetiva;Ideia keynesiana de que a demanda determina produção e emprego no curto prazo.
Curto Prazo;Economia com rigidez de preços e salários.
Longo Prazo;Economia com preços e salários flexíveis.
Produto de Pleno Emprego (Ye);Nível máximo sustentável de produção da economia.
;
;
Quatro preços macroeconômicos;Nível geral de preços, taxa de juros, salário e taxa de câmbio.
Interconexão dos mercados;Desequilíbrios em um mercado afetam os demais.
Nível geral de preços;Reflete o equilíbrio entre demanda e oferta agregadas.
Demandantes de B&S;Consumidores, empresas, governo e setor externo.
Ofertantes de B&S;Empresas nacionais, governo e setor externo (importações).
Aumento da riqueza da sociedade;Tende a gerar crescimento e inflação.
Deslocamento da DA para a direita;Ocorre quando há aumento da demanda agregada.
Mercado de crédito;Mercado em que se determina a taxa de juros.
Taxa de juros (i);Preço do crédito.
Demandantes de crédito;Investidores.
Ofertantes de crédito;Poupadores (famílias e governo).
Relação entre juros e demanda de crédito;Juros menores aumentam empréstimos.
Relação entre juros e oferta de crédito;Juros maiores estimulam poupança.
Mercado de trabalho;Mercado em que se determina o salário.
Salário (w);Preço do trabalho.
População Economicamente Ativa (PEA);Força de trabalho disponível na economia.
Demandantes de trabalho;Empresas.
Ofertantes de trabalho;Trabalhadores.
Salário acima do equilíbrio;Gera desemprego.
Taxa de desemprego;Desempregados ÷ PEA.
Mercado de câmbio;Mercado em que se determina a taxa de câmbio.
Taxa de câmbio (E);Preço da moeda estrangeira.
Demandantes de divisas;Importadores e agentes com obrigações externas.
Ofertantes de divisas;Exportadores e estrangeiros que investem no país.
Divisa;Moeda estrangeira utilizada em transações internacionais.
Modelo oferta-demanda;Pode ser aplicado a diferentes mercados macroeconômicos.
Preços macroeconômicos;Incluem salários, juros e câmbio, além de preços de bens e serviços.
Controle de preços;Pode gerar excesso de oferta ou demanda.
Sistema de Contas Nacionais (SCN);Instrumento para medir a economia doméstica.
Balanço de Pagamentos (BP);Registro das transações econômicas com o exterior.
IBGE;Responsável pelo SCN no Brasil.
Banco Central;Responsável pelo BP no Brasil.
Produto Interno Bruto (PIB);Valor de todos os bens e serviços finais produzidos no país.
PIB;Mede produção dentro das fronteiras nacionais.
Bens e serviços finais;Produtos destinados ao consumo final, evitando dupla contagem.
Óptica do produto;PIB calculado pelo valor da produção.
Óptica da renda;PIB calculado pela remuneração dos fatores de produção.
Óptica da despesa;PIB calculado pelos gastos agregados.
Equivalência das óticas do PIB;As três óticas geram o mesmo resultado final.
Setores da produção;Agropecuária, indústria e serviços.
Dupla contagem;Erro de contabilizar bens intermediários mais de uma vez.
Valor adicionado;Método que evita dupla contagem.
Fatores de produção;Trabalho, terra e capital.
Salários;Remuneração do trabalho.
Juros;Remuneração do capital monetário.
Aluguéis;Remuneração do capital físico.
Lucros e dividendos;Remuneração do risco empresarial.
Bens de consumo duráveis;Automóveis, eletrodomésticos etc.
Bens de consumo não duráveis;Alimentos, roupas, bebidas etc.
Bens de investimento;Máquinas, equipamentos, softwares, construção civil etc.
Formação Bruta de Capital (FBC);Investimento total da economia.
Formação Bruta de Capital Fixo (FBCF);Gastos em capital físico.
Variação de Estoques (VE);Produção não vendida no período.
Investimento em macroeconomia;Refere-se a capital físico, não a ativos financeiros.
Investimentos financeiros;Compra de ações, bônus etc.
Famílias;Principalmente consomem bens de consumo.
Empresas;Demandam principalmente bens de investimento.
Setor externo;Compra bens finais da economia doméstica.
Investimento total (IT);Financiado pela poupança agregada.
Poupança interna;Poupança privada + poupança do governo.
Poupança externa;Recursos vindos do exterior.
Poupança do governo;T - G
Poupança privada;PIB - T - C
Poupança externa;M - X
Fórmula do investimento total;IT = Sgov + Spriv + Sext
Governo;Executivo, Legislativo e Judiciário nos três níveis federativos.
Serviços não mercantis;Serviços públicos não vendidos no mercado.
Despesas correntes;Gastos para manter a máquina pública funcionando.
Investimentos públicos;Gastos em infraestrutura e capital público.
Transferências governamentais;Bolsa Família, Previdência, Loas etc.
Transferências governamentais no PIB;Não entram como investimento nem custeio.
Residentes;Agentes econômicos vinculados economicamente ao país.
Não residentes;Agentes econômicos vinculados ao exterior.
Exportações (X);Vendas ao exterior.
Importações (M);Compras do exterior.
Fórmula clássica do PIB;PIB = C + G + I + (X − M).
Consumo das famílias (C);Gastos das famílias em bens e serviços.
Gastos do governo (G);Consumo e investimentos do governo.
Investimento (I);Formação de capital físico.
Exportações líquidas;X − M.
Demanda agregada global;(C + G + I) + X
Oferta agregada global;PIB + M
Vazamentos;Poupança, impostos e importações (S + T + M).
Injeções;Investimentos, gastos públicos e exportações (I + G + X).
Queda dos investimentos;Representa vazamento do fluxo de renda.
Queda das importações;Representa injeção no fluxo de renda.
Produto Interno Líquido (PIL);PIB descontada a depreciação.
Depreciação;Desgaste ou obsolescência do capital.
Fórmula do PIL;PIL = PIB − Depreciação.
Produto Bruto;Sempre maior que o produto líquido.
Produto Nacional Bruto (PNB);Produção dos residentes dentro e fora do país.
PIB x PNB;"PIB considera território; PNB considera residência econômica."
Renda Líquida Recebida do Exterior (RLRE);Diferença entre rendas recebidas e enviadas ao exterior.
Fórmula da RLRE;RLRE = RRE − REE
Fórmula do PNB;PNB = PIB + RLRE
Renda Recebida do Exterior (RRE);Recursos recebidos por residentes vindos do exterior.
Renda Enviada ao Exterior (REE);Recursos enviados ao exterior por residentes no país.
;
;
RLRE positiva;Renda recebida do exterior maior que a enviada ao exterior.
RLRE negativa;Renda enviada ao exterior maior que a recebida do exterior.
PIB > PNB;Ocorre quando RE > RR (caso típico de países emergentes).
PIB < PNB;Ocorre quando RR > RE (caso típico de países desenvolvidos).
Brasil;Geralmente apresenta PIB maior que PNB.
EUA;Geralmente apresentam PNB maior que PIB.
Remessas ao exterior;Juros, lucros e royalties enviados a estrangeiros.
Lucro da Google do Brasil;Entra no PIB brasileiro, mas não no PNB brasileiro.
Lucro da Embraer em Portugal;Entra no PNB brasileiro, mas não no PIB brasileiro.
PIB;Mede produção dentro do território nacional.
PNB;Mede produção de residentes nacionais, independentemente do território.
Produto a Preço de Mercado (pm);Inclui impostos indiretos e exclui subsídios.
Produto a Custo de Fatores (cf);Exclui impostos indiretos e inclui subsídios.
Impostos indiretos;Tributos sobre bens e serviços comercializados.
Exemplos de impostos indiretos;ICMS, IPI, ISS e IVA.
Impostos diretos;Incidem sobre renda e patrimônio.
Fórmula do Produto a preço de mercado;Produto = cf + impostos indiretos − subsídios.
Fórmula do Produto a custo de fatores;Produto = pm − impostos indiretos + subsídios.
PIBpm;PIB a preços de mercado.
PILpm;PIBpm − depreciação.
PNBpm;PIB + renda recebida do exterior − renda enviada ao exterior + impostos indiretos − subsídios.
PNLpm;PNBpm − depreciação.
PIBcf;PIBpm − impostos indiretos + subsídios.
PNBcf;PNBpm − impostos indiretos + subsídios.
PNLcf;PNBcf − depreciação.
Renda Nacional (RN);Equivale ao PNLcf.
Fórmula da RN;RN = PIBpm − RLE − depreciação − II + subsídios.
Componentes da RN;Salários, juros, aluguéis e lucros.
Renda Pessoal (RP);Parcela da renda efetivamente recebida pelas pessoas.
Fórmula da RP;RN − lucros retidos − impostos das empresas − contribuições previdenciárias − ORG + transferências + juros pagos pelo governo.
Renda Pessoal Disponível (RPD);Renda disponível após impostos diretos das pessoas.
Fórmula da RPD;RP − impostos diretos das pessoas.
Componentes da RPD;Salários, juros, aluguéis, lucros distribuídos e transferências líquidas de impostos.
PIB nominal;PIB medido a preços correntes.
PIB real;PIB medido a preços constantes.
Ilusão monetária;Confundir aumento nominal com aumento real de renda ou produção.
Deflacionar uma série;Corrigir valores monetários pela inflação.
IPCA;Índice de preços utilizado para medir inflação no Brasil.
Deflator do PIB;Índice que mede a variação de preços de todos os bens e serviços do PIB.
Fórmula do Deflator do PIB;PIB nominal ÷ PIB real.
Fórmula do PIB real;PIB nominal ÷ Deflator do PIB.
PIB real;Melhor medida do crescimento econômico.
PIB nominal;Pode crescer apenas devido à inflação.
Exemplo do Barão do Rio Branco;Aumento nominal de salário não significa aumento real.
PIB potencial;Nível sustentável de produção com pleno emprego dos fatores.
PIB efetivo;Produção realmente observada na economia.
PIB potencial;Representa capacidade de crescimento de longo prazo.
PIB efetivo;Oscila no curto prazo conforme o ciclo econômico.
Hiato do produto;Diferença entre PIB efetivo e PIB potencial.
Fórmula do hiato do produto;ht = PIBef − PIBpt
Hiato inflacionário;PIB efetivo acima do PIB potencial.
Hiato deflacionário;PIB efetivo abaixo do PIB potencial.
Expansão econômica;Período de crescimento do PIB efetivo.
Recessão econômica;Período de queda do PIB efetivo.
Governo Central (GC);Tesouro Nacional + Banco Central + Previdência.
Setor Público (SP);GC + estados + municípios + empresas públicas + autarquias.
PIB do IBGE;Não considera empresas públicas e autarquias como governo.
Investimento total no Brasil;Desde 2010 inclui investimentos públicos e privados juntos.
Resultado Fiscal do Tesouro Nacional;Considera apenas o Governo Central.
Resultado Fiscal do Banco Central;Considera todo o Setor Público.
Déficit primário (Dgp);Despesas não financeiras maiores que receitas.
Déficit nominal (Dgn);Déficit primário acrescido dos juros da dívida pública.
NFSP;Necessidade de Financiamento do Setor Público.
Superavit primário;Receitas maiores que despesas não financeiras.
Superavit nominal;Receitas maiores que despesas totais, incluindo juros.
Política fiscal tradicional;Aumento de impostos e corte de gastos.
Financiamento do déficit;Emissão de moeda ou emissão de dívida pública.
Monetização da dívida;Banco Central cria moeda para financiar o Tesouro.
Imposto inflacionário;Inflação gerada pela emissão de moeda.
Venda de títulos públicos;Financia o déficit sem gerar inflação imediata.
Consequência da venda de títulos;Aumento da dívida pública.
Dívida interna;Passivo em moeda nacional.
Dívida externa;Passivo em moeda estrangeira.
Dívida pública;Passivo do governo.
Dívida privada;Passivo do setor privado.
Dívida total;Soma das dívidas pública e privada.
;
Dívida Bruta;Total dos passivos do governo ou setor analisado.
Dívida Líquida;Dívida bruta menos os ativos do governo.
Ativos do governo;Créditos com bancos públicos e reservas internacionais.
Dívida Pública Bruta (Brasil);Aproximadamente 70% do PIB (exemplo do texto).
Dívida Pública Líquida (Brasil);Aproximadamente 37% do PIB (exemplo do texto).
Empréstimos intercompanhias;Empréstimos entre matriz e filial de empresas multinacionais.
Banco Central do Brasil;Não contabiliza empréstimos intercompanhias como dívida externa bruta.
Investimento Direto no País (IDP);Categoria em que entram empréstimos intercompanhias no BP brasileiro.
Metodologia brasileira da dívida pública;Exclui títulos do Tesouro na carteira do Banco Central.
Metodologia do FMI;Inclui títulos do Tesouro na carteira do Banco Central.
Dívida pública segundo o FMI;Geralmente cerca de 5% do PIB maior que a brasileira.
Dívida Líquida do Governo Geral (DLGG);DBGG + títulos na carteira do BC + equalização cambial + DLBC + DLEE − créditos do GG.
Dívida Líquida do Setor Público (DSLP);DLGG + DLBC + DLEE.
Dívida Bruta do Governo Geral (DBGG);Dívida interna + dívida externa.
Créditos do Governo Geral;Créditos a instituições oficiais + disponibilidades + FAT + outros créditos.
Variável de fluxo;Medida por unidade de tempo.
Exemplos de fluxo;PIB, renda, déficit público, exportações e importações.
Variável de estoque;Medida em um ponto específico do tempo.
Exemplos de estoque;Dívida pública, reservas internacionais e moeda em circulação.
Relação entre estoque e fluxo;Todo estoque é formado pela acumulação de fluxos.
Balanço de Pagamentos (BP);Registro das transações econômicas entre residentes e não residentes.
Método das partidas dobradas;Cada transação gera ao menos dois registros contábeis.
Crédito no BP;Entrada de recursos externos.
Débito no BP;Saída de recursos externos.
Aumento de ativo externo;Registrado como débito.
Redução de ativo externo;Registrado como crédito.
Aumento de passivo externo;Registrado como crédito.
Redução de passivo externo;Registrado como débito.
BPM5;Quinta edição do Manual de Balanço de Pagamentos do FMI.
BPM6;Sexta edição do Manual de Balanço de Pagamentos do FMI.
BPM6 no Brasil;Adotado pelo Banco Central a partir de 2015.
Conta de Transações Correntes (TCC);Registra transações de bens, serviços e rendas.
Conta Capital e Financeira (CCF);Registra fluxos financeiros internacionais.
Balança Comercial;Exportações e importações de bens e serviços.
Renda Primária;Remuneração do trabalho e dos investimentos.
Renda Secundária;Transferências sem contrapartida, como doações.
Transferências unilaterais;Nome da renda secundária na metodologia BPM5.
Exemplo de renda secundária;Remessas de trabalhadores para familiares.
Superavit em TCC;País exporta mais do que importa em termos líquidos.
Déficit em TCC;País importa poupança externa.
Poupança externa;SE = −TCC
Conta de capital;Registra ativos não financeiros não produzidos e transferências de capital.
Exemplos da conta de capital;Patentes, marcas e perdão de dívida externa.
Conta financeira;Registra empréstimos, investimentos e títulos.
Investimento Estrangeiro Direto (IED);Investimento produtivo de médio e longo prazo.
Erros e omissões;Conta residual do BP.
Reservas internacionais (RI);Ativos externos mantidos pelo Banco Central.
Superavit no BP;Aumenta as reservas internacionais.
Déficit no BP;Reduz as reservas internacionais.
Fórmula do BP;BP = variação das reservas internacionais.
Fluxo vs estoque no BP;"Saldo do BP é fluxo; reservas internacionais são estoque."
Necessidade de financiamento externo;TCC − Investimento Externo Direto (% do PIB).
Hiato financeiro;Conta financeira + saldo de transações correntes.
Indicadores de liquidez externa;Avaliam vulnerabilidade de curto prazo.
Indicadores de solvência externa;Avaliam sustentabilidade externa no médio e longo prazo.
Serviço da dívida externa;Pagamento de juros e amortizações da dívida externa.
Relação dívida externa/PIB;Indicador de solvência externa.
Taxa de câmbio real (ER);Mede competitividade relativa entre países.
Fórmula da taxa de câmbio real;ER = E × P*/P
Desvalorização cambial real;Estimula exportações e reduz importações.
Relação ER e transações correntes;Positiva.
Crescimento do resto do mundo;Aumenta exportações brasileiras e melhora TCC.
Recessão na China;Reduz exportações brasileiras e piora TCC.
Relação PIB externo e TCC;Positiva.
Relação PIB doméstico e TCC;Negativa.
Crescimento do PIB brasileiro;Aumenta importações e reduz saldo em TC.
Superavit recorrente em TC;Tende a apreciar o câmbio no longo prazo.
Déficit recorrente em TC;Tende a depreciar o câmbio no longo prazo.
Conta Capital e Financeira (CCF);Influenciada principalmente pela taxa de juros.
Diferencial de juros;Atrai capitais de curto prazo.
Libor;Taxa de referência internacional usada como custo de oportunidade.
Determinantes da taxa de juros doméstica;Juros externos, risco cambial e risco-país.
Risco cambial;Possibilidade de perda por desvalorização cambial.
Risco-país;Possibilidade de calote ou instabilidade econômica/política.
Política fiscal frouxa;Pode elevar o risco-país.
Superavit na CCF;Entrada líquida de capitais externos.
Déficit na CCF;Saída líquida de capitais externos.
Determinantes do IED;Crescimento esperado, mercado doméstico, ambiente regulatório e segurança jurídica.
Ambiente regulatório favorável;Facilita atração de investimentos estrangeiros.
Segurança jurídica;Importante para atrair investidores internacionais.
Doing Business;Relatório do Banco Mundial sobre ambiente de negócios.
;
Quatro preços macroeconômicos;Nível geral de preços, taxa de juros, salário e taxa de câmbio
Mercado de B&S;Determina o nível geral de preços
Mercado de crédito;Determina a taxa de juros
Mercado de trabalho;Determina o salário
Mercado de câmbio;Determina a taxa de câmbio
Demanda agregada;C + G + I + X
Oferta agregada;PIB + M
Demandantes no mercado de crédito;Investidores
Ofertantes no mercado de crédito;Poupadores
Demandantes no mercado de trabalho;Empresas
Ofertantes no mercado de trabalho;Trabalhadores
Demandantes no mercado de câmbio;Importadores/devedores externos
Ofertantes no mercado de câmbio;Exportadores/investidores estrangeiros
PIB;Valor de todos os B&S finais produzidos dentro do país
Óptica do produto;Soma da produção de B&S finais
Óptica da renda;Soma das remunerações dos fatores de produção
Óptica da despesa;Soma dos gastos em B&S finais
PIB pela ótica da despesa;C + G + I + (X − M)
Consumo (C);Gastos das famílias com bens e serviços
Gastos do governo (G);Consumo do governo
Investimento (I);Formação de capital físico
Exportações líquidas;X − M
FBC;Formação Bruta de Capital
FBCF;Formação Bruta de Capital Fixo
VE;Variação de estoques
Bens de consumo duráveis;Automóveis, eletrodomésticos
Bens de consumo não duráveis;Alimentos, roupas
Bens de investimento;Máquinas, equipamentos, softwares
Investimento em macroeconomia;Aquisição de capital físico
Poupança agregada;Poupança interna + externa
Investimento total;Sgov + Spriv + Sexterna
Poupança externa;Deficit em transações correntes
Vazamentos;S + T + M
Injeções;I + G + X
PIL;PIB − depreciação
Depreciação;Desgaste/obsolescência do capital
