O que é microeconomia?;Ramo da economia que estuda o comportamento das unidades econômicas individuais (consumidores, empresas, trabalhadores e investidores) e seus mercados.
O que é macroeconomia?;Ramo da economia que analisa variáveis agregadas como crescimento, PIB, inflação, desemprego e juros.
Qual a principal diferença entre microeconomia e macroeconomia?;"A microeconomia foca nas decisões individuais e mercados específicos; a macroeconomia trata dos agregados econômicos."
Por que a distinção entre micro e macroeconomia tem diminuído?;Porque a macroeconomia depende cada vez mais de fundamentos microeconômicos para explicar fenômenos agregados.
Qual é o problema central da microeconomia?;A alocação eficiente de recursos escassos.
O que são recursos escassos?;Recursos limitados em relação às necessidades e desejos humanos.
O que são trade-offs (dilemas)?;Situações em que escolher algo implica abrir mão de outra alternativa.
Como os consumidores enfrentam trade-offs?;Decidindo como gastar sua renda limitada entre consumo presente, diferentes bens e poupança futura.
O que estuda a teoria do consumidor?;Como os consumidores maximizam seu bem-estar dadas restrições de renda e preferências.
Quais decisões os trabalhadores enfrentam?;Se trabalhar ou estudar, qual emprego escolher e quantas horas trabalhar (trade-off entre trabalho e lazer).
O que influencia as escolhas dos trabalhadores?;Salários, nível de educação, habilidades e condições de trabalho.
Quais são os principais dilemas das empresas?;Decidir o que produzir, quanto produzir e como produzir, dadas limitações de recursos.
O que estuda a teoria da firma?;Como as empresas tomam decisões de produção e uso de insumos visando maximizar lucros.
Qual é o papel dos preços na microeconomia?;Orientar decisões de consumidores, trabalhadores e empresas.
Como os preços influenciam consumidores?;Afetam as escolhas de consumo entre diferentes bens.
Como os preços influenciam trabalhadores?;Determinam o incentivo ao trabalho (salário como “preço” do trabalho).
Como os preços influenciam empresas?;Orientam decisões sobre contratação e uso de capital.
O que é um mercado?;Conjunto de compradores e vendedores que interagem para determinar preços.
Como os preços são determinados em uma economia de mercado?;Pela interação entre oferta e demanda.
Como os preços são determinados em uma economia planejada?;Pelo governo.
Qual é o papel dos mercados na microeconomia?;Coordenar decisões e determinar preços e quantidades.
O que é uma teoria econômica?;Conjunto de premissas e regras usadas para explicar fenômenos econômicos.
Qual premissa básica da teoria da firma?;As empresas buscam maximizar lucros.
O que é um modelo econômico?;Representação matemática de uma teoria usada para análise e previsão.
Para que servem os modelos econômicos?;Para fazer previsões quantitativas sobre o comportamento econômico.
Qual o papel da econometria?;Testar teorias e quantificar relações econômicas com base em dados.
Por que nenhuma teoria econômica é perfeita?;Porque simplifica a realidade e depende de premissas que nem sempre se verificam.
Como as teorias econômicas evoluem?;Por meio de testes empíricos, ajustes e refinamentos contínuos.
Qual a importância das teorias econômicas?;Explicar e prever fenômenos econômicos, auxiliando decisões e políticas públicas.
Por que a microeconomia é importante?;Ajuda a entender decisões individuais, funcionamento dos mercados e impactos de políticas econômicas.
Como a microeconomia se aplica a políticas públicas?;Permite prever efeitos de intervenções como impostos, subsídios e controle de preços.
;
;
O que é análise positiva na microeconomia?;Análise que descreve relações de causa e efeito, focando em explicações e previsões.
O que é análise normativa na microeconomia?;Análise que trata do que “deveria ser”, envolvendo julgamentos de valor e escolhas de políticas.
Qual a diferença central entre análise positiva e normativa?;"A positiva descreve e prevê fatos; a normativa avalia o que é desejável ou adequado."
Dê um exemplo de análise positiva.;Avaliar como um imposto sobre gasolina afeta preços, consumo e produção.
Dê um exemplo de análise normativa.;Avaliar se um imposto sobre gasolina é desejável para a sociedade.
Por que a análise positiva é importante?;Porque permite prever os efeitos de mudanças econômicas com base em teorias e dados.
Como a análise positiva auxilia empresas?;Permite antecipar impactos de políticas e mudanças de mercado para planejamento.
Como a análise positiva auxilia o governo?;Ajuda a estimar efeitos de políticas públicas (preços, emprego, arrecadação).
Por que a análise normativa envolve juízos de valor?;Porque exige escolhas entre critérios como eficiência e equidade.
A microeconomia pode determinar a melhor política normativa?;"Não; ela apenas esclarece os trade-offs e consequências das escolhas."
O que é um mercado em economia?;Conjunto de compradores e vendedores que interagem para determinar preços.
Quem são os compradores em um mercado?;Consumidores e empresas que demandam bens, serviços ou fatores de produção.
Quem são os vendedores em um mercado?;Empresas, trabalhadores e proprietários de recursos que ofertam bens ou fatores.
Qual a diferença entre mercado e setor?;"Mercado inclui compradores e vendedores; setor refere-se apenas aos vendedores (oferta)."
O que é definição de mercado?;Identificação dos compradores, vendedores e produtos que compõem um mercado.
Por que a definição de mercado é importante?;Para analisar concorrência, preços e políticas públicas.
O que é arbitragem?;Compra em um local a preço baixo e venda em outro a preço mais alto.
Qual o efeito da arbitragem nos mercados?;Reduz diferenças de preços entre regiões e integra mercados.
O que é um mercado perfeitamente competitivo?;Mercado com muitos compradores e vendedores, onde nenhum influencia o preço.
Dê um exemplo de mercado competitivo.;Mercado de produtos agrícolas, como trigo.
O que caracteriza um mercado não competitivo?;Empresas têm poder para influenciar preços (ex.: cartéis ou oligopólios).
O que é um cartel?;Grupo de produtores que atua conjuntamente para influenciar preços (ex.: OPEP).
O que é preço de mercado?;Preço que prevalece em um mercado competitivo.
Como é o preço em mercados competitivos?;Geralmente único e determinado pela oferta e demanda.
Como são os preços em mercados não competitivos?;Podem variar entre empresas devido a estratégias ou diferenciação.
Por que os preços variam ao longo do tempo?;Devido a mudanças na oferta, demanda e condições de mercado.
O que é extensão de mercado?;Limites geográficos e de produtos que definem um mercado.
Por que a dimensão geográfica é importante?;Custos de transporte e mobilidade afetam integração dos mercados.
Dê exemplo de mercado local.;Mercado imobiliário (restrito geograficamente).
Dê exemplo de mercado global.;Mercado de ouro.
Por que alguns mercados são regionais?;Devido a custos de transporte (ex.: gasolina).
Como definir a gama de produtos de um mercado?;Avaliando substituibilidade entre produtos.
Gasolina comum e premium pertencem ao mesmo mercado?;Sim, pois são substituíveis para a maioria dos consumidores.
Gasolina e diesel pertencem ao mesmo mercado?;Não, pois não são substituíveis diretamente.
Por que a definição de mercado é importante para empresas?;Para identificar concorrentes, definir preços e planejar investimentos.
Por que a definição de mercado é importante para políticas públicas?;Para avaliar concorrência e impactos de fusões e regulações.
Qual relação entre concorrência e número de empresas?;Mais empresas geralmente implicam maior concorrência e menor poder de mercado.
;
O que é preço nominal?;Preço absoluto de um bem, medido em moeda corrente, sem ajuste pela inflação.
O que é preço real?;Preço ajustado pela inflação, medido em termos de poder de compra.
Por que é importante usar preços reais?;Para comparar valores ao longo do tempo de forma correta, eliminando o efeito da inflação.
O que acontece ao comparar preços nominais ao longo do tempo?;Pode gerar conclusões equivocadas, pois ignora a inflação.
O que é o Índice de Preços ao Consumidor (IPC)?;Medida do nível geral de preços de bens e serviços consumidos pelas famílias.
O que o IPC mede?;A variação do custo de uma cesta de consumo típica ao longo do tempo.
O que indicam as variações do IPC?;A taxa de inflação da economia.
O que é o Índice de Preços por Atacado (IPA)?;Medida dos preços de bens no atacado, especialmente insumos e produtos intermediários.
Quando usar o IPC?;Para analisar preços de bens e serviços consumidos pelos consumidores.
Quando usar o IPA?;Para analisar preços de insumos e produtos comprados por empresas.
O preço da manteiga aumentou ou diminuiu em termos reais entre 1970 e 2010?;Diminuiu, pois o aumento nominal foi menor que a inflação medida pelo IPC.
Por que a microeconomia usa preços reais?;Porque decisões envolvem preços relativos e poder de compra, não valores nominais.
O que significa poder aquisitivo?;Quantidade de bens e serviços que pode ser comprada com determinada renda.
Por que decisões econômicas dependem de preços relativos?;Porque escolhas envolvem comparação entre diferentes bens e alternativas.
Qual a importância da microeconomia para tomada de decisão?;Permite aplicar conceitos para resolver problemas reais de empresas e políticas públicas.
Como a microeconomia ajuda empresas?;Auxilia na previsão de demanda, custos, preços e estratégias competitivas.
Qual foi a inovação do Toyota Prius?;Primeiro carro híbrido com alta eficiência energética (gasolina + bateria).
Qual decisão inicial a Toyota precisou tomar sobre o Prius?;Estimar a demanda e sua sensibilidade ao preço.
Por que prever a demanda é importante?;Para definir produção, preços e estratégias de mercado.
Que fatores influenciam a demanda do Prius?;Preferências dos consumidores, preço e concorrência.
Quais questões de custo a Toyota enfrentou?;Custos de produção, insumos, mão de obra e economias de escala.
O que são economias de aprendizagem?;Redução de custos à medida que a empresa ganha experiência produtiva.
Qual decisão produtiva é central para a empresa?;Determinar quanto produzir para maximizar lucros.
Que tipo de estratégia de preços a Toyota considerou?;Preço baixo com opcionais caros ou preço alto com pacote completo.
Por que a reação dos concorrentes é importante?;Porque afeta a competitividade e a lucratividade da empresa.
Quais riscos a Toyota enfrentou?;Incerteza sobre preços do petróleo, salários e demanda futura.
O que são decisões sob incerteza?;Escolhas feitas sem conhecimento completo sobre o futuro.
Quais problemas organizacionais a Toyota enfrentou?;Definição de incentivos e preços internos entre divisões.
O que são preços de transferência?;Preços cobrados entre divisões de uma mesma empresa.
Como o governo afeta empresas como a Toyota?;Por meio de regulações, padrões ambientais e leis trabalhistas.
O que são padrões CAFE?;Regulamentações que exigem maior eficiência no consumo de combustível.
Qual o objetivo dos padrões de eficiência energética?;Reduzir consumo de combustível, dependência externa e impacto ambiental.
