Quem era o líder europeu no auge da força e da glória em 1807?;Napoleão Bonaparte.
Qual foi o objetivo principal do Bloqueio Continental decretado por Napoleão em 1806?;Isolar a Grã-Bretanha economicamente, impedindo que comercializasse com os países europeus.
Qual país europeu foi obrigado a fechar suas costas aos navios britânicos e acabou sendo invadido em 1807?;Portugal.
Por que Portugal não conseguiu aderir ao bloqueio continental de Napoleão?;Porque era aliada histórica da Inglaterra e não podia declarar guerra à Grã-Bretanha.
O que o príncipe D. João fez para fugir da invasão napoleônica em Portugal?;Transferiu a corte portuguesa para o Brasil em 1808.
Qual ato do príncipe regente D. João, antes mesmo de chegar ao Rio, alterou a política colonial brasileira?;Decreto da abertura dos portos às nações amigas, em 28 de janeiro de 1808.
O que o Decreto de Abertura dos Portos significou para o Brasil colonial?;O fim do monopólio do comércio exterior pela metrópole portuguesa, permitindo comércio direto com outras nações amigas.
Como era o comércio de escravos entre Brasil e África durante o período colonial?;Navios brasileiros faziam o tráfico diretamente para a África, com capital e controle predominantemente da colônia.
Quando o Rio de Janeiro se tornou a capital do Império Português?;Em 1808, com a chegada da corte portuguesa ao Brasil.
O que foi necessário fazer no Brasil após a chegada da corte para manter o funcionamento do Estado português?;Recriar as instituições estatais metropolitanas e remontar o Estado, transplante do Antigo Regime.
Quem comandou as tropas britânicas que ajudaram Portugal a resistir às invasões francesas?;General Arthur Wellesley, futuro Duque de Wellington.
Qual foi a consequência política da permanência da corte portuguesa no Brasil após a derrota de Napoleão?;Em 1815, o Brasil foi elevado à condição de Reino Unido a Portugal e Algarves.
Por que D. João VI resistiu em retornar a Lisboa após a derrota de Napoleão?;Preferia governar a partir do Brasil, longe das intrigas europeias.
Quando D. João VI foi aclamado rei em solo brasileiro?;No início de 1818, após a morte de D. Maria I.
Antes da chegada da corte portuguesa, a quem subordinavam-se diretamente as capitanias gerais no Brasil?;Subordinavam-se diretamente a Lisboa.
Como era a unidade política das possessões portuguesas na América antes de 1808?;"Era precária; as capitanias funcionavam quase como países independentes, com identidades regionais fortes."
