Passado simples de to be (was / were);I was tired. / They were happy.
Passado simples – regulares;worked, played (acrescenta -ed)
Passado simples – irregulares comuns;went, ate, saw (mudam a forma)
Passado simples – negativo;I didn’t see him. (did not)
Passado simples – interrogativo;Did you call her?
Presente contínuo para futuro;I am leaving tomorrow.
Going to (futuro planejado);She is going to study medicine.
Comparativos;bigger than, more interesting than
Superlativos;the biggest, the most expensive
Quantificadores;some / any / no (ex.: some water, any problems, no idea)
How much / How many;How much sugar? / How many apples?
Pronomes indefinidos;somebody, anything, nothing
Preposições de tempo (at, on, in);at 5pm / on Monday / in June
Advérbios de modo;quickly, happily (terminam em -ly)
Verbo modal – should (conselho);You should see a doctor.
Verbo modal – must / mustn’t (obrigação/proibição);You must stop. / You mustn’t smoke here.
Would like (polidez);I would like a coffee, please.
Conectivos (because, so, then);"I was tired because I worked late; so I slept; then I woke up."
Presente simples × contínuo (rotina vs agora);I work daily (rotina) vs I am working now (agora)
Estrutura básica de perguntas com How;How old are you? / How often do you exercise?
;
;
;
Present perfect (experiência/vida);I have seen that movie. (experiência/vida – momento não especificado)
Present perfect com just, already, yet;I've just eaten / I've already finished / I haven't called yet
Present perfect × simple past;I have lost my key (ainda está perdida) vs I lost it yesterday (ação concluída no passado específico)
For / Since (duração);for three years (duração) / since 2020 (ponto de início)
Past continuous;I was sleeping when the phone rang.
Past continuous × simple past;I was watching TV (ação em andamento) when she arrived (ação curta que interrompe)
Futuro com will (previsões, decisões espontâneas);It will rain tomorrow. / I will answer the phone.
First conditional;If it rains, I will stay home. (possível/real)
Second conditional;If I were rich, I would travel the world. (hipotético/improvável)
Comparativos de igualdade;as big as a house (tão grande quanto)
Pronomes reflexivos;myself, yourself, himself (ex.: I did it myself)
Voz passiva – presente simples;English is spoken here.
Voz passiva – passado simples;The car was repaired yesterday.
Gerúndio como sujeito;Swimming is good for your health.
Verbos seguidos de gerúndio;I enjoy playing, finish working, avoid eating junk food.
Verbos seguidos de infinitivo;I want to go, decide to leave, hope to see you.
Make / Let / Allow;She made me laugh (forçar) / She let me go (permitir) / She allowed me to enter (permitir formal)
So / Neither / Too / Either (concordância);So do I (positivo) / Neither do I (negativo) / I love it too / I don't like it either
Used to (hábitos passados);I used to play piano when I was a child (mas agora não jogo mais)
Question tags;You like coffee, don't you? / She isn't here, is she?
;
Present perfect continuous;I have been waiting for an hour. (ênfase na duração da ação inacabada)
Past perfect;I had eaten before they arrived. (ação anterior a outra ação passada)
Future continuous;I will be working at 8pm. (ação em andamento num momento futuro específico)
Future perfect;I will have finished by then. (ação concluída antes de um momento futuro)
Third conditional;If I had known, I would have come. (situação impossível no passado)
Mixed conditionals;If she had studied, she would be here now. (condição passada + resultado presente)
Voz passiva – todos os tempos;The house is being painted (presente contínuo passivo). Ex.: was painted / has been painted / will be painted
Discurso indireto – afirmações;He said that he was tired. (mudança de tempo verbal e pronomes)
Discurso indireto – perguntas;"She asked where I lived. (inversão desaparece, sem ""do/does/did"")"
Discurso indireto – comandos;He told me to sit down. (verbo + objeto + infinitivo)
Gerúndio × infinitivo – mudança de sentido;stop to smoke (para para fumar) vs stop smoking (para de fumar)
Modais de dedução (presente);She must be at home (certeza) / can't be (impossibilidade) / might be (possibilidade)
Modais no passado;She must have been late / He could have done better (dedução sobre passado)
Cláusulas relativas – definidas;"The man who called is my uncle. (sem vírgulas; essencial para identificar)"
Cláusulas relativas – indefinidas;"My car, which is red, is fast. (com vírgulas; informação adicional)"
Inversão com Never / Only / Little;Never have I seen such beauty. (ênfase negativa – verbo antes do sujeito)
Advérbios de grau;quite good / rather difficult / pretty nice / fairly common (intensidade média)
Ênfase com do / does / did;I do like it! / She does speak English / He did call me (contrariando uma negação ou dúvida)
Conectivos complexos;Although tired, she worked / Despite the rain / In spite of that / Whereas I like coffee, she likes tea
Preposições combinadas com adjetivos;interested in / afraid of / proud of / good at / responsible for
;
;
Past perfect continuous;I had been waiting for hours before she arrived. (ênfase na duração de uma ação contínua anterior a outra ação no passado)
Future perfect continuous;I will have been working here for 5 years by next month. (ênfase na duração contínua até um ponto futuro)
Inversão condicional;"Had I known about the party, I would have come. (equivalente a ""If I had known"")"
Clivagem;What I need is a break. / It was John who called. (ênfase em um elemento da frase)
Subjuntivo;I suggest that he go / It's important that she be on time. (forma base do verbo, sem -s)
Élipses e substituição (avançado);"""I love coffee."" – ""So do I."" / ""I've never been there."" – ""Neither have I."" (omissão/substituição de verbos)"
Gerúndio passivo;Having been invited to the party, I decided to go. (ação passiva anterior à principal)
Infinitivo passivo;To be loved is more important than to be rich. / She hopes to be chosen.
Omissão de pronome relativo;The book (that/which) I read was great. (sujeito? não – objeto: pode omitir)
Estilo indireto – tempos recuados;"Direct: ""I am tired."" → Indirect: He said he was tired. (""backshift"" obrigatório)"
Inversão após advérbios negativos;"Not only did she arrive late, but she also forgot her keys. (inversão após ""not only"")"
Inversão com So / Such;So beautiful was the view that we stopped immediately. / Such was his anger that he left.
Modais no discurso indireto;"""I might come"" → He said he might come. (alguns modais não mudam: could, would, should, might, ought to)"
Marcadores discursivos (formal);Nevertheless (apesar disso), Consequently (portanto), Furthermore (além disso)
Adjetivos como substantivos;The government should help the rich and the poor. (os ricos / os pobres – grupo plural)
Comparações avançadas;The more you study, the less you realize you know. (correlação proporcional)
Oração sem verbo (cláusulas verbless);If possible, call me. / When necessary, take a break. (conectivo + adjetivo/participio)
Causativo have / get;I had my hair cut / I got the car fixed. (alguém fez por mim)
Usos avançados de wish;I wish I would have known earlier. (arrependimento sobre passado – informal, mas comum)
It's time / I'd rather + passado subjuntivo;It's time you went to bed. / I'd rather you didn't smoke here. (passado simples com sentido presente/futuro)
;
Inversion with comparative structures;"So powerful was the storm that many trees fell. (inversão após ""so + adjetivo"")"
Ellipsis of auxiliaries;He has and always will love her. (has loved / will love – auxiliar mantido, verbo omitido)
Deliberate tense shifts for nuance;I was wondering if you can help me. (passado educado + presente real)
Implied conditionals;A few more minutes, and we would have missed the train. (= If we had arrived a few minutes later)
Fronting & thematization;This book I really love (ênfase: objeto no início)
Nominalization;The cancellation of the meeting surprised everyone. (verbo → substantivo)
Substitution with so / do so;"He said he would leave, and did so (substitui ""left"")"
Counterfactual past with nuance;I would have thought you'd told him (expectativa não confirmada, tom educado)
Rhetorical questions with inversion;What more could one ask? (inversão sujeito-auxiliar em pergunta retórica)
Advanced modal combinations;He might have been going to call her. (cadeia modal: might + have + been + going to)
Cohesive devices for argumentation;Be that as it may, we need to decide. (concessivo formal)
Word order for focus and emphasis;Down came the rain (inversão advérbio de direção + verbo + sujeito)
Double passives;The car is expected to be sold tomorrow. (dois verbos passivos: is expected + to be sold)
Unreal past with time clauses;"It was time we had left (passado perfeito subjuntivo em ""It was time"")"
Conversational ellipsis;"Sounds good (omissão de ""That"") / Coming? (omissão de ""Are you"")"
Parenthetical clauses;This man, I believe, is honest. (oração intercalada sem conectivo)
Non-finite clauses as subjects;To err is human (infinitivo como sujeito) / Swimming is fun (gerúndio)
Conditional concessives;Even if I had known, I wouldn't have cared. (concessão + condicional irreal)
Metadiscourse;In conclusion, what I've argued is that climate change is urgent. (organização explícita do discurso)
Stylistic fronting of objects/complements;This I deny (objeto no início para ênfase formal)
