O que é economia?;Estudo de como a sociedade administra recursos escassos.
Qual o primeiro princípio da economia?;As pessoas enfrentam tradeoffs (escolhas entre objetivos conflitantes).
O que é custo de oportunidade?;É aquilo de que se desiste para obter algo.
Como as pessoas racionais tomam decisões?;Pensando na margem, comparando custos marginais e benefícios marginais.
Como as pessoas reagem a incentivos?;Elas mudam seu comportamento conforme os custos e benefícios que enfrentam.
Por que o comércio pode ser bom para todos?;Porque permite que países ou pessoas se beneficiem mutuamente trocando o que produzem melhor.
O que a “mão invisível” faz no mercado?;Coordena a oferta e a demanda, levando a resultados desejáveis sem intervenção central.
O que é falha de mercado?;Quando o mercado não consegue alocar recursos eficientemente por conta de externalidades ou poder de mercado.
O que é externalidade?;Impacto das ações de uma pessoa sobre o bem-estar de outras que não participam diretamente da ação.
O que é poder de mercado?;Capacidade de um agente econômico influenciar significativamente os preços do mercado.
Por que a produtividade é importante?;Porque determina o padrão de vida médio de um país, quanto mais produtivo, maior a renda.
O que é inflação?;Aumento geral e contínuo dos preços na economia.
Qual a causa principal da inflação?;Emissão excessiva de moeda pelo governo.
Qual o tradeoff de curto prazo entre inflação e desemprego?;Em geral, ao aumentar a inflação, o desemprego diminui, e vice-versa (Curva de Phillips).
O que é eficiência econômica?;A capacidade de obter o máximo possível dos recursos escassos disponíveis.
O que é equidade econômica?;Distribuição justa da prosperidade entre os membros da sociedade.
O que é economia de mercado?;Economia que organiza recursos pelas decisões descentralizadas de famílias e empresas nos mercados.
Qual a diferença entre microeconomia e macroeconomia?;"Microeconomia estuda decisões individuais e mercados; macroeconomia estuda a economia como um todo."
O que representa a Fronteira de Possibilidades de Produção?;As combinações máximas de bens e serviços que a economia pode produzir com seus recursos disponíveis.
O que é análise positiva?;Afirmações descritivas sobre como o mundo é (exemplo: salário mínimo pode causar desemprego).
O que é análise normativa?;Afirmações prescritivas sobre como o mundo deveria ser (exemplo: governo deveria aumentar salário mínimo).
Por que formuladores de políticas devem considerar incentivos?;Porque eles mudam os custos e benefícios, influenciando o comportamento das pessoas.
Por que o comércio entre países beneficia ambos?;Porque permite especialização e ganho mútuo através da troca de bens e serviços.
or que a economia é considerada uma ciência?;Porque usa o método científico para desenvolver e testar teorias imparciais sobre o funcionamento do mundo.
Por que economistas formulam hipóteses?;Para simplificar a complexidade do mundo e facilitar a compreensão dos fenômenos econômicos.
Um modelo econômico deve descrever exatamente a realidade?;Não, serve para simplificar e ajudar a entender melhor a realidade, não para reproduzi-la perfeitamente.
O que representa a fronteira de possibilidades de produção?;Mostra as combinações máximas de bens que a economia pode produzir com seus recursos disponíveis.
O que acontece com a fronteira se metade do gado leiteiro morrer?;A fronteira se desloca para dentro, indicando menor capacidade de produção de leite.
Como a fronteira de produção relaciona-se à eficiência?;"Pontos na fronteira indicam eficiência, pois utilizam todos os recursos; pontos dentro indicam ineficiência."
Quais os dois subcampos da economia?;"Microeconomia: estudo das decisões de famílias e empresas; Macroeconomia: estudo da economia como um todo (inflação, desemprego)."
Diferença entre declaração positiva e normativa?;"Positiva descreve como o mundo é; normativa prescreve como deveria ser."
O que é o Council of Economic Advisers?;Conselho de economistas que assessora o presidente dos EUA em assuntos econômicos.
Por que economistas dão conselhos conflitantes?;Podem discordar sobre teorias ou ter valores normativos diferentes.
O que é vantagem absoluta?;Produzir um bem com menor quantidade de insumos comparado a outro produtor.
O que é vantagem comparativa?;Produzir um bem com menor custo de oportunidade em relação a outro produtor.
Dê um exemplo de vantagem absoluta e comparativa.;Uma pessoa pode produzir móveis mais rápido (absoluta) mas especializar-se em móveis porque o custo de oportunidade de produzir chocolate é alto (comparativa).
Qual é mais importante para o comércio: vantagem absoluta ou comparativa?;Vantagem comparativa, pois permite especialização e ganhos mútuos no comércio.
Que bens uma nação tende a exportar?;Aqueles nos quais possui vantagem comparativa.
Por que economistas se opõem a restrições ao comércio?;Porque restrições elevam preços e prejudicam os consumidores.
;
que é um mercado competitivo?;Mercado com muitos compradores e vendedores, onde nenhum tem influência significativa sobre o preço.
