;
Front (Termo);Back (Correspondente)
Relações Internacionais;Interações entre Estados, OIs, ONGs, empresas e indivíduos
Fatores das Relações Internacionais;Política, economia, geopolítica, poder militar, cultura e interesses humanos
Papel do Direito Internacional Público;Regular as relações internacionais e garantir convivência entre os sujeitos internacionais
Limitação do DIP;Não resolve todos os problemas mundiais
Complexidade das Relações Internacionais;Exige compreensão de fatores políticos e econômicos
Existência do Direito Internacional;O Direito existe mesmo quando suas normas são descumpridas
Sociedade Internacional;Vínculos interdependentes criados intencionalmente para objetivos comuns
Comunidade Internacional;Laços espontâneos de natureza cultural, histórica, religiosa e social
Universalidade da Sociedade Internacional;Abrange todo o mundo
Heterogeneidade da Sociedade Internacional;Presença de atores diversos
Desigualdade da Sociedade Internacional;Diferenças de poder entre os Estados
Descentralização da Sociedade Internacional;Ausência de governo mundial
Coordenação na Sociedade Internacional;Relações baseadas em coordenação e não subordinação
Globalização;Integração econômica, política, social e cultural
Marcos Históricos da Globalização;Grandes Navegações, Revolução Industrial e fim da Guerra Fria
Intensificação da Globalização;Avanço das Tecnologias da Informação e Comunicação (TIC)
Valores Expandidos pela Globalização;Estado Democrático de Direito e economia de mercado
Característica Econômica da Globalização;Aumento do comércio internacional e do IED
Interdependência Global;Maior dependência entre os países
Blocos Regionais;Expansão decorrente da globalização
Reflexo da Globalização sobre o Estado;Redefinição do papel estatal e da soberania
Recuo do termo “globalização”;Crises econômicas e preocupações com segurança
Reflexo da Globalização no DIP;Ampliação das normas internacionais
Soft Law;Normas internacionais mais flexíveis
Limitação da Soberania;Decorrente de tratados e órgãos internacionais
Objeto do DIP;Reduzir a anarquia internacional
Outro Objeto do DIP;Regular a cooperação internacional
Tutela Internacional;Proteção adicional a bens jurídicos relevantes
Interesse Comum dos Estados;Finalidade do Direito Internacional Público
Fundamento do DIP;Debate entre voluntarismo e objetivismo
Voluntarismo;Obrigatoriedade baseada na vontade dos sujeitos internacionais
Consentimento Expresso;Manifestado por tratados
Consentimento Tácito;Manifestado pelos costumes internacionais
Autolimitação da Vontade;Teoria de Georg Jellinek
Ideia da Autolimitação;O Estado se obriga voluntariamente
Vontade Coletiva;Teoria de Heinrich Triepel
Ideia da Vontade Coletiva;Direito Internacional surge da vontade unânime dos Estados
Consentimento das Nações;Teoria de Hall e Oppenheim
Ideia do Consentimento das Nações;Decisão da maioria dos Estados
Delegação do Direito Interno;Teoria de Max Wenzel
Ideia da Delegação do Direito Interno;O DIP decorre do ordenamento nacional
Objetivismo;Obrigatoriedade decorre da importância da norma internacional
Jusnaturalismo;Normas derivadas da natureza humana
Origem das Normas no Jusnaturalismo;Divina ou racional
Teorias Sociológicas do Direito;Normas derivadas de fatos sociais
Teoria da Norma-Base;Desenvolvida por Hans Kelsen
Norma Hipotética Fundamental;Fundamento do Direito Internacional em Kelsen
Direitos Fundamentais dos Estados;Base objetivista fundada em direitos inerentes dos Estados
Front (Termo);Back (Correspondente)
Extinção dos Tratados;Cessação definitiva dos efeitos jurídicos
Suspensão dos Tratados;Interrupção temporária dos efeitos jurídicos
Vontade Comum das Partes;Forma de extinguir tratado
Extinção em Tratados Multilaterais;Pode ocorrer pela vontade comum dos membros
Cláusula Resolutiva;Condição prevista para término do tratado
Violação Substancial;Pode justificar suspensão ou extinção
Violação em Tratado Multilateral;Permite pedido de suspensão por qualquer parte
Impossibilidade de Cumprimento;Pode extinguir tratado se destruir objeto essencial
Impossibilidade Temporária;Apenas suspende o tratado
Rompimento de Relações Diplomáticas;Não extingue automaticamente o tratado
Conflito com Jus Cogens;Torna o tratado nulo e extinto
Perda do Objeto;Causa de extinção do tratado
Caducidade;Extinção pelo desuso prolongado
Denúncia;Ato unilateral de desvinculação
Denúncia em Tratado Bilateral;Extingue o tratado
Denúncia em Tratado Multilateral;Retira apenas o denunciante
Efeitos Ex Nunc;Produz efeitos apenas para o futuro
Convenção de Viena e Denúncia;Prevê aviso prévio de 12 meses
Forma da Denúncia;Deve ser escrita
Denúncia Parcial;Admitida se não comprometer o tratado
Cláusula de Denúncia;Pode estar expressa ou implícita
Retratação da Denúncia;Possível antes de produzir efeitos
Competência para Denúncia no Brasil;Presidente da República
Congresso Nacional e Denúncia;Tendência de exigência em direitos humanos
Suspensão Parcial;Afeta apenas parte do tratado
Suspensão Total;Afeta integralmente o tratado
Mudança Fundamental das Circunstâncias;Pode justificar suspensão
Guerra;Exemplo de mudança fundamental
Tratado Posterior;Pode suspender tratado anterior
Efeito da Extinção;Libera definitivamente das obrigações
Direitos Adquiridos;Permanecem após extinção
Efeito da Suspensão;Libera temporariamente das obrigações
Reintegração do Tratado;Não deve ser obstruída
Formas de Extinção;Denúncia, retirada, caducidade, substituição
Permanência Inferior ao Número Mínimo;Extingue certos tratados multilaterais
Alteração Fundamental das Circunstâncias;Exemplo: guerra
Substituição por Novo Tratado;Forma de extinção
Violação Substancial;Motivo para extinção
Desuso;Também chamado de caducidade
Perda do Objeto;Impossibilita cumprimento
Internalização;Incorporação do tratado ao direito interno
Direito Internacional Interno;Produz efeitos no território estatal
Convenções de Direitos Humanos;Obrigam proteção da dignidade humana
Internalização e Órgãos Estatais;Permite aplicação pelo Judiciário e Executivo
Modelo Tradicional;Aprovação legislativa, ratificação e promulgação
Modelo de Introdução Automática;Vigência interna automática
Aplicabilidade Imediata;Tratado vigora sem incorporação adicional
União Europeia;Adota aplicabilidade imediata
Modelo Brasileiro;Exige aprovação e promulgação
Decreto de Promulgação;Necessário para efeito interno
Brasil e Aplicabilidade Imediata;Não adota
Poder Executivo;Negocia e celebra tratados
Poder Legislativo;Autoriza ratificação
Controle Democrático;Exercido pelo Congresso Nacional
Presidente da República;Celebra e promulga tratados
Exposição de Motivos;Documento do MRE ao Presidente
Mensagem ao Congresso;Solicita apreciação do tratado
Câmara dos Deputados;Analisa o tratado
Senado Federal;Analisa o tratado
Tratados de Direitos Humanos;Podem equivaler à emenda constitucional
Quórum Qualificado;Dois turnos e três quintos dos votos
Ratificação Presidencial;Ato discricionário
Entrada em Vigor Internacional;Passo anterior à vigência interna
Decreto Legislativo;Autoriza ratificação
Decreto Presidencial;Promulga o tratado
Tratado Promulgado;Integra o ordenamento jurídico
Publicação no DOU;Dá publicidade ao tratado
Acordos Executivos;Podem ser publicados após autorização do MRE
Discricionariedade do Presidente;Pode não enviar tratado ao Congresso
Hierarquia dos Tratados;Pode ser ordinária ou constitucional
Exposição de Motivos;Inicia tramitação interna
Exame no Congresso Nacional;Aprovação legislativa
Decreto Legislativo;Aprova ou rejeita tratado
Decreto Presidencial;Promulga e publica
Aplicação dos Tratados no Brasil;Podem ser invocados judicialmente
Descumprimento de Tratados;Pode gerar sanções internacionais
Controle de Constitucionalidade;Competência do STF
Art. 102 III b da CF;Controle de constitucionalidade de tratados
Incidente de Deslocamento de Competência;Garante cumprimento de tratados de direitos humanos
Antinomias;Conflitos entre normas
Critério Hierárquico;Resolve antinomias pela hierarquia
Critério Cronológico;Resolve pelo tempo
Critério da Especialidade;Resolve pela norma específica
Convenção de Viena art. 27;Direito interno não justifica inadimplemento
Prática Estatal;Muitos Estados condicionam aplicação ao direito interno
Responsabilidade Internacional;Surge mesmo por incompatibilidade interna
Supralegalidade;Posição histórica do STF
STF em 1977;Equiparou tratados às leis ordinárias
Tratados Infraconstitucionais;Status atual geral dos tratados
Controle Difuso;Forma de controle constitucional
Controle Concentrado;Forma de controle constitucional
Lei Complementar;Matéria não regulável por tratado
