front ;back
O objetivo das teorias de Relações Internacionais é apenas descrever os fenômenos internacionais.;Errado – O objetivo central das teorias é identificar relações de causa e efeito para explicar conflitos e cooperação.
Raymond Aron considera que o conceito de teoria é bem definido e aplicado corretamente nas Relações Internacionais.;Errado – Aron questiona a aplicação do conceito de teoria, apontando confusão entre conceitualizações e teorias.
Aron distingue dois sentidos para “teoria”: um filosófico e outro científico.;Certo
A economia política avançou menos do que as Relações Internacionais em formulações hipotético-dedutivas.;Errado – Aron afirma que a economia política avançou mais nesse sentido.
Para Aron, uma teoria pode ser usada diretamente como doutrina de ação.;Errado – Ele critica essa ideia, pois a teoria não pode ser o único fundamento da ação.
Uma teoria das Relações Internacionais precisa de uma delimitação clara do objeto de estudo.;Certo
A estatística e o empirismo são suficientes para construir uma teoria sólida em Relações Internacionais.;Errado – Eles auxiliam, mas não devem ser a base exclusiva devido à imprevisibilidade das relações internacionais.
O sistema internacional é caracterizado pela existência de um poder soberano central.;Errado – Ele se caracteriza pela ausência de um poder soberano central.
A hegemonia de certos Estados pode garantir a ordem internacional, mas sem eliminar completamente o vácuo de poder coercitivo.;Certo
Conceitos como “interesse nacional” são considerados teorias bem estabelecidas por Raymond Aron.;Errado – Aron questiona se esses conceitos são teorias ou apenas conceitualizações.
Em Relações Internacionais, é possível separar claramente variáveis endógenas e exógenas.;Errado – Elas constituem a própria gênese das relações internacionais e não podem ser separadas.
A história deve ser apenas narrada, sem necessidade de analisar os contextos que a originam.;Errado – É necessário analisar os contextos que deram origem aos eventos históricos.
A tentativa de prever conflitos internacionais com base apenas em dados históricos pode ser perigosa.;Certo
Uma teoria rígida pode se tornar abstrata e ineficaz diante de crises internacionais.;Certo
Kenneth Waltz acredita que as teorias devem tentar explicar todos os aspectos dos fenômenos internacionais.;Errado – Para Waltz, as teorias devem simplificar a complexidade dos fenômenos, sem tentar abranger tudo para evitar distorções.
A imprevisibilidade da ação humana impede a formulação de prescrições exatas para as relações entre Estados.;Certo
A disciplina de Relações Internacionais surgiu como tentativa de entender as causas da Primeira Guerra Mundial.;Certo
A primeira cátedra de Relações Internacionais foi criada nos Estados Unidos após a Primeira Guerra Mundial.;Errado – Ela foi criada em 1919 na Universidade de Aberyswyth, na Inglaterra.
O Idealismo Wilsoniano baseia-se no realismo político e na ideia de que o poder é o fator determinante das relações internacionais.;Errado – Ele se baseia no racionalismo e na crença na democracia e na opinião pública.
Rousseau e Kant influenciaram o Idealismo Wilsoniano.;Certo
A Liga das Nações (1919) foi inspirada no liberalismo político e no contrato social de Locke.;Certo
A opinião pública internacional conseguiu impedir a invasão japonesa da Manchúria em 1931.;Errado – Esse evento mostrou a falha do idealismo em conter agressões internacionais.
A crise econômica de 1929 fortaleceu o idealismo, mostrando que a cooperação internacional era suficiente para evitar conflitos.;Errado – O protecionismo e as tensões econômicas após a crise mostraram as falhas do idealismo.
Edward Carr criticou o idealismo, argumentando que a harmonia de interesses era inviável e que a moral era um produto do poder.;Certo
A Segunda Guerra Mundial reforçou a visão de que o sistema internacional era anárquico e baseado no poder e no interesse nacional.;Certo
A criação da ONU demonstrou um sistema internacional mais igualitário, sem influência do poder dos Estados mais fortes.;Errado – A ONU refletiu a desigualdade de poder, com o Conselho de Segurança e o direito de veto para algumas nações.
O Realismo possui quatro principais correntes: Realismo Clássico, Escola Inglesa, Neorrealismo e Realismo Neoclássico.;Certo
No Realismo, o Estado não é considerado o ator central das Relações Internacionais.;Errado – O Estado é o ator central e deve garantir paz interna e segurança externa.
O sistema internacional é caracterizado pela existência de uma autoridade central reguladora.;Errado – O sistema internacional é anárquico, sem uma autoridade central.
No Realismo, os Estados cooperam mesmo quando a ação individual traria mais benefícios do que a ação conjunta.;Errado – A cooperação ocorre apenas quando o benefício conjunto supera a ação individual.
A principal meta do Estado, segundo o Realismo, é garantir sua sobrevivência.;Certo
"A ""ética da responsabilidade"" é mais relevante para o Realismo do que a ""ética da convicção"".";Certo
"O conceito de ""balança de poder"" no Realismo indica que Estados fazem alianças estratégicas para equilibrar o poder internacional.";Certo
No Realismo, os Estados podem depender totalmente de alianças para garantir sua segurança.;Errado – Os Estados devem priorizar a autoajuda, pois alianças são frágeis e dependem da conjuntura política.
O Realismo considera a autodefesa essencial devido à insegurança do sistema internacional.;Certo
"A principal obra do Realismo é ""A Política entre as Nações: a luta pelo poder e pela paz"", de Hans Morgenthau.";Certo
Morgenthau defende que a política deve ser analisada separando razão (análise racional) de opinião (julgamento subjetivo).;Certo
Para Morgenthau, o interesse dos Estados é fixo e imutável ao longo da história.;Errado – O interesse é uma categoria objetiva, mas varia conforme o contexto histórico e cultural.
Segundo Morgenthau, princípios morais universais podem ser aplicados de forma abstrata na política internacional.;Errado – A moralidade política deve ser guiada pela prudência e pelas consequências das ações.
O Realismo defende que a moralidade nacional deve ser identificada com leis universais.;Errado – O Realismo rejeita dogmatismos e verdades absolutas na ação política.
A política deve ser analisada separadamente do direito e da religião, segundo o Realismo.;Certo
No Realismo, a economia e o direito não influenciam a noção de interesse político.;Errado – Eles influenciam diretamente o interesse político.
O Realismo considera que a política internacional pode ser reduzida a regras e instituições legais.;Errado – O Realismo rejeita essa ideia, pois as alianças internacionais são mutáveis e guiadas pelo interesse dos Estados.
O Realismo argumenta que é impossível estabelecer “leis científicas” para prever o comportamento dos Estados.;Certo
A ausência de um Leviatã no sistema internacional cria um ambiente anárquico.;Certo
Segundo o Realismo, a anarquia internacional é a principal causa da disputa pelo poder.;Certo
Para os idealistas, a ausência de um governo mundial torna os conflitos inevitáveis.;Errado – Eles acreditam que a cooperação internacional pode corrigir esse problema.
Para os realistas, os conflitos internacionais são inevitáveis devido à estrutura anárquica do sistema.;Certo
Hans Morgenthau acreditava que sua teoria ajudava a prever e evitar conflitos.;Certo
O contexto da Guerra Fria, com sua bipolaridade, moldou alianças e intensificou a corrida armamentista.;Certo
John Herz formulou o conceito de Dilema da Segurança, que explica como a busca por mais poder militar gera rivalidade e corrida armamentista.;Certo
O uso de estatística e matemática no estudo das guerras foi uma característica do behaviorismo.;Certo
O projeto Correlates of War (COW) foi criado para coletar e analisar dados sobre conflitos internacionais.;Certo
O behaviorismo rejeita completamente o método histórico-sociológico no estudo das Relações Internacionais.;Errado – Ele critica, mas não necessariamente rejeita, buscando complementar com métodos quantitativos.
Martin Wight e a Escola Inglesa valorizam a abordagem behaviorista nas Relações Internacionais.;Errado – Wight rejeita a abordagem behaviorista, valorizando a filosofia política.
A Escola Inglesa organiza três paradigmas principais nas Relações Internacionais: Realismo, Racionalismo e Revolucionismo.;Certo
O paradigma revolucionista da Escola Inglesa nega a soberania estatal e busca uma única civilização humana.;Certo
Hedley Bull desenvolveu o racionalismo como uma abordagem intermediária e criticou o Realismo hobbesiano.;Certo
A abordagem contratualista defende a possibilidade de um contrato social interestatal, como proposto por Hobbes.;Errado – O contratualismo é uma visão idealista que sugere a possibilidade de um contrato social interestatal, contrastando com o realismo hobbesiano.
Para Hedley Bull, a ordem internacional deve ser baseada apenas na força e na soberania dos Estados.;Errado – Bull acredita que a ordem internacional pode ser baseada em regras e diplomacia, sem eliminar a anarquia.
O Neorrealismo surgiu nos anos 1970, devido ao crescimento econômico do Japão e aos desafios ao Realismo Clássico.;Certo
A Crise do Petróleo de 1973 fortaleceu a ideia de que o Estado deve ser o único ator central nas relações internacionais.;Errado – A crise intensificou as críticas ao estadocentrismo, sugerindo que outros fatores também influenciam as relações internacionais.
Kenneth Waltz é o principal expoente do Neorrealismo, que revisita o Realismo Clássico, incorporando a estrutura do sistema internacional.;Certo
No Neorrealismo, a estrutura internacional limita e condiciona as escolhas dos Estados.;Certo
No Neorrealismo, o poder é visto como um fim para os Estados, sendo o principal objetivo de sua política externa.;Errado – No Neorrealismo, o poder é visto como uma ferramenta para garantir segurança, não como um fim.
O Neorrealismo considera os Estados como unidades autônomas e desiguais em sua natureza, em comparação com o Realismo Clássico.;Errado – O Neorrealismo vê os Estados como unidades autônomas e iguais, ao contrário do Realismo Clássico.
Morgenthau foca na política externa e ignora as dimensões sociais e econômicas nas Relações Internacionais.;Certo
O Realismo Clássico consegue abranger toda a complexidade das Relações Internacionais, considerando todas as dimensões.;Errado – O Realismo Clássico busca uma teoria racional, mas não consegue abarcar toda a complexidade dos fenômenos internacionais.
